run,model,metric,value
0,HF,MAE,0.0017619339746417293
0,HF,L0,0.5
1,HF,MAE,0.0010122791632423877
1,HF,L0,1.0
2,HF,MAE,0.19203616434299375
2,HF,L0,1.0
3,HF,MAE,0.0008062032144638136
3,HF,L0,1.0
4,HF,MAE,0.002298758808810441
4,HF,L0,1.0
5,HF,MAE,0.050407499912519166
5,HF,L0,1.5
6,HF,MAE,0.0025253082215486657
6,HF,L0,0.5
7,HF,MAE,0.017283011845281828
7,HF,L0,0.5
8,HF,MAE,0.18333333333333335
8,HF,L0,1.0
9,HF,MAE,0.0005407081762473069
9,HF,L0,1.0
10,HF,MAE,0.21799792431261336
10,HF,L0,2.0
11,HF,MAE,0.19529277372813428
11,HF,L0,1.0
12,HF,MAE,0.000463562746529943
12,HF,L0,0.5
13,HF,MAE,0.1886463317917938
13,HF,L0,1.0
14,HF,MAE,0.0006728490463063485
14,HF,L0,0.5
15,HF,MAE,0.21296419125708987
15,HF,L0,1.5
16,HF,MAE,0.07842926221864989
16,HF,L0,2.0
17,HF,MAE,0.0012663460351966195
17,HF,L0,1.0
18,HF,MAE,0.020343410745028486
18,HF,L0,1.5
19,HF,MAE,0.19321244856237976
19,HF,L0,1.0
20,HF,MAE,0.0009692734892069087
20,HF,L0,0.5
21,HF,MAE,0.0005646011847850572
21,HF,L0,0.5
22,HF,MAE,0.1992056144882753
22,HF,L0,1.0
23,HF,MAE,0.00010624366100637
23,HF,L0,0.5
24,HF,MAE,8.689375996882968e-05
24,HF,L0,0.5
25,HF,MAE,0.017288421152975363
25,HF,L0,1.0
26,HF,MAE,0.00012093304384661463
26,HF,L0,0.5
27,HF,MAE,0.00024546474124598753
27,HF,L0,0.5
28,HF,MAE,0.0004361887459266894
28,HF,L0,1.0
29,HF,MAE,0.0007981828765354573
29,HF,L0,0.5
30,HF,MAE,0.08292273362760992
30,HF,L0,1.0
31,HF,MAE,0.000129393555543269
31,HF,L0,0.5
32,HF,MAE,0.19477912755735757
32,HF,L0,1.5
33,HF,MAE,0.19882248504223757
33,HF,L0,1.0
34,HF,MAE,0.06673734108482293
34,HF,L0,1.0
35,HF,MAE,0.21280270874382248
35,HF,L0,2.0
36,HF,MAE,0.02256017162444462
36,HF,L0,0.5
37,HF,MAE,0.01697668828119292
37,HF,L0,1.0
38,HF,MAE,0.21090613917083098
38,HF,L0,1.5
39,HF,MAE,0.0005824590133563838
39,HF,L0,0.5
40,HF,MAE,0.00023891894074445287
40,HF,L0,0.5
41,HF,MAE,0.0925738716096388
41,HF,L0,1.0
42,HF,MAE,0.21588921905289038
42,HF,L0,1.5
43,HF,MAE,0.00022680769554167697
43,HF,L0,1.0
44,HF,MAE,0.00017420034465611325
