run,model,metric,value
0,LF,MAE,0.0009000134974476562
0,LF,L0,1.0
1,LF,MAE,0.0007083152422690415
1,LF,L0,1.0
2,LF,MAE,0.0026946841236011147
2,LF,L0,0.5
3,LF,MAE,0.00030977716200453827
3,LF,L0,1.0
4,LF,MAE,0.0036935480082185283
4,LF,L0,1.0
5,LF,MAE,0.0011703910095976352
5,LF,L0,0.5
6,LF,MAE,0.0025681775843983097
6,LF,L0,1.0
7,LF,MAE,0.0026622396355697863
7,LF,L0,0.5
8,LF,MAE,0.0013400196771938848
8,LF,L0,0.5
9,LF,MAE,0.0018208366156329439
9,LF,L0,0.5
10,LF,MAE,0.00030570920881345333
10,LF,L0,1.0
11,LF,MAE,0.0006012670044009029
11,LF,L0,1.0
12,LF,MAE,0.004471389246211232
12,LF,L0,1.0
13,LF,MAE,0.0026487896925649532
13,LF,L0,1.0
14,LF,MAE,0.00349094299668566
14,LF,L0,1.0
15,LF,MAE,0.0011064851954574538
15,LF,L0,0.5
16,LF,MAE,0.0011879124503807912
16,LF,L0,0.5
17,LF,MAE,0.0018686044719447021
17,LF,L0,0.5
18,LF,MAE,0.0014639395024519826
18,LF,L0,0.5
19,LF,MAE,0.0022331126421906325
19,LF,L0,1.5
20,LF,MAE,0.0039421927972846
20,LF,L0,0.5
21,LF,MAE,0.0011201817693449244
21,LF,L0,1.0
22,LF,MAE,0.000946746862789746
22,LF,L0,1.5
23,LF,MAE,0.004563779448388288
23,LF,L0,1.0
24,LF,MAE,0.0015917844528045375
24,LF,L0,0.5
25,LF,MAE,0.00501026276059227
25,LF,L0,1.5
26,LF,MAE,0.005400705422208188
26,LF,L0,1.5
27,LF,MAE,0.0013738588248954483
27,LF,L0,1.0
28,LF,MAE,0.004464381257440059
28,LF,L0,0.5
29,LF,MAE,0.0027232106049023173
29,LF,L0,1.0
30,LF,MAE,0.0006387922969687535
30,LF,L0,0.5
31,LF,MAE,0.003643423734333758
31,LF,L0,0.5
32,LF,MAE,0.0012941570973150154
32,LF,L0,0.5
33,LF,MAE,0.0015740583111769917
33,LF,L0,1.0
34,LF,MAE,0.0005132683209455748
34,LF,L0,1.5
35,LF,MAE,0.004998518462134651
35,LF,L0,0.5
36,LF,MAE,0.007218367728077761
36,LF,L0,1.0
37,LF,MAE,0.0007770064623018
37,LF,L0,1.0
38,LF,MAE,0.0007150309659279749
38,LF,L0,0.5
39,LF,MAE,0.0011226293304974517
39,LF,L0,1.0
40,LF,MAE,0.005038888707193154
40,LF,L0,1.0
41,LF,MAE,0.003727646002561855
41,LF,L0,1.0
42,LF,MAE,0.0007601481699694651
42,LF,L0,1.0
43,LF,MAE,0.003128348324654322
43,LF,L0,0.5
44,LF,MAE,0.0013615046925070737
44,LF,L0,1.5
45,LF,MAE,0.0023257873272476428
45,LF,L0,0.5
46,LF,MAE,0.0010127463381375725
46,LF,L0,0.5
47,LF,MAE,0.0026334623637247084
47,LF,L0,1.0
48,LF,MAE,0.0011531663005046016
48,LF,L0,0.5
49,LF,MAE,0.003892790023433675
49,LF,L0,0.5
50,LF,MAE,0.0009443870371139904
50,LF,L0,0.5
51,LF,MAE,0.002521894596718114
51,LF,L0,1.0
52,LF,MAE,0.0008732740422380208
52,LF,L0,0.5
53,LF,MAE,0.002173023865856618
53,LF,L0,1.0
54,LF,MAE,0.004578092738237233
54,LF,L0,1.0
55,LF,MAE,0.0016938784552728151
55,LF,L0,1.5
56,LF,MAE,0.0018486905937822593
56,LF,L0,1.0
57,LF,MAE,0.0005969891220786088
57,LF,L0,1.0
58,LF,MAE,0.002160381419922102
58,LF,L0,1.0
59,LF,MAE,0.004851519445543353
59,LF,L0,1.0
60,LF,MAE,0.0009091607192483051
60,LF,L0,0.5
61,LF,MAE,0.004230081849322993
61,LF,L0,1.0
62,LF,MAE,0.0009732304982829837
62,LF,L0,0.5
63,LF,MAE,0.0004424249133749621
