run,model,metric,value
0,MF,MAE,0.00519578753525607
0,MF,L0,0.5
1,MF,MAE,0.0026830616759605658
1,MF,L0,0.5
2,MF,MAE,0.003176803070580291
2,MF,L0,0.5
3,MF,MAE,0.0014707527927096998
3,MF,L0,0.5
4,MF,MAE,0.0030162684144676593
4,MF,L0,0.5
5,MF,MAE,0.0022278029622281696
5,MF,L0,0.5
6,MF,MAE,0.003806287055953183
6,MF,L0,1.0
7,MF,MAE,0.0009667029968780111
7,MF,L0,0.5
8,MF,MAE,0.0016498975159377476
8,MF,L0,0.5
9,MF,MAE,0.005795573293334168
9,MF,L0,1.0
10,MF,MAE,0.0027008688245514206
10,MF,L0,0.5
11,MF,MAE,0.005217183598169196
11,MF,L0,0.5
12,MF,MAE,0.0012212664579292177
12,MF,L0,1.0
13,MF,MAE,0.0012117100678207535
13,MF,L0,1.0
14,MF,MAE,0.002777505171188568
14,MF,L0,0.5
15,MF,MAE,0.0032713896053790273
15,MF,L0,0.5
16,MF,MAE,0.00125919081219895
16,MF,L0,0.5
17,MF,MAE,0.0007860794662312513
17,MF,L0,0.5
18,MF,MAE,0.001214851432211759
18,MF,L0,0.5
19,MF,MAE,0.0033290810277969165
19,MF,L0,0.5
20,MF,MAE,0.0009142759356846076
20,MF,L0,0.5
21,MF,MAE,0.0018884757814493479
21,MF,L0,1.0
22,MF,MAE,0.0036649973636075357
22,MF,L0,1.0
23,MF,MAE,0.0020388551610133684
23,MF,L0,0.5
24,MF,MAE,0.0024369982513633014
24,MF,L0,1.0
25,MF,MAE,0.0006603903975700938
25,MF,L0,0.5
26,MF,MAE,0.0018536998956289463
26,MF,L0,0.5
27,MF,MAE,0.0030984304229587124
27,MF,L0,0.5
28,MF,MAE,0.0014055609321112878
28,MF,L0,1.0
29,MF,MAE,0.0020625547495894967
29,MF,L0,1.0
30,MF,MAE,0.003822519227028884
30,MF,L0,0.5
31,MF,MAE,0.0015639307173034276
31,MF,L0,0.5
32,MF,MAE,0.0023226545744007986
32,MF,L0,0.5
33,MF,MAE,0.002110288748214555
33,MF,L0,0.5
34,MF,MAE,0.0002873280599058596
34,MF,L0,0.5
35,MF,MAE,0.002798934543741407
35,MF,L0,0.5
36,MF,MAE,0.0012710642747519737
36,MF,L0,0.5
37,MF,MAE,0.0007518826234100424
37,MF,L0,0.5
38,MF,MAE,0.0015597759625162197
38,MF,L0,0.5
39,MF,MAE,0.0030118138409193783
39,MF,L0,1.0
40,MF,MAE,0.004189362795618625
40,MF,L0,0.5
41,MF,MAE,0.001216030483558024
41,MF,L0,1.0
42,MF,MAE,0.0015183711413216594
42,MF,L0,0.5
43,MF,MAE,0.0005810836805424865
43,MF,L0,0.5
44,MF,MAE,0.0010119628991361004
44,MF,L0,0.5
45,MF,MAE,0.00115899568173865
45,MF,L0,0.5
46,MF,MAE,0.0016655076156588556
46,MF,L0,0.5
47,MF,MAE,0.0005578818665637262
47,MF,L0,1.0
48,MF,MAE,0.0010789873504975232
48,MF,L0,0.5
49,MF,MAE,0.005048185759038212
49,MF,L0,0.5
50,MF,MAE,0.002651484470450079
50,MF,L0,0.5
51,MF,MAE,0.0016010648935705484
51,MF,L0,0.5
52,MF,MAE,0.0018982252591511026
52,MF,L0,0.5
53,MF,MAE,0.0009871914440391075
53,MF,L0,0.5
54,MF,MAE,0.0024220277420606852
54,MF,L0,0.5
55,MF,MAE,0.0005062822271753727
55,MF,L0,0.5
56,MF,MAE,0.0007996176502679018
56,MF,L0,0.5
57,MF,MAE,0.0017771691789353063
57,MF,L0,1.0
58,MF,MAE,0.00411735952935136
58,MF,L0,1.0
59,MF,MAE,0.0040168964098111415
59,MF,L0,1.0
60,MF,MAE,0.0008904243955321396
60,MF,L0,1.0
61,MF,MAE,0.0012470379717988032
61,MF,L0,1.0
62,MF,MAE,0.0026444546031780002
62,MF,L0,0.5
63,MF,MAE,0.0013542761747542041
63,MF,L0,1.0
64,MF,MAE,0.0018105893634305966
64,MF,L0,1.0
65,MF,MAE,0.001048970900028327
65,MF,L0,0.5
66,MF,MAE,0.004227001034655831
66,MF,L0,1.0
67,MF,MAE,0.002420561370415125
67,MF,L0,0.5
68,MF,MAE,0.0012967002039976606
68,MF,L0,0.5
69,MF,MAE,0.001268394185292737
69,MF,L0,1.0
70,MF,MAE,0.004163666393577059
70,MF,L0,0.5
71,MF,MAE,0.0005521925676267955
71,MF,L0,0.5
72,MF,MAE,0.0037673893953550637
72,MF,L0,1.0
73,MF,MAE,0.003595477586421192
73,MF,L0,1.0
74,MF,MAE,0.002643348120891662
74,MF,L0,0.5
75,MF,MAE,0.0030241762014340478
75,MF,L0,0.5
76,MF,MAE,0.003142365924425981
76,MF,L0,1.0
77,MF,MAE,0.001158243978172354
77,MF,L0,1.0
78,MF,MAE,0.00281537086039209
78,MF,L0,0.5
79,MF,MAE,0.001249746843926948
79,MF,L0,0.5
80,MF,MAE,0.0038423169925534614
80,MF,L0,0.5
81,MF,MAE,0.0021495043067312762
81,MF,L0,1.0
82,MF,MAE,0.005339262100801031
82,MF,L0,0.5
83,MF,MAE,0.002022582961564387
83,MF,L0,0.5
84,MF,MAE,0.005807947060742596
84,MF,L0,0.5
85,MF,MAE,0.0018761330556921107
85,MF,L0,0.5
86,MF,MAE,0.0013587579536040815
86,MF,L0,0.5
87,MF,MAE,0.001576535031083854
87,MF,L0,0.5
88,MF,MAE,0.0016807108512901046
88,MF,L0,0.5
89,MF,MAE,0.0004717308857596556
89,MF,L0,1.0
90,MF,MAE,0.0024229226528849745
90,MF,L0,1.0
91,MF,MAE,0.007009821218573488
91,MF,L0,1.0
92,MF,MAE,0.002294416476087483
92,MF,L0,0.5
93,MF,MAE,0.0011846734825626587
93,MF,L0,0.5
94,MF,MAE,0.0017123598124856093
94,MF,L0,0.5
95,MF,MAE,0.004333595484255172
95,MF,L0,1.0
