run,model,metric,value
0,MF_w,MAE,0.00024070288894666633
0,MF_w,L0,0.0
1,MF_w,MAE,8.274881086324977e-05
1,MF_w,L0,0.0
2,MF_w,MAE,0.000376471353214942
2,MF_w,L0,0.0
3,MF_w,MAE,2.366596113412972e-05
3,MF_w,L0,0.0
4,MF_w,MAE,0.00021626978331396504
4,MF_w,L0,0.0
5,MF_w,MAE,0.00045615647314419205
5,MF_w,L0,0.0
6,MF_w,MAE,0.00012385525654831642
6,MF_w,L0,0.0
7,MF_w,MAE,0.00040241586513087524
7,MF_w,L0,0.0
8,MF_w,MAE,0.0006159484141858874
8,MF_w,L0,0.0
9,MF_w,MAE,0.0002880597862497993
9,MF_w,L0,0.0
10,MF_w,MAE,0.00021472837514542828
10,MF_w,L0,0.0
11,MF_w,MAE,0.0007572815565314214
11,MF_w,L0,0.0
12,MF_w,MAE,2.0595968479514743e-05
12,MF_w,L0,0.0
13,MF_w,MAE,0.0008453144432524115
13,MF_w,L0,0.0
14,MF_w,MAE,9.472306267334363e-05
14,MF_w,L0,0.0
15,MF_w,MAE,0.0006558123100112908
15,MF_w,L0,0.0
16,MF_w,MAE,0.00021483243758835258
16,MF_w,L0,0.0
17,MF_w,MAE,2.095926901079607e-05
17,MF_w,L0,0.0
18,MF_w,MAE,0.00012090672017605238
18,MF_w,L0,0.0
19,MF_w,MAE,0.0007942533502655127
19,MF_w,L0,0.0
20,MF_w,MAE,0.0001547749435462977
20,MF_w,L0,0.0
21,MF_w,MAE,8.75360885942908e-05
21,MF_w,L0,0.0
22,MF_w,MAE,0.001219210577105607
22,MF_w,L0,0.0
23,MF_w,MAE,3.2326231836868335e-05
23,MF_w,L0,0.0
24,MF_w,MAE,0.00024052152674524282
24,MF_w,L0,0.0
25,MF_w,MAE,0.0002077193725608939
25,MF_w,L0,0.0
26,MF_w,MAE,0.00013748253683713851
26,MF_w,L0,0.0
27,MF_w,MAE,0.000140401482010837
27,MF_w,L0,0.0
28,MF_w,MAE,9.625811586095694e-05
28,MF_w,L0,0.0
