run,model,metric,value
0,PMF,MAE,0.0008758030407150392
0,PMF,L0,0.0
1,PMF,MAE,0.0008581019804811662
1,PMF,L0,0.0
2,PMF,MAE,0.0016734627661242549
2,PMF,L0,0.0
3,PMF,MAE,0.0018525674675741455
3,PMF,L0,0.0
4,PMF,MAE,0.002191549134881017
4,PMF,L0,0.0
5,PMF,MAE,0.001093746033778061
5,PMF,L0,0.0
6,PMF,MAE,0.002454945702344736
6,PMF,L0,0.0
7,PMF,MAE,0.00035526949711756306
7,PMF,L0,0.0
8,PMF,MAE,0.002947837975951479
8,PMF,L0,0.0
9,PMF,MAE,0.0006009256608393668
9,PMF,L0,0.0
10,PMF,MAE,0.0015022104965002336
10,PMF,L0,0.0
11,PMF,MAE,0.0029766647466071827
11,PMF,L0,0.0
12,PMF,MAE,0.0007827541233005469
12,PMF,L0,0.0
13,PMF,MAE,0.002971721259389571
13,PMF,L0,0.0
14,PMF,MAE,0.0008601502391419139
14,PMF,L0,0.0
15,PMF,MAE,0.000981115621855641
15,PMF,L0,0.0
16,PMF,MAE,0.000753832950691769
16,PMF,L0,0.0
17,PMF,MAE,0.0012587759346323845
17,PMF,L0,0.0
18,PMF,MAE,0.0012317302443769472
18,PMF,L0,0.0
19,PMF,MAE,0.0006712223903628661
19,PMF,L0,0.0
20,PMF,MAE,0.0010250627205483618
20,PMF,L0,0.0
21,PMF,MAE,0.0020413931996011345
21,PMF,L0,0.0
22,PMF,MAE,0.0005048716312914212
22,PMF,L0,0.0
23,PMF,MAE,0.0028606776672285214
23,PMF,L0,0.0
24,PMF,MAE,0.0007394444916090972
24,PMF,L0,0.0
25,PMF,MAE,0.0016062798329574274
25,PMF,L0,0.0
26,PMF,MAE,0.0005921188435047362
26,PMF,L0,0.0
27,PMF,MAE,0.0004909828568245659
27,PMF,L0,0.0
28,PMF,MAE,0.001992938889587579
28,PMF,L0,0.0
29,PMF,MAE,0.0009471731610828649
29,PMF,L0,0.0
30,PMF,MAE,0.0009715880915477718
30,PMF,L0,0.0
31,PMF,MAE,0.0017056274920587745
31,PMF,L0,0.0
32,PMF,MAE,0.0012352472694662036
32,PMF,L0,0.0
33,PMF,MAE,0.0005891224717983803
33,PMF,L0,0.0
34,PMF,MAE,0.001180066212701741
34,PMF,L0,0.0
35,PMF,MAE,0.0003528945695274825
35,PMF,L0,0.0
36,PMF,MAE,0.00144530328118699
36,PMF,L0,0.0
37,PMF,MAE,0.0007043769688521509
37,PMF,L0,0.0
38,PMF,MAE,0.0002422783493517197
38,PMF,L0,0.0
39,PMF,MAE,0.0008435832001529678
39,PMF,L0,0.0
40,PMF,MAE,0.0004292852513978161
40,PMF,L0,0.0
41,PMF,MAE,0.0006924076352711819
41,PMF,L0,0.0
42,PMF,MAE,0.0008688067665740517
42,PMF,L0,0.0
43,PMF,MAE,0.0008541158310540151
43,PMF,L0,0.0
44,PMF,MAE,0.0004009594126942716
44,PMF,L0,0.0
45,PMF,MAE,0.0011390067946816355
45,PMF,L0,0.0
46,PMF,MAE,0.0007412060952904873
46,PMF,L0,0.0
47,PMF,MAE,0.00040065816827555373
47,PMF,L0,0.0
48,PMF,MAE,0.002236918539094366
48,PMF,L0,0.0
49,PMF,MAE,0.00026352179500570283
49,PMF,L0,0.0
50,PMF,MAE,0.0008097580912015077
50,PMF,L0,0.0
51,PMF,MAE,0.00022234229888553705
51,PMF,L0,0.0
52,PMF,MAE,0.002250213892129755
52,PMF,L0,0.0
53,PMF,MAE,0.0013754585917378468
53,PMF,L0,0.0
54,PMF,MAE,0.0003420997255157131
54,PMF,L0,0.0
55,PMF,MAE,0.0010499109238972099
55,PMF,L0,0.0
56,PMF,MAE,0.00016878483017663862
56,PMF,L0,0.0
57,PMF,MAE,0.0017365477435813913
57,PMF,L0,0.0
58,PMF,MAE,0.0007183255042639974
58,PMF,L0,0.0
59,PMF,MAE,0.0008213385846881152
59,PMF,L0,0.0
60,PMF,MAE,0.0009827828398223822
60,PMF,L0,0.0
61,PMF,MAE,0.0006654532733968016
61,PMF,L0,0.0
62,PMF,MAE,0.0008426277380107322
62,PMF,L0,0.0
63,PMF,MAE,0.0004086797005780467
63,PMF,L0,0.0
64,PMF,MAE,0.0004991280414416155
64,PMF,L0,0.0
65,PMF,MAE,0.0005425160058816723
65,PMF,L0,0.0
66,PMF,MAE,0.0022800439493236868
66,PMF,L0,0.0
67,PMF,MAE,0.0009517885234262465
67,PMF,L0,0.0
68,PMF,MAE,0.0003574741638242447
68,PMF,L0,0.0
69,PMF,MAE,0.002366974636015956
69,PMF,L0,0.0
70,PMF,MAE,0.0003681755079353981
70,PMF,L0,0.0
71,PMF,MAE,0.0017541659491615291
71,PMF,L0,0.0
72,PMF,MAE,0.0001531996424038636
72,PMF,L0,0.0
73,PMF,MAE,0.0006555788838492338
73,PMF,L0,0.0
74,PMF,MAE,0.00103827144347327
74,PMF,L0,0.0
75,PMF,MAE,0.0014356805917066877
75,PMF,L0,0.0
76,PMF,MAE,0.0004900442915370858
76,PMF,L0,0.0
77,PMF,MAE,0.000496502033363419
77,PMF,L0,0.0
78,PMF,MAE,0.0006191689662164435
78,PMF,L0,0.0
79,PMF,MAE,0.0006426914801405068
79,PMF,L0,0.0
80,PMF,MAE,0.0013512332988661658
80,PMF,L0,0.0
81,PMF,MAE,0.0006847199590843863
81,PMF,L0,0.0
82,PMF,MAE,0.0018315295295133344
82,PMF,L0,0.0
83,PMF,MAE,0.0007217713645211015
83,PMF,L0,0.0
84,PMF,MAE,0.0002623326457037306
84,PMF,L0,0.0
85,PMF,MAE,0.0008090812355223779
85,PMF,L0,0.0
86,PMF,MAE,0.0015469174416355286
86,PMF,L0,0.0
87,PMF,MAE,0.0021999329128288606
87,PMF,L0,0.0
88,PMF,MAE,0.0003513800735701021
88,PMF,L0,0.0
89,PMF,MAE,0.0010960494724503538
89,PMF,L0,0.0
90,PMF,MAE,0.0004133012824833378
90,PMF,L0,0.0
91,PMF,MAE,0.00042220717436630695
91,PMF,L0,0.0
92,PMF,MAE,0.00290848003868336
92,PMF,L0,0.0
93,PMF,MAE,0.0007438680042403505
93,PMF,L0,0.0
94,PMF,MAE,0.0009848539325036376
94,PMF,L0,0.0
95,PMF,MAE,0.0005385681466318626
95,PMF,L0,0.0
96,PMF,MAE,0.0009291812963998827
96,PMF,L0,0.0
97,PMF,MAE,0.0003781196138026646
97,PMF,L0,0.0
