run,model,metric,value
0,VHF,MAE,3.22044578692481e-05
0,VHF,L0,0.0
1,VHF,MAE,0.0005837050590225037
1,VHF,L0,0.0
2,VHF,MAE,0.0012505700752763794
2,VHF,L0,0.0
3,VHF,MAE,7.198282835014595e-05
3,VHF,L0,0.0
4,VHF,MAE,0.0005721009500014954
4,VHF,L0,0.0
5,VHF,MAE,0.0002816202763019221
5,VHF,L0,0.0
6,VHF,MAE,9.281985700360096e-05
6,VHF,L0,0.0
7,VHF,MAE,0.0005782267640279254
7,VHF,L0,0.0
8,VHF,MAE,0.00035823400904259894
8,VHF,L0,0.0
9,VHF,MAE,0.00016582393206331555
9,VHF,L0,0.0
10,VHF,MAE,0.0006835318651470962
10,VHF,L0,0.0
11,VHF,MAE,0.0005990134579835632
11,VHF,L0,0.0
12,VHF,MAE,6.0807286682983595e-05
12,VHF,L0,0.0
13,VHF,MAE,0.0024084737128390182
13,VHF,L0,0.5
14,VHF,MAE,0.00034788348171484185
14,VHF,L0,0.0
15,VHF,MAE,0.0003360361671990164
15,VHF,L0,0.0
16,VHF,MAE,0.0003724868250446813
16,VHF,L0,0.0
17,VHF,MAE,3.905171646106237e-05
17,VHF,L0,0.0
18,VHF,MAE,0.00031796697525401
18,VHF,L0,0.0
19,VHF,MAE,0.0003466211878440743
19,VHF,L0,0.0
20,VHF,MAE,0.0004348760118561233
20,VHF,L0,0.0
21,VHF,MAE,0.00023720228452613992
21,VHF,L0,0.0
22,VHF,MAE,0.0011024887464910853
22,VHF,L0,0.0
23,VHF,MAE,0.0003115638761284993
23,VHF,L0,0.0
24,VHF,MAE,0.00032190158557303394
24,VHF,L0,0.0
25,VHF,MAE,0.0001481129812716947
25,VHF,L0,0.0
26,VHF,MAE,9.649474146564603e-05
26,VHF,L0,0.0
27,VHF,MAE,0.0004104292866314747
27,VHF,L0,0.0
28,VHF,MAE,0.0005973902283069552
28,VHF,L0,0.0
29,VHF,MAE,0.000263424658559476
29,VHF,L0,0.0
30,VHF,MAE,0.0002535780390993438
