run,model,metric,value
0,VLF,MAE,0.0005913944342904645
0,VLF,L0,0.0
1,VLF,MAE,0.0010460528955334447
1,VLF,L0,0.0
2,VLF,MAE,0.0015887226761906875
2,VLF,L0,0.0
3,VLF,MAE,0.0016690633458101983
3,VLF,L0,0.0
4,VLF,MAE,0.0027941858517293353
4,VLF,L0,0.0
5,VLF,MAE,0.0011496304163553888
5,VLF,L0,0.0
6,VLF,MAE,0.0024651470979461846
6,VLF,L0,0.0
7,VLF,MAE,0.00039152770021461347
7,VLF,L0,0.0
8,VLF,MAE,0.0031439668242342713
8,VLF,L0,0.0
9,VLF,MAE,0.0013498982584557058
9,VLF,L0,0.0
10,VLF,MAE,0.0014261278955276444
10,VLF,L0,0.0
11,VLF,MAE,0.0032512168045916445
11,VLF,L0,0.0
12,VLF,MAE,0.0010828418430352306
12,VLF,L0,0.0
13,VLF,MAE,0.002653545602677392
13,VLF,L0,0.0
14,VLF,MAE,0.0005380771355986252
14,VLF,L0,0.0
15,VLF,MAE,0.0009945423954582852
15,VLF,L0,0.0
16,VLF,MAE,0.00045898608808395136
16,VLF,L0,0.0
17,VLF,MAE,0.0011863078908298148
17,VLF,L0,0.0
18,VLF,MAE,0.0011256166798928973
18,VLF,L0,0.0
19,VLF,MAE,0.000530734652588317
19,VLF,L0,0.0
20,VLF,MAE,0.0013097160849568589
20,VLF,L0,0.0
21,VLF,MAE,0.0022644048926308328
21,VLF,L0,0.0
22,VLF,MAE,0.0009673944986934626
22,VLF,L0,0.0
23,VLF,MAE,0.0025356449951427448
23,VLF,L0,0.0
24,VLF,MAE,0.0006049700181334194
24,VLF,L0,0.0
25,VLF,MAE,0.0014983998896328256
25,VLF,L0,0.0
26,VLF,MAE,0.000984793409619979
26,VLF,L0,0.0
27,VLF,MAE,0.0006402374435783101
27,VLF,L0,0.0
28,VLF,MAE,0.00264406590290119
28,VLF,L0,0.0
29,VLF,MAE,0.0019694588390354872
29,VLF,L0,0.0
30,VLF,MAE,0.000768924477082387
30,VLF,L0,0.0
31,VLF,MAE,0.0020897909286228117
31,VLF,L0,0.0
32,VLF,MAE,0.0009991314807297619
32,VLF,L0,0.0
33,VLF,MAE,0.0004318044988137181
33,VLF,L0,0.0
34,VLF,MAE,0.0010581090312786895
34,VLF,L0,0.0
35,VLF,MAE,0.0006537906221492362
35,VLF,L0,0.0
36,VLF,MAE,0.0006220389302262324
36,VLF,L0,0.0
37,VLF,MAE,0.0012100254561180357
37,VLF,L0,0.0
38,VLF,MAE,0.0006722387735386184
38,VLF,L0,0.0
39,VLF,MAE,0.0011279671214181562
39,VLF,L0,0.0
40,VLF,MAE,0.00031343904932884525
40,VLF,L0,0.0
41,VLF,MAE,0.001053836556407307
41,VLF,L0,0.0
42,VLF,MAE,0.00035142852147740145
42,VLF,L0,0.0
43,VLF,MAE,0.00041901821870934014
43,VLF,L0,0.0
44,VLF,MAE,0.0005639745975107672
44,VLF,L0,0.0
45,VLF,MAE,0.0015325086804328324
45,VLF,L0,0.0
46,VLF,MAE,0.0011762712803589346
46,VLF,L0,0.0
47,VLF,MAE,0.0005111364922189878
47,VLF,L0,0.0
48,VLF,MAE,0.0015964219585034901
48,VLF,L0,0.0
49,VLF,MAE,0.0011119796609886216
49,VLF,L0,0.0
50,VLF,MAE,0.000554024708717682
50,VLF,L0,0.0
51,VLF,MAE,0.0002751378533054997
51,VLF,L0,0.0
52,VLF,MAE,0.0022471292130831536
52,VLF,L0,0.0
53,VLF,MAE,0.0016935405130783
53,VLF,L0,0.0
54,VLF,MAE,0.00037155477089803834
54,VLF,L0,0.0
55,VLF,MAE,0.0010813868782167137
55,VLF,L0,0.0
56,VLF,MAE,0.0005566415784040204
56,VLF,L0,0.0
57,VLF,MAE,0.0016834728377623648
57,VLF,L0,0.0
58,VLF,MAE,0.001303658821621136
58,VLF,L0,0.0
59,VLF,MAE,0.0009702695466490621
59,VLF,L0,0.0
60,VLF,MAE,0.0006494307981373219
60,VLF,L0,0.0
61,VLF,MAE,0.0015408984656596764
61,VLF,L0,0.0
62,VLF,MAE,0.0008273712966669298
62,VLF,L0,0.0
63,VLF,MAE,0.0007006377320252499
63,VLF,L0,0.0
64,VLF,MAE,0.0001556417960872474
64,VLF,L0,0.0
65,VLF,MAE,0.0010849758479654498
65,VLF,L0,0.0
66,VLF,MAE,0.0029780718329848375
66,VLF,L0,0.0
67,VLF,MAE,0.0006209636412182982
67,VLF,L0,0.0
