run,model,metric,value
0,VMF,MAE,0.000297963880493593
0,VMF,L0,0.0
1,VMF,MAE,6.268542549249523e-05
1,VMF,L0,0.0
2,VMF,MAE,0.000555421416154965
2,VMF,L0,0.0
3,VMF,MAE,6.170779636822017e-05
3,VMF,L0,0.0
4,VMF,MAE,0.00013455243324582886
4,VMF,L0,0.0
5,VMF,MAE,0.0003198928170197827
5,VMF,L0,0.0
6,VMF,MAE,5.7947481721658256e-05
6,VMF,L0,0.0
7,VMF,MAE,0.0001854115986829885
7,VMF,L0,0.0
8,VMF,MAE,0.0007101315653776525
8,VMF,L0,0.0
9,VMF,MAE,0.00010172687874770298
9,VMF,L0,0.0
10,VMF,MAE,0.0005033788103529455
10,VMF,L0,0.0
11,VMF,MAE,0.0012825555233003823
11,VMF,L0,0.0
12,VMF,MAE,3.924317245283804e-05
12,VMF,L0,0.0
13,VMF,MAE,0.0006242160460722864
13,VMF,L0,0.0
14,VMF,MAE,0.00013796743381550014
14,VMF,L0,0.0
15,VMF,MAE,0.00036306313073945773
15,VMF,L0,0.0
16,VMF,MAE,0.0001804750005455121
16,VMF,L0,0.0
17,VMF,MAE,5.521799599994548e-05
17,VMF,L0,0.0
18,VMF,MAE,0.00013890856906356255
18,VMF,L0,0.0
19,VMF,MAE,0.0008208546428933086
19,VMF,L0,0.0
20,VMF,MAE,0.0001278215999224406
20,VMF,L0,0.0
21,VMF,MAE,9.167043318301694e-05
21,VMF,L0,0.0
22,VMF,MAE,0.001295873113320754
22,VMF,L0,0.0
23,VMF,MAE,0.00012070413349287805
23,VMF,L0,0.0
24,VMF,MAE,0.00022264122885029547
24,VMF,L0,0.0
25,VMF,MAE,0.0001695121626783235
25,VMF,L0,0.0
26,VMF,MAE,0.00013009716433950297
26,VMF,L0,0.0
27,VMF,MAE,0.00037532026926336465
27,VMF,L0,0.0
28,VMF,MAE,0.00013574644611581235
28,VMF,L0,0.0
29,VMF,MAE,0.00013202580338748474
29,VMF,L0,0.0
30,VMF,MAE,0.000514993117076599
30,VMF,L0,0.0
31,VMF,MAE,0.00017550932917442114
31,VMF,L0,0.0
32,VMF,MAE,3.9965709144928564e-05
32,VMF,L0,0.0
33,VMF,MAE,0.0003363079401015069
33,VMF,L0,0.0
34,VMF,MAE,0.0003530757088018241
34,VMF,L0,0.0
35,VMF,MAE,0.0006521169030296615
35,VMF,L0,0.0
36,VMF,MAE,0.000276203518223254
36,VMF,L0,0.0
37,VMF,MAE,3.6046616308502144e-05
37,VMF,L0,0.0
38,VMF,MAE,0.0010205245569789255
