run,model,metric,value
0,HF,MAE,0.4444444444444444
0,HF,L0,1.0
1,HF,MAE,0.4505372978835893
1,HF,L0,1.0
2,HF,MAE,0.4444444444444444
2,HF,L0,1.0
3,HF,MAE,1.156531539414914
3,HF,L0,1.375
4,HF,MAE,0.45089935120987196
4,HF,L0,1.0
5,HF,MAE,0.9545418641743972
5,HF,L0,1.25
6,HF,MAE,0.4444444444444444
6,HF,L0,1.0
7,HF,MAE,0.4433837340542637
7,HF,L0,1.0
8,HF,MAE,1.2722865068229756
8,HF,L0,1.0
9,HF,MAE,0.46612679491951575
9,HF,L0,1.125
10,HF,MAE,0.999477817518385
10,HF,L0,1.375
11,HF,MAE,0.4117253526574147
11,HF,L0,0.875
12,HF,MAE,20.942807542740226
12,HF,L0,1.125
13,HF,MAE,0.9200142632450325
13,HF,L0,1.125
14,HF,MAE,0.49240910753988665
14,HF,L0,1.25
15,HF,MAE,0.5001509897669203
15,HF,L0,1.25
16,HF,MAE,0.4444444444444444
16,HF,L0,1.0
17,HF,MAE,1.4259649061092619
17,HF,L0,1.125
18,HF,MAE,0.4444444444444444
18,HF,L0,1.0
19,HF,MAE,0.47615262270008823
19,HF,L0,1.0
20,HF,MAE,0.4444444444444444
20,HF,L0,1.0
21,HF,MAE,0.4444444444444444
21,HF,L0,1.0
22,HF,MAE,0.48324592166265984
22,HF,L0,1.125
23,HF,MAE,0.4444444444444444
23,HF,L0,1.0
24,HF,MAE,0.4444444444444444
24,HF,L0,1.0
25,HF,MAE,0.9982263429189767
25,HF,L0,1.25
26,HF,MAE,0.4444444444444444
26,HF,L0,1.0
27,HF,MAE,0.4444444444444444
27,HF,L0,1.0
28,HF,MAE,2.6415996626769545
28,HF,L0,0.875
29,HF,MAE,0.4042382490322464
29,HF,L0,1.0
30,HF,MAE,0.4444444444444444
30,HF,L0,1.0
31,HF,MAE,14.092130359193128
31,HF,L0,1.375
32,HF,MAE,0.41568244969509033
32,HF,L0,0.875
33,HF,MAE,0.4444444444444444
33,HF,L0,1.0
34,HF,MAE,0.7340084398329505
34,HF,L0,1.25
35,HF,MAE,0.4444444444444444
35,HF,L0,1.0
36,HF,MAE,0.4444444444444444
36,HF,L0,1.0
37,HF,MAE,0.4444444444444444
37,HF,L0,1.0
38,HF,MAE,0.4444444444444444
38,HF,L0,1.0
39,HF,MAE,0.4444444444444444
39,HF,L0,1.0
40,HF,MAE,0.4444444444444444
40,HF,L0,1.0
41,HF,MAE,17.747291677574324
41,HF,L0,1.25
42,HF,MAE,0.4444444444444444
42,HF,L0,1.0
43,HF,MAE,1.0533627239476104
43,HF,L0,1.125
44,HF,MAE,4.269385684130212
44,HF,L0,1.25
45,HF,MAE,0.4444444444444444
45,HF,L0,1.0
46,HF,MAE,19.324189935352628
46,HF,L0,1.25
47,HF,MAE,0.9113512068490716
47,HF,L0,1.25
48,HF,MAE,0.4444444444444444
48,HF,L0,1.0
49,HF,MAE,0.4444444444444444
49,HF,L0,1.0
50,HF,MAE,2.5376067017349992
50,HF,L0,1.125
51,HF,MAE,0.5215746998724752
51,HF,L0,1.25
52,HF,MAE,0.4444444444444444
52,HF,L0,1.0
53,HF,MAE,0.4997377881837834
53,HF,L0,1.25
54,HF,MAE,0.4444444444444444
54,HF,L0,1.0
55,HF,MAE,0.956558361970844
55,HF,L0,1.0
56,HF,MAE,10.294152633526277
56,HF,L0,1.0
57,HF,MAE,0.4444444444444444
57,HF,L0,1.0
58,HF,MAE,0.4406134668066029
58,HF,L0,0.875
59,HF,MAE,0.480561205297371
59,HF,L0,1.125
60,HF,MAE,0.48163592346528605
60,HF,L0,1.25
61,HF,MAE,0.4444444444444444
61,HF,L0,1.0
62,HF,MAE,0.4444444444444444
62,HF,L0,1.0
63,HF,MAE,0.430672952866966
63,HF,L0,1.125
64,HF,MAE,0.4401541275452683
64,HF,L0,1.0
65,HF,MAE,0.4618425899849378
65,HF,L0,1.125
66,HF,MAE,1.4110352192293238
66,HF,L0,1.125
67,HF,MAE,0.44313886432379535
67,HF,L0,1.0
68,HF,MAE,0.4444444444444444
68,HF,L0,1.0
69,HF,MAE,0.4444444444444444
69,HF,L0,1.0
70,HF,MAE,0.4444444444444444
70,HF,L0,1.0
71,HF,MAE,0.4444444444444444
71,HF,L0,1.0
72,HF,MAE,6.2301070936555565
72,HF,L0,1.5
73,HF,MAE,0.4444444444444444
73,HF,L0,1.0
74,HF,MAE,0.47985565724065793
74,HF,L0,1.0
75,HF,MAE,0.7089897846878397
75,HF,L0,1.25
76,HF,MAE,1.1264816737694707
76,HF,L0,1.25
77,HF,MAE,0.4444444444444444
77,HF,L0,1.0
78,HF,MAE,0.4959746784547132
78,HF,L0,1.0
79,HF,MAE,3.962422098984815
79,HF,L0,1.0
80,HF,MAE,11.643424590197705
80,HF,L0,1.0
81,HF,MAE,0.4444444444444444
81,HF,L0,1.0
82,HF,MAE,6.737520482572624
82,HF,L0,1.375
83,HF,MAE,0.4954317243495867
83,HF,L0,1.25
84,HF,MAE,0.5866485790487252
84,HF,L0,1.25
85,HF,MAE,0.4611997424668781
85,HF,L0,1.0
86,HF,MAE,0.38982562778642654
86,HF,L0,0.875
87,HF,MAE,0.4444444444444444
87,HF,L0,1.0
88,HF,MAE,1.3193804213966123
88,HF,L0,1.125
89,HF,MAE,0.4444444444444444
89,HF,L0,1.0
90,HF,MAE,0.4444444444444444
90,HF,L0,1.0
91,HF,MAE,1.8962098985367624
91,HF,L0,1.125
92,HF,MAE,0.45849826317577475
92,HF,L0,1.0
93,HF,MAE,0.4218088935780244
93,HF,L0,1.0
94,HF,MAE,1.2537131470308096
94,HF,L0,1.25
95,HF,MAE,0.4648856046455708
95,HF,L0,1.125
96,HF,MAE,0.5047361789657179
96,HF,L0,1.125
97,HF,MAE,0.4444444444444444
97,HF,L0,1.0
98,HF,MAE,7.177193463744915
98,HF,L0,1.25
99,HF,MAE,0.4444444444444444
99,HF,L0,1.0
