run,model,metric,value
0,LF,MAE,0.19914537892164696
0,LF,L0,0.5
1,LF,MAE,0.037378379126603856
1,LF,L0,0.375
2,LF,MAE,0.20010878634866158
2,LF,L0,0.5
3,LF,MAE,0.3209685479076784
3,LF,L0,0.75
4,LF,MAE,0.17294585980734323
4,LF,L0,0.5
5,LF,MAE,0.038962187705315184
5,LF,L0,0.25
6,LF,MAE,0.043289068841893236
6,LF,L0,0.375
7,LF,MAE,0.01956996009123504
7,LF,L0,0.25
8,LF,MAE,0.06737510022662013
8,LF,L0,0.5
9,LF,MAE,0.39323451143887034
9,LF,L0,1.25
10,LF,MAE,0.18856349653089832
10,LF,L0,0.5
11,LF,MAE,0.03950580886931715
11,LF,L0,0.5
12,LF,MAE,0.4144059728546136
12,LF,L0,0.875
13,LF,MAE,0.03383014392266687
13,LF,L0,0.375
14,LF,MAE,0.04092399377025036
14,LF,L0,0.375
15,LF,MAE,0.028212009437327996
15,LF,L0,0.375
16,LF,MAE,0.18440688152346177
16,LF,L0,0.75
17,LF,MAE,0.04155001904108175
17,LF,L0,0.25
18,LF,MAE,0.0579703305238458
18,LF,L0,0.25
19,LF,MAE,0.3402694301859987
19,LF,L0,0.75
20,LF,MAE,0.04176991492169873
20,LF,L0,0.25
21,LF,MAE,0.0492643046945718
21,LF,L0,0.25
22,LF,MAE,0.2007634402033901
22,LF,L0,0.75
23,LF,MAE,0.029015256357431813
23,LF,L0,0.375
24,LF,MAE,0.032233153336309106
24,LF,L0,0.5
25,LF,MAE,0.2142126957260322
25,LF,L0,0.5
26,LF,MAE,0.038417902024271526
26,LF,L0,0.25
27,LF,MAE,0.066189227959567
27,LF,L0,0.625
28,LF,MAE,0.3692726960893459
28,LF,L0,1.25
29,LF,MAE,0.04633420628409254
29,LF,L0,0.5
30,LF,MAE,0.4240314918883489
30,LF,L0,1.125
31,LF,MAE,0.17834215094492328
31,LF,L0,0.625
32,LF,MAE,0.24405752730086908
32,LF,L0,0.875
33,LF,MAE,0.08764060867192586
33,LF,L0,0.5
34,LF,MAE,0.3528907047392597
34,LF,L0,1.25
35,LF,MAE,0.026815818150362544
35,LF,L0,0.5
36,LF,MAE,0.22035662506812972
36,LF,L0,0.5
37,LF,MAE,0.15380791095279323
37,LF,L0,0.5
38,LF,MAE,0.032470252078218985
38,LF,L0,0.5
39,LF,MAE,0.026261375041210736
39,LF,L0,0.375
40,LF,MAE,0.03727050127276568
40,LF,L0,0.5
41,LF,MAE,0.35387876255825446
41,LF,L0,0.75
42,LF,MAE,0.04297398568857466
42,LF,L0,0.5
43,LF,MAE,0.1746272840004971
43,LF,L0,0.375
44,LF,MAE,0.2898976751693684
44,LF,L0,0.5
45,LF,MAE,0.3646895128660974
45,LF,L0,1.0
46,LF,MAE,0.04235054019864389
46,LF,L0,0.625
47,LF,MAE,0.03959450463403526
47,LF,L0,0.5
48,LF,MAE,0.03448877279632559
48,LF,L0,0.625
49,LF,MAE,0.5636478581177147
49,LF,L0,0.875
50,LF,MAE,0.04565811705620598
50,LF,L0,0.625
51,LF,MAE,0.02377281305565993
51,LF,L0,0.375
52,LF,MAE,0.020781316234885435
52,LF,L0,0.375
53,LF,MAE,0.03752641408491922
53,LF,L0,0.375
54,LF,MAE,0.02911002591922275
54,LF,L0,0.375
55,LF,MAE,0.030681867864273613
55,LF,L0,0.25
56,LF,MAE,0.16986010246923489
56,LF,L0,0.625
57,LF,MAE,0.22092357025064674
57,LF,L0,0.75
58,LF,MAE,0.15160654071084145
58,LF,L0,0.5
59,LF,MAE,0.04735711875922086
59,LF,L0,0.375
60,LF,MAE,0.03868802345439063
60,LF,L0,0.75
61,LF,MAE,0.16834469914641892
61,LF,L0,0.5
62,LF,MAE,0.1957362379637286
62,LF,L0,0.625
63,LF,MAE,0.047200987069640155
63,LF,L0,0.25
64,LF,MAE,0.030086805339373204
64,LF,L0,0.625
