run,model,metric,value
0,MF,MAE,0.34295243070358084
0,MF,L0,0.75
1,MF,MAE,0.3394202667090787
1,MF,L0,0.75
2,MF,MAE,0.33555712361412443
2,MF,L0,0.75
3,MF,MAE,0.39076926993065536
3,MF,L0,0.875
4,MF,MAE,0.3434292349464093
4,MF,L0,0.75
5,MF,MAE,0.13277312314720363
5,MF,L0,0.25
6,MF,MAE,0.3202898025068541
6,MF,L0,0.625
7,MF,MAE,0.24625378625877475
7,MF,L0,0.5
8,MF,MAE,0.3408267012302732
8,MF,L0,0.75
9,MF,MAE,0.39510664081223157
9,MF,L0,0.875
10,MF,MAE,0.39187893960863684
10,MF,L0,0.875
11,MF,MAE,0.3357642657920408
11,MF,L0,0.75
12,MF,MAE,0.3424762697802552
12,MF,L0,0.75
13,MF,MAE,0.3502145885624113
13,MF,L0,0.75
14,MF,MAE,0.34098725398832
14,MF,L0,0.75
15,MF,MAE,0.3918604869738235
15,MF,L0,0.875
16,MF,MAE,0.4444444444444444
16,MF,L0,1.0
17,MF,MAE,0.3605716744977584
17,MF,L0,0.75
18,MF,MAE,0.35025630649207673
18,MF,L0,0.75
19,MF,MAE,0.39106960313359185
19,MF,L0,0.875
20,MF,MAE,0.3358827564653908
20,MF,L0,0.75
21,MF,MAE,0.2919806185132631
21,MF,L0,0.625
22,MF,MAE,0.3569925076255397
22,MF,L0,0.75
23,MF,MAE,0.3551789458695085
23,MF,L0,0.75
24,MF,MAE,0.28966218767605895
24,MF,L0,0.625
25,MF,MAE,0.4170901856468269
25,MF,L0,1.0
26,MF,MAE,0.34832460432816603
26,MF,L0,0.75
27,MF,MAE,0.3040511095359797
27,MF,L0,0.625
28,MF,MAE,0.4184255485139535
28,MF,L0,0.875
29,MF,MAE,0.3440513376082069
29,MF,L0,0.75
30,MF,MAE,0.3896955686476063
30,MF,L0,0.875
31,MF,MAE,0.38904786617358345
31,MF,L0,0.875
32,MF,MAE,0.3931503823897768
32,MF,L0,0.875
33,MF,MAE,0.3965420993669089
33,MF,L0,0.875
34,MF,MAE,0.39586692921876054
34,MF,L0,0.875
35,MF,MAE,0.33664498652457
35,MF,L0,0.75
36,MF,MAE,0.39809446616073596
36,MF,L0,0.875
37,MF,MAE,0.3359026586122311
37,MF,L0,0.75
38,MF,MAE,0.3929493436036036
38,MF,L0,0.875
39,MF,MAE,0.23842111601108507
39,MF,L0,0.5
40,MF,MAE,0.39998301010630677
40,MF,L0,0.875
41,MF,MAE,0.3892717074420027
41,MF,L0,0.875
42,MF,MAE,0.39310090128150993
42,MF,L0,0.875
43,MF,MAE,0.3410054626729053
43,MF,L0,0.75
44,MF,MAE,0.39257420806620275
44,MF,L0,0.875
45,MF,MAE,0.3892199272782273
45,MF,L0,0.875
46,MF,MAE,0.3391361487241213
46,MF,L0,0.75
47,MF,MAE,0.3371004864300252
47,MF,L0,0.75
48,MF,MAE,0.17602355018686122
48,MF,L0,0.375
49,MF,MAE,0.3946413904723547
49,MF,L0,0.875
50,MF,MAE,0.3935574206319664
50,MF,L0,0.875
51,MF,MAE,0.28838145969776785
51,MF,L0,0.625
52,MF,MAE,0.3000555170231873
52,MF,L0,0.625
53,MF,MAE,0.19272841768733104
53,MF,L0,0.375
54,MF,MAE,0.3458523511049927
54,MF,L0,0.75
55,MF,MAE,0.3379941931038112
55,MF,L0,0.75
56,MF,MAE,0.3478653294590281
56,MF,L0,0.75
57,MF,MAE,0.33532750815838835
57,MF,L0,0.75
58,MF,MAE,0.3471761866114647
58,MF,L0,0.75
59,MF,MAE,0.17932689829650086
59,MF,L0,0.375
60,MF,MAE,0.3470042920823222
60,MF,L0,0.75
61,MF,MAE,0.33403584421658494
61,MF,L0,0.75
62,MF,MAE,0.33672051164404665
62,MF,L0,0.75
63,MF,MAE,0.3909183538513348
63,MF,L0,0.875
64,MF,MAE,0.29378870831125004
64,MF,L0,0.625
65,MF,MAE,0.3902200912086101
65,MF,L0,0.875
66,MF,MAE,0.1778340819004909
66,MF,L0,0.375
67,MF,MAE,0.38038519108922686
67,MF,L0,0.75
68,MF,MAE,0.2913672065785086
68,MF,L0,0.625
69,MF,MAE,0.2395640291563261
69,MF,L0,0.5
70,MF,MAE,0.3920423902012331
70,MF,L0,0.875
71,MF,MAE,0.39684100762170416
71,MF,L0,0.875
72,MF,MAE,0.38989856727745004
72,MF,L0,0.875
73,MF,MAE,0.3404405511501694
73,MF,L0,0.75
74,MF,MAE,0.352508070134593
74,MF,L0,0.75
75,MF,MAE,0.3936681057971369
75,MF,L0,0.875
76,MF,MAE,0.438125259125011
76,MF,L0,1.0
77,MF,MAE,0.3451776889564657
77,MF,L0,0.75
78,MF,MAE,0.1527296234059693
78,MF,L0,0.25
79,MF,MAE,0.38915267523863584
79,MF,L0,0.875
80,MF,MAE,0.3440633995447733
80,MF,L0,0.75
81,MF,MAE,0.33785748379334907
81,MF,L0,0.75
82,MF,MAE,0.3477189573567976
82,MF,L0,0.75
83,MF,MAE,0.3901685312667317
83,MF,L0,0.875
84,MF,MAE,0.344750830074028
84,MF,L0,0.75
85,MF,MAE,0.3973251855479928
85,MF,L0,0.875
86,MF,MAE,0.39679177749105254
86,MF,L0,0.875
87,MF,MAE,0.3976613660570203
87,MF,L0,0.875
88,MF,MAE,0.3288894969833598
88,MF,L0,0.625
89,MF,MAE,0.3960407425526218
89,MF,L0,0.875
90,MF,MAE,0.33568529490035914
90,MF,L0,0.75
91,MF,MAE,0.3380628227985977
91,MF,L0,0.75
92,MF,MAE,0.30800823762921414
92,MF,L0,0.625
93,MF,MAE,0.3984876877574314
93,MF,L0,0.875
94,MF,MAE,0.1275285436268092
94,MF,L0,0.25
95,MF,MAE,0.4444444444444444
95,MF,L0,1.0
96,MF,MAE,0.26522678810349715
96,MF,L0,0.5
97,MF,MAE,0.3035201686259753
97,MF,L0,0.625
98,MF,MAE,0.25161042205557127
98,MF,L0,0.5
99,MF,MAE,0.34128267107863036
99,MF,L0,0.75
