run,model,metric,value
0,MF_w,MAE,0.014214999414559781
0,MF_w,L0,0.0
1,MF_w,MAE,0.024103401632706682
1,MF_w,L0,0.0
2,MF_w,MAE,0.00722232431824851
2,MF_w,L0,0.0
3,MF_w,MAE,0.05238470416866439
3,MF_w,L0,0.0
4,MF_w,MAE,0.03697654360758306
4,MF_w,L0,0.0
5,MF_w,MAE,0.015145633211352878
5,MF_w,L0,0.0
6,MF_w,MAE,0.02381963045065561
6,MF_w,L0,0.0
7,MF_w,MAE,0.03557206486234855
7,MF_w,L0,0.0
8,MF_w,MAE,0.022032505682078842
8,MF_w,L0,0.0
9,MF_w,MAE,0.026750497538537032
9,MF_w,L0,0.0
10,MF_w,MAE,0.04679032727255612
10,MF_w,L0,0.0
11,MF_w,MAE,0.017875566953934125
11,MF_w,L0,0.0
12,MF_w,MAE,0.03232928247607998
12,MF_w,L0,0.0
13,MF_w,MAE,0.01920387849084386
13,MF_w,L0,0.0
14,MF_w,MAE,0.016005667763816043
14,MF_w,L0,0.0
15,MF_w,MAE,0.02520919799539277
15,MF_w,L0,0.0
16,MF_w,MAE,0.008263324754804933
16,MF_w,L0,0.0
17,MF_w,MAE,0.0436534976187197
17,MF_w,L0,0.0
18,MF_w,MAE,0.04053124925809367
18,MF_w,L0,0.0
19,MF_w,MAE,0.037555728409107494
19,MF_w,L0,0.0
20,MF_w,MAE,0.032718709744892875
20,MF_w,L0,0.0
21,MF_w,MAE,0.047596653593002664
21,MF_w,L0,0.0
22,MF_w,MAE,0.003206350177059577
22,MF_w,L0,0.0
23,MF_w,MAE,0.023129955031058844
23,MF_w,L0,0.0
24,MF_w,MAE,0.033615458576481544
24,MF_w,L0,0.0
25,MF_w,MAE,0.03780062634768706
25,MF_w,L0,0.0
26,MF_w,MAE,0.014397620304215455
26,MF_w,L0,0.0
27,MF_w,MAE,0.01737393643790305
27,MF_w,L0,0.0
28,MF_w,MAE,0.027607494674392538
28,MF_w,L0,0.0
29,MF_w,MAE,0.0431473589148368
29,MF_w,L0,0.0
30,MF_w,MAE,0.019005483644413252
30,MF_w,L0,0.0
31,MF_w,MAE,0.020436246784262646
31,MF_w,L0,0.0
32,MF_w,MAE,0.0399429959031339
32,MF_w,L0,0.0
33,MF_w,MAE,0.020558037957546366
33,MF_w,L0,0.0
34,MF_w,MAE,0.06270462126593933
34,MF_w,L0,0.0
35,MF_w,MAE,0.03456981443393687
35,MF_w,L0,0.0
36,MF_w,MAE,0.01887344514514811
36,MF_w,L0,0.0
