run,model,metric,value
0,PMF,MAE,0.03164915753264821
0,PMF,L0,0.0
1,PMF,MAE,0.01716757975144499
1,PMF,L0,0.0
2,PMF,MAE,0.035577086610449185
2,PMF,L0,0.0
3,PMF,MAE,0.022123920723821373
3,PMF,L0,0.0
4,PMF,MAE,0.021818087860813393
4,PMF,L0,0.0
5,PMF,MAE,0.014955483025178037
5,PMF,L0,0.0
6,PMF,MAE,0.02670556712992102
6,PMF,L0,0.0
7,PMF,MAE,0.01163382709544375
7,PMF,L0,0.0
8,PMF,MAE,0.03271879402314523
8,PMF,L0,0.0
9,PMF,MAE,0.05414691517670184
9,PMF,L0,0.0
10,PMF,MAE,0.02846166817772295
10,PMF,L0,0.0
11,PMF,MAE,0.02963592855242448
11,PMF,L0,0.0
12,PMF,MAE,0.0370166073422972
12,PMF,L0,0.0
13,PMF,MAE,0.035872626334940094
13,PMF,L0,0.0
14,PMF,MAE,0.03844334904625398
14,PMF,L0,0.0
15,PMF,MAE,0.015315624835610768
15,PMF,L0,0.0
16,PMF,MAE,0.026800637357409993
16,PMF,L0,0.0
17,PMF,MAE,0.03218083631267839
17,PMF,L0,0.0
18,PMF,MAE,0.023972859947851016
18,PMF,L0,0.0
19,PMF,MAE,0.063703411125666
19,PMF,L0,0.0
20,PMF,MAE,0.0200006184990073
20,PMF,L0,0.0
21,PMF,MAE,0.03692223400734693
21,PMF,L0,0.0
22,PMF,MAE,0.019483337347816487
22,PMF,L0,0.0
23,PMF,MAE,0.016160006589928593
23,PMF,L0,0.0
24,PMF,MAE,0.02793586279547712
24,PMF,L0,0.0
25,PMF,MAE,0.027530639197955422
25,PMF,L0,0.0
26,PMF,MAE,0.024365122598905924
26,PMF,L0,0.0
27,PMF,MAE,0.02647034862792994
27,PMF,L0,0.0
28,PMF,MAE,0.03441324190592507
28,PMF,L0,0.0
29,PMF,MAE,0.02029733492046381
29,PMF,L0,0.0
30,PMF,MAE,0.017686909062338045
30,PMF,L0,0.0
31,PMF,MAE,0.029250312842027067
31,PMF,L0,0.0
32,PMF,MAE,0.02756832317260995
32,PMF,L0,0.0
33,PMF,MAE,0.015531310297190522
33,PMF,L0,0.0
34,PMF,MAE,0.05568602839398906
34,PMF,L0,0.125
35,PMF,MAE,0.014939707834227113
35,PMF,L0,0.0
36,PMF,MAE,0.039367934348477754
36,PMF,L0,0.0
37,PMF,MAE,0.015020264803861903
37,PMF,L0,0.0
38,PMF,MAE,0.021766346984143384
38,PMF,L0,0.0
39,PMF,MAE,0.018674449900142092
39,PMF,L0,0.0
40,PMF,MAE,0.024190071005844933
40,PMF,L0,0.0
41,PMF,MAE,0.03399974798807984
41,PMF,L0,0.0
42,PMF,MAE,0.026579675824010687
42,PMF,L0,0.0
43,PMF,MAE,0.031422685777766746
43,PMF,L0,0.0
44,PMF,MAE,0.03594531739331298
44,PMF,L0,0.0
45,PMF,MAE,0.043753444525911345
45,PMF,L0,0.125
46,PMF,MAE,0.013433703222903097
46,PMF,L0,0.0
47,PMF,MAE,0.018028012100172155
47,PMF,L0,0.0
48,PMF,MAE,0.021371077798478896
48,PMF,L0,0.0
49,PMF,MAE,0.1800281162437528
49,PMF,L0,0.125
50,PMF,MAE,0.018481336407341207
50,PMF,L0,0.0
51,PMF,MAE,0.014410627549254108
51,PMF,L0,0.0
52,PMF,MAE,0.01643776803183728
52,PMF,L0,0.0
53,PMF,MAE,0.021335425419045095
53,PMF,L0,0.0
54,PMF,MAE,0.021952194684296274
54,PMF,L0,0.0
55,PMF,MAE,0.02423076027358439
55,PMF,L0,0.0
56,PMF,MAE,0.02683450746353779
56,PMF,L0,0.0
57,PMF,MAE,0.02989833713631397
57,PMF,L0,0.0
58,PMF,MAE,0.01198298876444195
58,PMF,L0,0.0
59,PMF,MAE,0.019447928304499557
59,PMF,L0,0.0
60,PMF,MAE,0.025330579264952753
60,PMF,L0,0.0
61,PMF,MAE,0.04584028287345514
61,PMF,L0,0.0
62,PMF,MAE,0.052896894496655196
62,PMF,L0,0.0
63,PMF,MAE,0.018806399003527857
63,PMF,L0,0.0
64,PMF,MAE,0.018732211352409742
64,PMF,L0,0.0
65,PMF,MAE,0.03727340953275668
65,PMF,L0,0.0
