run,model,metric,value
0,VHF,MAE,173.75725507342352
0,VHF,L0,1.25
1,VHF,MAE,178.91008547455965
1,VHF,L0,1.125
2,VHF,MAE,495.45130033570825
2,VHF,L0,1.125
3,VHF,MAE,13.370441005472594
3,VHF,L0,0.875
4,VHF,MAE,1.92303595950338
4,VHF,L0,1.0
5,VHF,MAE,186.67296949780064
5,VHF,L0,1.25
6,VHF,MAE,29.970226312496397
6,VHF,L0,1.25
7,VHF,MAE,51.19542227950997
7,VHF,L0,1.25
8,VHF,MAE,76.79901286732736
8,VHF,L0,1.25
9,VHF,MAE,434.09464348908347
9,VHF,L0,1.125
10,VHF,MAE,354.09077299820524
10,VHF,L0,1.25
11,VHF,MAE,18.02247766851015
11,VHF,L0,1.125
12,VHF,MAE,71.45661051226
12,VHF,L0,1.375
13,VHF,MAE,149.90517425591764
13,VHF,L0,1.25
14,VHF,MAE,89.36762978189249
14,VHF,L0,0.875
15,VHF,MAE,680.3782066939477
15,VHF,L0,1.25
16,VHF,MAE,52.13181877784846
16,VHF,L0,1.25
17,VHF,MAE,44.70806703163386
17,VHF,L0,1.25
18,VHF,MAE,35.39105864028255
18,VHF,L0,0.75
19,VHF,MAE,35.903092848095206
19,VHF,L0,1.25
20,VHF,MAE,16.50783845669561
20,VHF,L0,1.0
21,VHF,MAE,113.94998375674653
21,VHF,L0,1.0
22,VHF,MAE,50.36155512309728
22,VHF,L0,1.25
23,VHF,MAE,177.9739491163306
23,VHF,L0,1.25
24,VHF,MAE,14.917708731905874
24,VHF,L0,0.75
25,VHF,MAE,69.5393657726046
25,VHF,L0,1.375
26,VHF,MAE,261.6648664906082
26,VHF,L0,1.25
27,VHF,MAE,31.826899662819635
27,VHF,L0,1.0
28,VHF,MAE,36.55652689805903
28,VHF,L0,1.125
29,VHF,MAE,118.30740098504596
29,VHF,L0,1.0
30,VHF,MAE,687.9491820527126
30,VHF,L0,1.375
31,VHF,MAE,154.80735570345894
31,VHF,L0,1.25
32,VHF,MAE,131.75413858614922
32,VHF,L0,1.25
33,VHF,MAE,80.91638030648888
33,VHF,L0,1.125
34,VHF,MAE,25.63757443486709
34,VHF,L0,1.0
