run,model,metric,value
0,VLF,MAE,0.053219923719949214
0,VLF,L0,0.25
1,VLF,MAE,0.031983345847690865
1,VLF,L0,0.0
2,VLF,MAE,0.04454323268503753
2,VLF,L0,0.375
3,VLF,MAE,0.04232716706243231
3,VLF,L0,0.125
4,VLF,MAE,0.0633711446758003
4,VLF,L0,0.25
5,VLF,MAE,0.0397547656420084
5,VLF,L0,0.0
6,VLF,MAE,0.051160122333436024
6,VLF,L0,0.125
7,VLF,MAE,0.016572502747204135
7,VLF,L0,0.0
8,VLF,MAE,0.023992319598608938
8,VLF,L0,0.0
9,VLF,MAE,0.024005915714466308
9,VLF,L0,0.125
10,VLF,MAE,0.07846627400277711
10,VLF,L0,0.375
11,VLF,MAE,0.022421451177343548
11,VLF,L0,0.0
12,VLF,MAE,0.02302745515790556
12,VLF,L0,0.0
13,VLF,MAE,0.06062703697397996
13,VLF,L0,0.375
14,VLF,MAE,0.08741888787162137
14,VLF,L0,0.5
15,VLF,MAE,0.021978157344212546
15,VLF,L0,0.0
16,VLF,MAE,0.015518245310320002
16,VLF,L0,0.0
17,VLF,MAE,0.021645218622531184
17,VLF,L0,0.0
18,VLF,MAE,0.06344914201844161
18,VLF,L0,0.0
19,VLF,MAE,0.02254137271132152
19,VLF,L0,0.0
20,VLF,MAE,0.02241212854918745
20,VLF,L0,0.0
21,VLF,MAE,0.030411256348655713
21,VLF,L0,0.125
22,VLF,MAE,0.07062175338208605
22,VLF,L0,0.25
23,VLF,MAE,0.0360626601488653
23,VLF,L0,0.0
24,VLF,MAE,0.04696297629477098
24,VLF,L0,0.125
25,VLF,MAE,0.06097249360959878
25,VLF,L0,0.125
26,VLF,MAE,0.024846603180582714
26,VLF,L0,0.0
27,VLF,MAE,0.02095626173147411
27,VLF,L0,0.0
28,VLF,MAE,0.03668176487402872
28,VLF,L0,0.125
29,VLF,MAE,0.13754138872308494
29,VLF,L0,0.375
30,VLF,MAE,0.038783944856200785
30,VLF,L0,0.0
31,VLF,MAE,0.02472372176874177
31,VLF,L0,0.0
32,VLF,MAE,0.01649596973534848
32,VLF,L0,0.0
33,VLF,MAE,0.021705953765234147
33,VLF,L0,0.0
34,VLF,MAE,0.022484586582376287
34,VLF,L0,0.0
35,VLF,MAE,0.03156417058346336
35,VLF,L0,0.0
36,VLF,MAE,0.04928333311236568
36,VLF,L0,0.25
37,VLF,MAE,0.0655501901643693
37,VLF,L0,0.25
38,VLF,MAE,0.020218818887911088
38,VLF,L0,0.0
39,VLF,MAE,0.020466220668001397
39,VLF,L0,0.0
40,VLF,MAE,0.026652512985582712
40,VLF,L0,0.0
41,VLF,MAE,0.02104720767296637
41,VLF,L0,0.0
42,VLF,MAE,0.022913799395613485
42,VLF,L0,0.125
43,VLF,MAE,0.07049498767228396
43,VLF,L0,0.25
44,VLF,MAE,0.07478136312508507
44,VLF,L0,0.25
45,VLF,MAE,0.06167669325899913
45,VLF,L0,0.375
46,VLF,MAE,0.03051261742278672
46,VLF,L0,0.0
47,VLF,MAE,0.021464593215639434
47,VLF,L0,0.0
48,VLF,MAE,0.3667996380108565
48,VLF,L0,1.125
49,VLF,MAE,0.04455227735001559
49,VLF,L0,0.125
50,VLF,MAE,0.020779630893059335
50,VLF,L0,0.0
51,VLF,MAE,0.017066785808039078
51,VLF,L0,0.0
52,VLF,MAE,0.2278539624098656
52,VLF,L0,0.25
53,VLF,MAE,0.051281457622984944
53,VLF,L0,0.25
54,VLF,MAE,0.08320642235567682
54,VLF,L0,0.25
55,VLF,MAE,0.02624687427969479
55,VLF,L0,0.0
56,VLF,MAE,0.01898790425616888
56,VLF,L0,0.0
57,VLF,MAE,0.017467480933410655
57,VLF,L0,0.0
58,VLF,MAE,0.043232066791081825
58,VLF,L0,0.0
59,VLF,MAE,0.020392509154686364
59,VLF,L0,0.0
60,VLF,MAE,0.11275175827574405
60,VLF,L0,0.5
61,VLF,MAE,0.0323694263797872
61,VLF,L0,0.0
62,VLF,MAE,0.106623085105111
62,VLF,L0,0.5
63,VLF,MAE,0.3478643356267591
63,VLF,L0,0.25
64,VLF,MAE,0.11011866696726205
64,VLF,L0,0.625
65,VLF,MAE,0.027830871471678127
65,VLF,L0,0.0
66,VLF,MAE,0.023630813643112036
66,VLF,L0,0.0
67,VLF,MAE,0.0227028059906498
67,VLF,L0,0.0
68,VLF,MAE,0.026331247567368585
68,VLF,L0,0.0
69,VLF,MAE,0.021451595908659995
69,VLF,L0,0.0
70,VLF,MAE,0.28717798071186623
70,VLF,L0,0.75
71,VLF,MAE,0.016625519001628404
71,VLF,L0,0.0
72,VLF,MAE,0.02052459380860916
72,VLF,L0,0.0
73,VLF,MAE,0.023380089482244355
73,VLF,L0,0.0
74,VLF,MAE,0.014363870801025684
74,VLF,L0,0.0
75,VLF,MAE,0.054471966267871444
75,VLF,L0,0.125
76,VLF,MAE,0.0932734752955004
76,VLF,L0,0.25
77,VLF,MAE,0.015499014606318084
77,VLF,L0,0.0
78,VLF,MAE,0.017728986969870013
78,VLF,L0,0.0
79,VLF,MAE,0.022179820197144817
79,VLF,L0,0.0
80,VLF,MAE,0.030031669979982707
80,VLF,L0,0.125
81,VLF,MAE,0.049620487992603664
81,VLF,L0,0.125
82,VLF,MAE,0.023704819493409086
82,VLF,L0,0.0
83,VLF,MAE,0.020069459307296072
83,VLF,L0,0.0
84,VLF,MAE,0.025038461279743116
84,VLF,L0,0.0
85,VLF,MAE,0.03221019610493991
85,VLF,L0,0.0
86,VLF,MAE,0.016929027042487874
86,VLF,L0,0.0
87,VLF,MAE,0.021740551796096446
87,VLF,L0,0.0
88,VLF,MAE,0.03718934941133292
88,VLF,L0,0.125
89,VLF,MAE,0.033367098381614675
89,VLF,L0,0.0
90,VLF,MAE,0.026856678113146022
90,VLF,L0,0.0
91,VLF,MAE,0.023135589430461036
91,VLF,L0,0.0
92,VLF,MAE,0.015949730952750676
92,VLF,L0,0.0
93,VLF,MAE,0.0187522286061111
93,VLF,L0,0.0
94,VLF,MAE,0.019339206107499382
94,VLF,L0,0.0
95,VLF,MAE,0.04447309345590968
95,VLF,L0,0.0
96,VLF,MAE,0.057060304688016816
96,VLF,L0,0.25
97,VLF,MAE,0.03341378559824552
97,VLF,L0,0.0
98,VLF,MAE,0.01422400553595928
98,VLF,L0,0.0
99,VLF,MAE,0.03681025220326109
99,VLF,L0,0.0
