run,model,metric,value
0,VMF,MAE,0.041637555512519006
0,VMF,L0,0.0
1,VMF,MAE,0.020115477432878098
1,VMF,L0,0.0
2,VMF,MAE,0.040576611792846606
2,VMF,L0,0.0
3,VMF,MAE,0.05282291982208455
3,VMF,L0,0.0
4,VMF,MAE,0.02693268203642441
4,VMF,L0,0.0
5,VMF,MAE,0.02815235303206027
5,VMF,L0,0.0
6,VMF,MAE,0.01839726658028734
6,VMF,L0,0.0
7,VMF,MAE,0.02651615994007835
7,VMF,L0,0.0
8,VMF,MAE,0.02482444812408145
8,VMF,L0,0.0
9,VMF,MAE,0.06441916930653876
9,VMF,L0,0.0
10,VMF,MAE,0.050860091848633514
10,VMF,L0,0.0
11,VMF,MAE,0.02900198060094437
11,VMF,L0,0.0
12,VMF,MAE,0.04438838981076029
12,VMF,L0,0.0
13,VMF,MAE,0.026540299691072886
13,VMF,L0,0.0
14,VMF,MAE,0.027072042612738306
14,VMF,L0,0.0
15,VMF,MAE,0.05387263773740667
15,VMF,L0,0.0
16,VMF,MAE,0.025287226411320158
16,VMF,L0,0.0
17,VMF,MAE,0.035050435132873634
17,VMF,L0,0.0
18,VMF,MAE,0.0484059111454076
18,VMF,L0,0.0
19,VMF,MAE,0.04510611616699137
19,VMF,L0,0.0
20,VMF,MAE,0.056588928926055396
20,VMF,L0,0.0
21,VMF,MAE,0.026691073469671003
21,VMF,L0,0.0
22,VMF,MAE,0.01907367975197664
22,VMF,L0,0.0
23,VMF,MAE,0.033797476371435486
23,VMF,L0,0.0
24,VMF,MAE,0.035427385268014464
24,VMF,L0,0.0
25,VMF,MAE,0.020567831895158158
25,VMF,L0,0.0
26,VMF,MAE,0.03279910468094704
26,VMF,L0,0.0
27,VMF,MAE,0.022239421467085504
27,VMF,L0,0.0
28,VMF,MAE,0.01594054048938344
28,VMF,L0,0.0
29,VMF,MAE,0.03776214563191842
29,VMF,L0,0.0
30,VMF,MAE,0.01780637425611994
30,VMF,L0,0.0
31,VMF,MAE,0.021837651729413567
31,VMF,L0,0.0
32,VMF,MAE,0.029219748802451633
32,VMF,L0,0.0
33,VMF,MAE,0.028761506779432566
33,VMF,L0,0.0
34,VMF,MAE,0.07033196925208746
34,VMF,L0,0.0
35,VMF,MAE,0.029041737849849623
35,VMF,L0,0.0
36,VMF,MAE,0.10085334133398322
36,VMF,L0,0.25
37,VMF,MAE,0.03846779187754129
37,VMF,L0,0.0
38,VMF,MAE,0.030550310267705858
38,VMF,L0,0.0
39,VMF,MAE,0.03666522692376853
39,VMF,L0,0.0
40,VMF,MAE,0.019112007056600003
40,VMF,L0,0.0
41,VMF,MAE,0.04455717869996165
41,VMF,L0,0.0
42,VMF,MAE,0.036206697387725265
42,VMF,L0,0.0
43,VMF,MAE,0.042692176365815834
43,VMF,L0,0.0
44,VMF,MAE,0.05788772152746565
44,VMF,L0,0.0
45,VMF,MAE,0.3539318130015789
45,VMF,L0,0.625
46,VMF,MAE,0.034259302452331386
46,VMF,L0,0.0
47,VMF,MAE,0.03774619195315444
47,VMF,L0,0.125
48,VMF,MAE,0.01892027564436337
48,VMF,L0,0.0
49,VMF,MAE,0.2366924638284955
49,VMF,L0,0.625
50,VMF,MAE,0.03629059983445492
50,VMF,L0,0.0
51,VMF,MAE,0.04405207853839226
51,VMF,L0,0.0
52,VMF,MAE,0.02384833428011867
52,VMF,L0,0.0
53,VMF,MAE,0.01544860666292094
53,VMF,L0,0.0
54,VMF,MAE,0.01582579567786624
54,VMF,L0,0.0
55,VMF,MAE,0.03300991530444047
55,VMF,L0,0.0
56,VMF,MAE,0.027905772270619005
56,VMF,L0,0.0
57,VMF,MAE,0.07456040301587746
57,VMF,L0,0.0
58,VMF,MAE,0.029735539262696294
58,VMF,L0,0.0
59,VMF,MAE,0.017910270050814872
59,VMF,L0,0.0
60,VMF,MAE,0.014497548692988181
60,VMF,L0,0.0
61,VMF,MAE,0.07293037428855922
61,VMF,L0,0.0
62,VMF,MAE,0.06959239433960873
62,VMF,L0,0.0
63,VMF,MAE,0.03496400452118053
63,VMF,L0,0.0
64,VMF,MAE,0.02504005733556064
64,VMF,L0,0.0
65,VMF,MAE,0.10828985771131742
65,VMF,L0,0.125
66,VMF,MAE,0.018723813859851376
66,VMF,L0,0.0
67,VMF,MAE,0.036817471015930324
67,VMF,L0,0.0
68,VMF,MAE,0.044521077962182215
68,VMF,L0,0.0
69,VMF,MAE,0.04041223547607747
69,VMF,L0,0.0
70,VMF,MAE,0.03931266258851656
70,VMF,L0,0.0
71,VMF,MAE,0.028491180744897752
71,VMF,L0,0.0
72,VMF,MAE,0.017214327802009124
72,VMF,L0,0.0
73,VMF,MAE,0.04329862345611956
73,VMF,L0,0.0
74,VMF,MAE,0.044406561059698105
74,VMF,L0,0.0
75,VMF,MAE,0.026808566191999655
75,VMF,L0,0.0
76,VMF,MAE,0.03333913215097569
76,VMF,L0,0.0
77,VMF,MAE,0.047795944259117464
77,VMF,L0,0.0
78,VMF,MAE,0.025648000783097345
78,VMF,L0,0.0
79,VMF,MAE,0.017300264001674188
79,VMF,L0,0.0
80,VMF,MAE,0.05155997578695166
80,VMF,L0,0.0
81,VMF,MAE,0.04766543828923121
81,VMF,L0,0.0
82,VMF,MAE,0.029373423935190688
82,VMF,L0,0.0
83,VMF,MAE,0.0759368829981633
83,VMF,L0,0.0
84,VMF,MAE,0.040042029305140545
84,VMF,L0,0.0
85,VMF,MAE,0.01573255979838322
85,VMF,L0,0.0
86,VMF,MAE,0.0446312143636475
86,VMF,L0,0.0
87,VMF,MAE,0.0731068117161553
87,VMF,L0,0.25
88,VMF,MAE,0.03619184846027923
88,VMF,L0,0.0
89,VMF,MAE,0.04366568953333526
89,VMF,L0,0.0
90,VMF,MAE,0.021380485810705896
90,VMF,L0,0.0
91,VMF,MAE,0.05688407795706977
91,VMF,L0,0.125
92,VMF,MAE,0.02591934135991782
92,VMF,L0,0.0
93,VMF,MAE,0.02120852360196464
93,VMF,L0,0.0
94,VMF,MAE,0.0210365507518135
94,VMF,L0,0.0
95,VMF,MAE,0.034608855062267456
95,VMF,L0,0.0
96,VMF,MAE,0.03636409093677869
96,VMF,L0,0.0
97,VMF,MAE,0.0465354914950711
97,VMF,L0,0.0
98,VMF,MAE,0.046859960585252824
98,VMF,L0,0.0
99,VMF,MAE,0.04142832828033969
99,VMF,L0,0.0
