run,model,metric,value
0,HF,MAE,0.349983377084788
0,HF,L0,1.0952380952380953
1,HF,MAE,0.26788054400607647
1,HF,L0,0.8571428571428571
2,HF,MAE,0.27793078162033025
2,HF,L0,1.0
3,HF,MAE,0.35457924464482377
3,HF,L0,2.0
4,HF,MAE,0.29407769707403153
4,HF,L0,1.0
5,HF,MAE,0.3521273525162148
5,HF,L0,1.5714285714285714
6,HF,MAE,0.2937504021569794
6,HF,L0,1.1904761904761905
7,HF,MAE,0.39629649892293484
7,HF,L0,1.9047619047619047
8,HF,MAE,0.2868033683323481
8,HF,L0,1.1904761904761905
9,HF,MAE,0.3025786975212989
9,HF,L0,1.380952380952381
10,HF,MAE,0.41732718584305656
10,HF,L0,2.3333333333333335
11,HF,MAE,0.3060369411413525
11,HF,L0,0.9047619047619048
12,HF,MAE,0.2819050968222336
12,HF,L0,1.3333333333333333
13,HF,MAE,0.29308689705012564
13,HF,L0,1.0
14,HF,MAE,0.256921300229711
14,HF,L0,0.7142857142857143
15,HF,MAE,0.30388154006938706
15,HF,L0,1.380952380952381
16,HF,MAE,0.3050856551990183
16,HF,L0,1.2857142857142858
17,HF,MAE,0.3965668125808413
17,HF,L0,1.5714285714285714
18,HF,MAE,0.3873462380992177
18,HF,L0,1.619047619047619
19,HF,MAE,0.37512036957067096
19,HF,L0,1.5714285714285714
20,HF,MAE,0.31546523195148807
20,HF,L0,1.1428571428571428
21,HF,MAE,0.3275039445014001
21,HF,L0,1.0952380952380953
22,HF,MAE,0.28489367315823005
22,HF,L0,1.0952380952380953
23,HF,MAE,0.29188963956711106
23,HF,L0,1.4285714285714286
24,HF,MAE,0.32083814375002984
24,HF,L0,1.2857142857142858
