run,model,metric,value
0,LF,MAE,0.04772337510142116
0,LF,L0,1.3571428571428572
1,LF,MAE,0.0578077321471695
1,LF,L0,1.5
2,LF,MAE,0.08141091361207886
2,LF,L0,1.8571428571428572
3,LF,MAE,0.0673236530750099
3,LF,L0,1.7142857142857142
4,LF,MAE,0.09290586602590965
4,LF,L0,1.7857142857142858
5,LF,MAE,0.07288206885225544
5,LF,L0,1.7857142857142858
6,LF,MAE,0.07662345666872208
6,LF,L0,1.7142857142857142
7,LF,MAE,0.030658026232987075
7,LF,L0,0.8571428571428571
8,LF,MAE,0.03514159410400496
8,LF,L0,0.9285714285714286
9,LF,MAE,0.0632849936684538
9,LF,L0,1.6428571428571428
10,LF,MAE,0.02958926068069556
10,LF,L0,0.9285714285714286
11,LF,MAE,0.055246955663451475
11,LF,L0,1.3571428571428572
12,LF,MAE,0.08454614564789446
12,LF,L0,2.142857142857143
13,LF,MAE,0.05242837692466345
13,LF,L0,1.5714285714285714
14,LF,MAE,0.06425418138427746
14,LF,L0,1.5714285714285714
15,LF,MAE,0.07887910300574795
15,LF,L0,1.7142857142857142
16,LF,MAE,0.07501537830802714
16,LF,L0,1.8571428571428572
17,LF,MAE,0.0406773337437937
17,LF,L0,1.1428571428571428
18,LF,MAE,0.09069138446391528
18,LF,L0,2.357142857142857
19,LF,MAE,0.04530455799462732
19,LF,L0,1.1428571428571428
20,LF,MAE,0.06958745009366757
20,LF,L0,1.7857142857142858
21,LF,MAE,0.07289205427801834
21,LF,L0,1.9285714285714286
22,LF,MAE,0.043620420614827515
22,LF,L0,1.0714285714285714
23,LF,MAE,0.04199338704711666
23,LF,L0,1.2857142857142858
24,LF,MAE,0.048182929678542284
24,LF,L0,1.1428571428571428
