run,model,metric,value
0,MF,MAE,0.15036765966827045
0,MF,L0,3.3684210526315788
1,MF,MAE,0.16903263883434444
1,MF,L0,3.0
2,MF,MAE,0.1848733226245243
2,MF,L0,3.5789473684210527
3,MF,MAE,0.14246507387020282
3,MF,L0,2.8421052631578947
4,MF,MAE,0.16769756538369265
4,MF,L0,2.8947368421052633
5,MF,MAE,0.17546105780625176
5,MF,L0,2.9473684210526314
6,MF,MAE,0.1862655892568415
6,MF,L0,3.210526315789474
7,MF,MAE,0.17249376690917095
7,MF,L0,3.0526315789473686
8,MF,MAE,0.20578914004062437
8,MF,L0,3.8421052631578947
9,MF,MAE,0.15254041652516873
9,MF,L0,2.6315789473684212
10,MF,MAE,0.1513113191428393
10,MF,L0,3.0526315789473686
11,MF,MAE,0.14832770507264967
11,MF,L0,3.3157894736842106
12,MF,MAE,0.16081181017468024
12,MF,L0,3.263157894736842
13,MF,MAE,0.17845216154257462
13,MF,L0,3.526315789473684
14,MF,MAE,0.17456340046989113
14,MF,L0,3.473684210526316
15,MF,MAE,0.1481171417091354
15,MF,L0,2.8421052631578947
16,MF,MAE,0.18546909445877027
16,MF,L0,2.8947368421052633
17,MF,MAE,0.12691796107974418
17,MF,L0,2.6315789473684212
18,MF,MAE,0.17005202147063633
18,MF,L0,3.1578947368421053
19,MF,MAE,0.20362153461183724
19,MF,L0,3.3684210526315788
20,MF,MAE,0.16611948877786004
20,MF,L0,3.210526315789474
21,MF,MAE,0.16979145972141632
21,MF,L0,3.0526315789473686
22,MF,MAE,0.19345854061238124
22,MF,L0,3.4210526315789473
23,MF,MAE,0.164029415810376
23,MF,L0,3.736842105263158
24,MF,MAE,0.14184462394969677
24,MF,L0,2.8421052631578947
