run,model,metric,value
0,MF_w,MAE,0.4496745583203403
0,MF_w,L0,1.3333333333333333
1,MF_w,MAE,0.4689360837824441
1,MF_w,L0,1.3333333333333333
2,MF_w,MAE,0.3747901220090657
2,MF_w,L0,0.8333333333333334
3,MF_w,MAE,0.5036437174843998
3,MF_w,L0,1.5
4,MF_w,MAE,0.4410244404465072
4,MF_w,L0,1.2916666666666667
5,MF_w,MAE,0.49713695407648995
5,MF_w,L0,1.5
6,MF_w,MAE,0.4801736688041914
6,MF_w,L0,1.5
7,MF_w,MAE,0.4254007588004892
7,MF_w,L0,1.2916666666666667
8,MF_w,MAE,0.45344659716186914
8,MF_w,L0,1.4166666666666667
9,MF_w,MAE,0.4726392549487406
9,MF_w,L0,1.3333333333333333
10,MF_w,MAE,0.4577265141647466
10,MF_w,L0,1.6666666666666667
11,MF_w,MAE,0.4624220063059812
11,MF_w,L0,1.4166666666666667
12,MF_w,MAE,0.4955464311181586
12,MF_w,L0,1.5416666666666667
13,MF_w,MAE,0.4213616847574979
13,MF_w,L0,1.0833333333333333
14,MF_w,MAE,0.41773955520625433
14,MF_w,L0,1.2083333333333333
15,MF_w,MAE,0.46311228501901763
15,MF_w,L0,1.4583333333333333
16,MF_w,MAE,0.45985630599665867
16,MF_w,L0,1.375
17,MF_w,MAE,0.4773848255619519
17,MF_w,L0,1.4583333333333333
18,MF_w,MAE,0.4514066219529751
18,MF_w,L0,1.5
19,MF_w,MAE,0.4601559339985636
19,MF_w,L0,1.2083333333333333
20,MF_w,MAE,0.4285835439462363
20,MF_w,L0,1.0416666666666667
21,MF_w,MAE,0.44651384506399355
21,MF_w,L0,1.4583333333333333
22,MF_w,MAE,0.47519711874937787
22,MF_w,L0,1.4166666666666667
23,MF_w,MAE,0.4832910085824321
23,MF_w,L0,1.375
24,MF_w,MAE,0.41542825711792913
24,MF_w,L0,1.1666666666666667
