run,model,metric,value
0,PMF,MAE,0.0005202871937517234
0,PMF,L0,0.0
1,PMF,MAE,0.0004571974233474978
1,PMF,L0,0.0
2,PMF,MAE,0.0003157258777016157
2,PMF,L0,0.0
3,PMF,MAE,0.005030590833281582
3,PMF,L0,0.21428571428571427
4,PMF,MAE,0.00042982330076659384
4,PMF,L0,0.0
5,PMF,MAE,0.0005563078227884208
5,PMF,L0,0.0
6,PMF,MAE,0.0003435227211963642
6,PMF,L0,0.0
7,PMF,MAE,0.0003990018781751615
7,PMF,L0,0.0
8,PMF,MAE,0.000413104699172388
8,PMF,L0,0.0
9,PMF,MAE,0.0007216143254992965
9,PMF,L0,0.0
10,PMF,MAE,0.0003735514002266004
10,PMF,L0,0.0
11,PMF,MAE,0.005229676472260286
11,PMF,L0,0.21428571428571427
12,PMF,MAE,0.00032600172385762003
12,PMF,L0,0.0
13,PMF,MAE,0.0004400439316920903
13,PMF,L0,0.0
14,PMF,MAE,0.005687786792012883
14,PMF,L0,0.21428571428571427
15,PMF,MAE,0.00038765478669506697
15,PMF,L0,0.0
16,PMF,MAE,0.0003095237756439387
16,PMF,L0,0.0
17,PMF,MAE,0.0002998699351629759
17,PMF,L0,0.0
18,PMF,MAE,0.004643897767241691
18,PMF,L0,0.21428571428571427
19,PMF,MAE,0.0004457330272777815
19,PMF,L0,0.0
20,PMF,MAE,0.00043857132234670094
20,PMF,L0,0.0
21,PMF,MAE,0.000468279192260495
21,PMF,L0,0.0
22,PMF,MAE,0.00026774636663434264
22,PMF,L0,0.0
23,PMF,MAE,0.0002737708499706351
23,PMF,L0,0.0
24,PMF,MAE,0.005576746768016306
24,PMF,L0,0.21428571428571427
