run,model,metric,value
0,VHF,MAE,0.026363229046807754
0,VHF,L0,0.6428571428571429
1,VHF,MAE,5.843493247415722e-05
1,VHF,L0,0.0
2,VHF,MAE,0.0001224839293084024
2,VHF,L0,0.0
3,VHF,MAE,0.0001025645795468393
3,VHF,L0,0.0
4,VHF,MAE,0.010204162415579632
4,VHF,L0,0.21428571428571427
5,VHF,MAE,0.04645687833968956
5,VHF,L0,0.9285714285714286
6,VHF,MAE,0.008997030921547819
6,VHF,L0,0.21428571428571427
7,VHF,MAE,0.029679399597520698
7,VHF,L0,0.6428571428571429
8,VHF,MAE,0.003962466394586225
8,VHF,L0,0.21428571428571427
9,VHF,MAE,8.265208572350008e-05
9,VHF,L0,0.0
10,VHF,MAE,0.017661483411619883
10,VHF,L0,0.42857142857142855
11,VHF,MAE,0.019418535493915586
11,VHF,L0,0.21428571428571427
12,VHF,MAE,9.33785878036806e-05
12,VHF,L0,0.0
13,VHF,MAE,0.012919058971578445
13,VHF,L0,0.42857142857142855
14,VHF,MAE,0.00015887404631530265
14,VHF,L0,0.0
15,VHF,MAE,0.03742874326484348
15,VHF,L0,0.9285714285714286
16,VHF,MAE,0.02112616890941468
16,VHF,L0,0.42857142857142855
17,VHF,MAE,0.024590969921430963
17,VHF,L0,0.21428571428571427
18,VHF,MAE,0.023103842757989983
18,VHF,L0,0.35714285714285715
19,VHF,MAE,0.022349037725448277
19,VHF,L0,0.21428571428571427
20,VHF,MAE,0.012186380377554632
20,VHF,L0,0.6428571428571429
21,VHF,MAE,0.004137623213560414
21,VHF,L0,0.21428571428571427
22,VHF,MAE,6.915800855694471e-05
22,VHF,L0,0.0
23,VHF,MAE,9.587921326192138e-05
23,VHF,L0,0.0
24,VHF,MAE,0.027731771210712214
24,VHF,L0,0.42857142857142855
