run,model,metric,value
0,VLF,MAE,0.0006101457523835346
0,VLF,L0,0.0
1,VLF,MAE,0.025803752868189308
1,VLF,L0,0.8571428571428571
2,VLF,MAE,0.011022648363538267
2,VLF,L0,0.21428571428571427
3,VLF,MAE,0.006268487845758249
3,VLF,L0,0.14285714285714285
4,VLF,MAE,0.0028773473619445942
4,VLF,L0,0.14285714285714285
5,VLF,MAE,0.006394413372606184
5,VLF,L0,0.42857142857142855
6,VLF,MAE,0.005230492008326664
6,VLF,L0,0.21428571428571427
7,VLF,MAE,0.031387979890334136
7,VLF,L0,0.9285714285714286
8,VLF,MAE,0.004105210247522631
8,VLF,L0,0.21428571428571427
9,VLF,MAE,0.02547124685041289
9,VLF,L0,0.7142857142857143
10,VLF,MAE,0.00027633635305870653
10,VLF,L0,0.0
11,VLF,MAE,0.004224748219729876
11,VLF,L0,0.07142857142857142
12,VLF,MAE,0.004015137470866421
12,VLF,L0,0.14285714285714285
13,VLF,MAE,0.027438426482408913
13,VLF,L0,0.6428571428571429
14,VLF,MAE,0.07084903584233038
14,VLF,L0,1.7857142857142858
15,VLF,MAE,0.003073665285324168
15,VLF,L0,0.14285714285714285
16,VLF,MAE,0.00398944377920772
16,VLF,L0,0.21428571428571427
17,VLF,MAE,0.0009944475822608676
17,VLF,L0,0.0
18,VLF,MAE,0.0049497454473128675
18,VLF,L0,0.21428571428571427
19,VLF,MAE,0.015319056893315041
19,VLF,L0,0.5714285714285714
20,VLF,MAE,0.0012653924227534565
20,VLF,L0,0.0
21,VLF,MAE,0.008542841873756061
21,VLF,L0,0.5
22,VLF,MAE,0.020072495473604016
22,VLF,L0,0.42857142857142855
23,VLF,MAE,0.015420450702762222
23,VLF,L0,0.6428571428571429
24,VLF,MAE,0.0022890513747877476
24,VLF,L0,0.14285714285714285
