run,model,metric,value
0,VMF,MAE,0.017462319048913884
0,VMF,L0,0.21428571428571427
1,VMF,MAE,9.481560705983318e-05
1,VMF,L0,0.0
2,VMF,MAE,0.00013221020382193596
2,VMF,L0,0.0
3,VMF,MAE,0.0001407739053981166
3,VMF,L0,0.0
4,VMF,MAE,0.011930972990650006
4,VMF,L0,0.2857142857142857
5,VMF,MAE,0.12799271703057852
5,VMF,L0,1.2142857142857142
6,VMF,MAE,0.0002142181466400597
6,VMF,L0,0.0
7,VMF,MAE,0.014044624378062831
7,VMF,L0,0.21428571428571427
8,VMF,MAE,9.89456853673759e-05
8,VMF,L0,0.0
9,VMF,MAE,0.0001139174003988793
9,VMF,L0,0.0
10,VMF,MAE,0.009771821591964418
10,VMF,L0,0.21428571428571427
11,VMF,MAE,0.031436503662564105
11,VMF,L0,0.5714285714285714
12,VMF,MAE,0.00013224899676064813
12,VMF,L0,0.0
13,VMF,MAE,0.014260247113054184
13,VMF,L0,0.2857142857142857
14,VMF,MAE,0.00014652650766659495
14,VMF,L0,0.0
15,VMF,MAE,0.04611910883606459
15,VMF,L0,0.5714285714285714
16,VMF,MAE,0.01564216866542248
16,VMF,L0,0.21428571428571427
17,VMF,MAE,0.04750194369419006
17,VMF,L0,0.5714285714285714
18,VMF,MAE,0.06879845410255965
18,VMF,L0,0.9285714285714286
19,VMF,MAE,0.048116296226180334
19,VMF,L0,0.5714285714285714
20,VMF,MAE,0.0033641143236710132
20,VMF,L0,0.07142857142857142
21,VMF,MAE,0.021264952859962726
21,VMF,L0,0.21428571428571427
22,VMF,MAE,9.341101352343082e-05
22,VMF,L0,0.0
23,VMF,MAE,0.00012609214439548863
23,VMF,L0,0.0
24,VMF,MAE,0.024840532711923033
24,VMF,L0,0.21428571428571427
