run,model,metric,value
0,HF,MAE,2.101043119610883
0,HF,L0,1.8571428571428572
1,HF,MAE,2.076182328367596
1,HF,L0,2.2857142857142856
2,HF,MAE,2.0576083136615084
2,HF,L0,2.2857142857142856
3,HF,MAE,2.0706168068422754
3,HF,L0,2.4285714285714284
4,HF,MAE,2.1330852388872525
4,HF,L0,2.4285714285714284
5,HF,MAE,2.07127675981799
5,HF,L0,2.2857142857142856
6,HF,MAE,2.0919794914382
6,HF,L0,1.8571428571428572
7,HF,MAE,2.0688673938270528
7,HF,L0,2.2857142857142856
8,HF,MAE,2.085672012354869
8,HF,L0,1.8571428571428572
9,HF,MAE,2.157644498948901
9,HF,L0,2.4285714285714284
10,HF,MAE,2.271571635614314
10,HF,L0,2.2857142857142856
11,HF,MAE,2.1230805350398243
11,HF,L0,2.0
12,HF,MAE,2.062252097153551
12,HF,L0,2.142857142857143
13,HF,MAE,2.0801228345306098
13,HF,L0,2.7142857142857144
14,HF,MAE,2.11432906430363
14,HF,L0,1.7142857142857142
15,HF,MAE,2.096608679234139
15,HF,L0,2.4285714285714284
16,HF,MAE,2.1677583634946407
16,HF,L0,2.4285714285714284
17,HF,MAE,2.106088515222596
17,HF,L0,2.142857142857143
18,HF,MAE,2.1393477079077976
18,HF,L0,1.8571428571428572
19,HF,MAE,2.043242045395321
19,HF,L0,2.2857142857142856
20,HF,MAE,2.113484459246052
20,HF,L0,2.4285714285714284
21,HF,MAE,2.1024580748740807
21,HF,L0,2.2857142857142856
22,HF,MAE,2.0787014803208756
22,HF,L0,2.4285714285714284
23,HF,MAE,2.0661282407522616
23,HF,L0,2.142857142857143
24,HF,MAE,2.0961664606501587
24,HF,L0,2.4285714285714284
25,HF,MAE,2.090300964592628
25,HF,L0,2.2857142857142856
26,HF,MAE,2.0876639377334496
26,HF,L0,2.142857142857143
27,HF,MAE,2.229624211444808
27,HF,L0,2.5714285714285716
28,HF,MAE,2.046245621287317
28,HF,L0,2.142857142857143
29,HF,MAE,2.051999678869624
29,HF,L0,1.7142857142857142
30,HF,MAE,2.147878535641139
30,HF,L0,2.2857142857142856
31,HF,MAE,2.0937201966628662
31,HF,L0,2.2857142857142856
32,HF,MAE,2.152561684318808
32,HF,L0,2.4285714285714284
33,HF,MAE,2.136541751399826
33,HF,L0,2.0
34,HF,MAE,2.1093172006311574
34,HF,L0,1.8571428571428572
35,HF,MAE,2.129876207755891
35,HF,L0,2.4285714285714284
36,HF,MAE,2.072679475723486
36,HF,L0,1.8571428571428572
37,HF,MAE,2.0788240068225825
37,HF,L0,1.8571428571428572
38,HF,MAE,2.070164349083889
38,HF,L0,2.4285714285714284
39,HF,MAE,2.1193732699137637
39,HF,L0,2.7142857142857144
40,HF,MAE,2.054141359644144
40,HF,L0,2.2857142857142856
41,HF,MAE,2.0869262235843014
41,HF,L0,2.2857142857142856
42,HF,MAE,2.126601343782477
42,HF,L0,2.0
43,HF,MAE,2.102522427069778
43,HF,L0,2.142857142857143
44,HF,MAE,2.0651572018156266
44,HF,L0,2.4285714285714284
45,HF,MAE,2.16947035067456
45,HF,L0,2.4285714285714284
46,HF,MAE,2.156704832304069
46,HF,L0,2.4285714285714284
47,HF,MAE,2.090630555913487
47,HF,L0,2.2857142857142856
48,HF,MAE,2.125468885797128
48,HF,L0,2.4285714285714284
49,HF,MAE,2.1020892035441694
49,HF,L0,1.8571428571428572
50,HF,MAE,2.0785794843034187
50,HF,L0,2.5714285714285716
51,HF,MAE,2.104147014918478
51,HF,L0,2.4285714285714284
