run,model,metric,value
0,LF,MAE,0.13634670194386359
0,LF,L0,0.14285714285714285
1,LF,MAE,0.046371566967001364
1,LF,L0,0.0
2,LF,MAE,0.1481737458936553
2,LF,L0,0.14285714285714285
3,LF,MAE,0.06349922184978804
3,LF,L0,0.14285714285714285
4,LF,MAE,0.14601167426698536
4,LF,L0,0.14285714285714285
5,LF,MAE,0.19435620369917941
5,LF,L0,0.14285714285714285
6,LF,MAE,0.07234025317509207
6,LF,L0,0.0
7,LF,MAE,0.11423246296665297
7,LF,L0,0.14285714285714285
8,LF,MAE,0.18460777424215633
8,LF,L0,0.14285714285714285
9,LF,MAE,0.05430563000845617
9,LF,L0,0.0
10,LF,MAE,0.164292599040508
10,LF,L0,0.14285714285714285
11,LF,MAE,0.015769899589406815
11,LF,L0,0.0
12,LF,MAE,0.18813633694017326
12,LF,L0,0.14285714285714285
13,LF,MAE,0.19372640664332644
13,LF,L0,0.14285714285714285
14,LF,MAE,0.08927609245417144
14,LF,L0,0.0
15,LF,MAE,0.16708615364079316
15,LF,L0,0.14285714285714285
16,LF,MAE,0.16365556694146738
16,LF,L0,0.14285714285714285
17,LF,MAE,0.14089349772478404
17,LF,L0,0.14285714285714285
18,LF,MAE,0.15818008109289697
18,LF,L0,0.14285714285714285
19,LF,MAE,0.01584308557359799
19,LF,L0,0.0
20,LF,MAE,0.14193389960777206
20,LF,L0,0.14285714285714285
21,LF,MAE,0.09015892688237516
21,LF,L0,0.0
22,LF,MAE,0.13573186933890047
22,LF,L0,0.14285714285714285
23,LF,MAE,0.14286912636690813
23,LF,L0,0.14285714285714285
24,LF,MAE,0.15687764854800043
24,LF,L0,0.14285714285714285
25,LF,MAE,0.15879296731496098
25,LF,L0,0.14285714285714285
26,LF,MAE,0.17639500104781322
26,LF,L0,0.14285714285714285
27,LF,MAE,0.10624419099566408
27,LF,L0,0.14285714285714285
28,LF,MAE,0.1343603992876146
28,LF,L0,0.14285714285714285
29,LF,MAE,0.1852385894558042
29,LF,L0,0.14285714285714285
30,LF,MAE,0.06215329718777882
30,LF,L0,0.0
31,LF,MAE,0.12720021299107684
31,LF,L0,0.14285714285714285
32,LF,MAE,0.14866465580101718
32,LF,L0,0.14285714285714285
33,LF,MAE,2.3636510802825184
33,LF,L0,1.0
34,LF,MAE,0.17117804138141654
34,LF,L0,0.14285714285714285
35,LF,MAE,0.15728083184893843
35,LF,L0,0.14285714285714285
36,LF,MAE,0.19627049941790348
36,LF,L0,0.14285714285714285
37,LF,MAE,0.17338512464885394
37,LF,L0,0.14285714285714285
38,LF,MAE,0.13266964422680672
38,LF,L0,0.14285714285714285
39,LF,MAE,0.16773622828019866
39,LF,L0,0.14285714285714285
40,LF,MAE,0.13057745152874617
40,LF,L0,0.14285714285714285
41,LF,MAE,0.14001899059629283
41,LF,L0,0.14285714285714285
42,LF,MAE,0.15136892121877032
42,LF,L0,0.14285714285714285
43,LF,MAE,0.14200342110757955
43,LF,L0,0.14285714285714285
44,LF,MAE,0.12307708681620326
44,LF,L0,0.14285714285714285
45,LF,MAE,0.14062285044591166
45,LF,L0,0.14285714285714285
46,LF,MAE,0.22253489001880677
46,LF,L0,0.14285714285714285
47,LF,MAE,0.1614972277482202
47,LF,L0,0.14285714285714285
48,LF,MAE,0.14085844280730073
48,LF,L0,0.14285714285714285
49,LF,MAE,0.11008596400816317
49,LF,L0,0.14285714285714285
50,LF,MAE,0.025340042301304978
50,LF,L0,0.0
51,LF,MAE,0.14993465999486275
51,LF,L0,0.14285714285714285
52,LF,MAE,0.16763219506575475
52,LF,L0,0.14285714285714285
53,LF,MAE,0.15770486603848946
53,LF,L0,0.14285714285714285
54,LF,MAE,0.04704351801804223
54,LF,L0,0.0
55,LF,MAE,0.16126843008078395
55,LF,L0,0.14285714285714285
56,LF,MAE,0.11745820128095794
56,LF,L0,0.14285714285714285
57,LF,MAE,0.13257170687339467
57,LF,L0,0.14285714285714285
58,LF,MAE,0.1545113697941408
58,LF,L0,0.14285714285714285
59,LF,MAE,0.16498728387006714
59,LF,L0,0.14285714285714285
60,LF,MAE,0.15154946916280934
60,LF,L0,0.14285714285714285
61,LF,MAE,0.12964986474606624
61,LF,L0,0.14285714285714285
62,LF,MAE,0.1895925136744499
62,LF,L0,0.14285714285714285
63,LF,MAE,0.15817855630877656
63,LF,L0,0.14285714285714285
64,LF,MAE,1.7995503086227638
64,LF,L0,0.14285714285714285
65,LF,MAE,0.16193293658922284
65,LF,L0,0.14285714285714285
66,LF,MAE,0.20242834600894516
66,LF,L0,0.14285714285714285
67,LF,MAE,0.16310634505125876
67,LF,L0,0.14285714285714285
68,LF,MAE,0.1444484631036746
68,LF,L0,0.14285714285714285
69,LF,MAE,0.1783808880729829
69,LF,L0,0.14285714285714285
70,LF,MAE,0.16044879127007172
70,LF,L0,0.14285714285714285
71,LF,MAE,0.15724103046864146
71,LF,L0,0.42857142857142855
72,LF,MAE,0.15303055289539255
72,LF,L0,0.14285714285714285
73,LF,MAE,0.19547277280940792
73,LF,L0,0.14285714285714285
74,LF,MAE,0.1406487545030757
74,LF,L0,0.14285714285714285
75,LF,MAE,0.035358682484245355
75,LF,L0,0.0
76,LF,MAE,0.0411758476924311
76,LF,L0,0.0
77,LF,MAE,0.18189872236272978
77,LF,L0,0.14285714285714285
78,LF,MAE,0.1407929566907362
78,LF,L0,0.14285714285714285
79,LF,MAE,0.19665500842296882
79,LF,L0,0.14285714285714285
80,LF,MAE,0.16563595958237282
80,LF,L0,0.14285714285714285
81,LF,MAE,0.15135148279467756
81,LF,L0,0.14285714285714285
82,LF,MAE,0.17199497452379106
82,LF,L0,0.14285714285714285
83,LF,MAE,0.1509210174813889
83,LF,L0,0.14285714285714285
84,LF,MAE,0.14204911282574867
84,LF,L0,0.14285714285714285
85,LF,MAE,0.14028213326006975
85,LF,L0,0.14285714285714285
86,LF,MAE,0.16717933380263264
86,LF,L0,0.14285714285714285
87,LF,MAE,0.1601018115924059
87,LF,L0,0.14285714285714285
88,LF,MAE,0.22521372765958286
88,LF,L0,0.14285714285714285
89,LF,MAE,0.15986729911488592
89,LF,L0,0.14285714285714285
90,LF,MAE,0.16755782284447096
90,LF,L0,0.14285714285714285
