run,model,metric,value
0,MF,MAE,0.04837508532250202
0,MF,L0,0.0
1,MF,MAE,0.04143830733518038
1,MF,L0,0.0
2,MF,MAE,0.1352506363879333
2,MF,L0,0.14285714285714285
3,MF,MAE,0.07680945311013296
3,MF,L0,0.0
4,MF,MAE,0.1354931320653974
4,MF,L0,0.14285714285714285
5,MF,MAE,0.183080174919754
5,MF,L0,0.14285714285714285
6,MF,MAE,0.048769470666296305
6,MF,L0,0.0
7,MF,MAE,0.1235833281066955
7,MF,L0,0.14285714285714285
8,MF,MAE,0.17994419054632493
8,MF,L0,0.14285714285714285
9,MF,MAE,0.042680350470804575
9,MF,L0,0.0
10,MF,MAE,0.15665020911947827
10,MF,L0,0.14285714285714285
11,MF,MAE,0.013121081795775572
11,MF,L0,0.0
12,MF,MAE,0.17257710353817773
12,MF,L0,0.14285714285714285
13,MF,MAE,0.191323151050764
13,MF,L0,0.14285714285714285
14,MF,MAE,0.084764333951206
14,MF,L0,0.0
15,MF,MAE,0.1618471806705728
15,MF,L0,0.14285714285714285
16,MF,MAE,0.1560021624497494
16,MF,L0,0.14285714285714285
17,MF,MAE,0.14106276871795373
17,MF,L0,0.14285714285714285
18,MF,MAE,0.15925715510880203
18,MF,L0,0.14285714285714285
19,MF,MAE,0.02962597869561431
19,MF,L0,0.0
20,MF,MAE,0.14383381117291544
20,MF,L0,0.14285714285714285
21,MF,MAE,0.09626370544947477
21,MF,L0,0.0
22,MF,MAE,0.13235926422908206
22,MF,L0,0.14285714285714285
23,MF,MAE,0.1395273534204534
23,MF,L0,0.14285714285714285
24,MF,MAE,0.022975631281028537
24,MF,L0,0.0
25,MF,MAE,0.1482980107947057
25,MF,L0,0.14285714285714285
26,MF,MAE,0.16424042766674105
26,MF,L0,0.14285714285714285
27,MF,MAE,0.10621654852385021
27,MF,L0,0.14285714285714285
28,MF,MAE,0.12703457350353148
28,MF,L0,0.14285714285714285
29,MF,MAE,0.17545854199549005
29,MF,L0,0.14285714285714285
30,MF,MAE,0.0524049647024993
30,MF,L0,0.0
31,MF,MAE,0.07760020152077748
31,MF,L0,0.0
32,MF,MAE,0.1432255300021693
32,MF,L0,0.14285714285714285
33,MF,MAE,0.1723007745669152
33,MF,L0,0.14285714285714285
34,MF,MAE,0.1663009246224755
34,MF,L0,0.14285714285714285
35,MF,MAE,0.15235267276948605
35,MF,L0,0.14285714285714285
36,MF,MAE,0.18762946877844666
36,MF,L0,0.14285714285714285
37,MF,MAE,0.17487543652810952
37,MF,L0,0.14285714285714285
38,MF,MAE,0.13034133635135595
38,MF,L0,0.14285714285714285
39,MF,MAE,0.16747254187541735
39,MF,L0,0.14285714285714285
40,MF,MAE,0.12829107909409548
40,MF,L0,0.14285714285714285
41,MF,MAE,0.13657054150096157
41,MF,L0,0.14285714285714285
42,MF,MAE,0.14581638117721243
42,MF,L0,0.14285714285714285
43,MF,MAE,0.1476611788155604
43,MF,L0,0.14285714285714285
44,MF,MAE,0.02518010399608013
44,MF,L0,0.0
45,MF,MAE,0.1406645642707239
45,MF,L0,0.14285714285714285
46,MF,MAE,0.22092211708277742
46,MF,L0,0.14285714285714285
47,MF,MAE,0.1576063998303019
47,MF,L0,0.14285714285714285
48,MF,MAE,0.023081518765305196
48,MF,L0,0.0
49,MF,MAE,0.10533030526953138
49,MF,L0,0.14285714285714285
50,MF,MAE,0.023912962796867235
50,MF,L0,0.0
51,MF,MAE,0.14196196217445164
51,MF,L0,0.14285714285714285
52,MF,MAE,0.16867588588961796
52,MF,L0,0.14285714285714285
53,MF,MAE,0.16007258842422425
53,MF,L0,0.14285714285714285
54,MF,MAE,0.04151256977928781
54,MF,L0,0.0
55,MF,MAE,0.15923075734067696
55,MF,L0,0.14285714285714285
56,MF,MAE,0.12212421589338582
56,MF,L0,0.14285714285714285
57,MF,MAE,0.13514277165395133
57,MF,L0,0.14285714285714285
58,MF,MAE,0.1498747607217339
58,MF,L0,0.14285714285714285
59,MF,MAE,0.1628055538689569
59,MF,L0,0.14285714285714285
60,MF,MAE,0.14442616323845006
60,MF,L0,0.14285714285714285
61,MF,MAE,0.13530613171100758
61,MF,L0,0.14285714285714285
62,MF,MAE,0.1705497956980105
62,MF,L0,0.14285714285714285
63,MF,MAE,0.15299952668180003
63,MF,L0,0.14285714285714285
64,MF,MAE,1.7732904246630274
64,MF,L0,0.14285714285714285
65,MF,MAE,0.15745088326519685
65,MF,L0,0.14285714285714285
66,MF,MAE,0.19823009646355938
66,MF,L0,0.14285714285714285
67,MF,MAE,0.16309815346134912
67,MF,L0,0.14285714285714285
68,MF,MAE,0.147570406229764
68,MF,L0,0.14285714285714285
69,MF,MAE,0.17066102626077698
69,MF,L0,0.14285714285714285
70,MF,MAE,0.14446450334212455
70,MF,L0,0.14285714285714285
71,MF,MAE,0.1714659237920408
71,MF,L0,0.42857142857142855
72,MF,MAE,0.15278374187374524
72,MF,L0,0.14285714285714285
73,MF,MAE,0.19423236760501472
73,MF,L0,0.14285714285714285
74,MF,MAE,0.13669814324076435
74,MF,L0,0.14285714285714285
75,MF,MAE,0.028128230421378433
75,MF,L0,0.0
76,MF,MAE,0.16125401325899094
76,MF,L0,0.14285714285714285
77,MF,MAE,0.1848590402919021
77,MF,L0,0.14285714285714285
78,MF,MAE,0.1400732429866846
78,MF,L0,0.14285714285714285
79,MF,MAE,0.18541714549650584
79,MF,L0,0.14285714285714285
80,MF,MAE,0.04357425398494919
80,MF,L0,0.0
81,MF,MAE,0.15242962447571104
81,MF,L0,0.14285714285714285
82,MF,MAE,0.17140930196001
82,MF,L0,0.14285714285714285
83,MF,MAE,0.14008288606793973
83,MF,L0,0.14285714285714285
84,MF,MAE,0.1341440073911627
84,MF,L0,0.14285714285714285
85,MF,MAE,0.13467712157886477
85,MF,L0,0.14285714285714285
86,MF,MAE,0.15989792109121734
86,MF,L0,0.14285714285714285
87,MF,MAE,0.1549471565207575
87,MF,L0,0.14285714285714285
88,MF,MAE,0.21609699047658348
88,MF,L0,0.14285714285714285
89,MF,MAE,0.1363788519714469
89,MF,L0,0.14285714285714285
90,MF,MAE,0.16289940818190574
90,MF,L0,0.14285714285714285
91,MF,MAE,0.18325502685264516
91,MF,L0,0.14285714285714285
92,MF,MAE,0.1674995322120473
92,MF,L0,0.14285714285714285
93,MF,MAE,0.11348168634150807
93,MF,L0,0.14285714285714285
94,MF,MAE,0.13936586278641164
