run,model,metric,value
0,MF_w,MAE,0.0038188920590119515
0,MF_w,L0,0.0
1,MF_w,MAE,0.022808104129045884
1,MF_w,L0,0.0
2,MF_w,MAE,0.02892394503935308
2,MF_w,L0,0.0
3,MF_w,MAE,0.006279262182500428
3,MF_w,L0,0.0
4,MF_w,MAE,0.016365426280772134
4,MF_w,L0,0.0
5,MF_w,MAE,0.0038286594255743183
5,MF_w,L0,0.0
6,MF_w,MAE,0.015969904865405476
6,MF_w,L0,0.0
7,MF_w,MAE,0.016625805154376703
7,MF_w,L0,0.0
8,MF_w,MAE,0.00359292692254001
8,MF_w,L0,0.0
9,MF_w,MAE,0.011468941173610595
9,MF_w,L0,0.0
10,MF_w,MAE,0.006465977244248915
10,MF_w,L0,0.0
11,MF_w,MAE,0.038461038407613224
11,MF_w,L0,0.0
12,MF_w,MAE,0.006500707659937595
12,MF_w,L0,0.0
13,MF_w,MAE,0.023356836368925264
13,MF_w,L0,0.0
14,MF_w,MAE,0.013359947035877461
14,MF_w,L0,0.0
15,MF_w,MAE,0.02888334990427195
15,MF_w,L0,0.0
16,MF_w,MAE,0.005792822798427032
16,MF_w,L0,0.0
17,MF_w,MAE,0.010210872983232668
17,MF_w,L0,0.0
18,MF_w,MAE,0.024444521804846082
18,MF_w,L0,0.0
19,MF_w,MAE,0.006968624303810487
19,MF_w,L0,0.0
20,MF_w,MAE,0.0031403465044670975
20,MF_w,L0,0.0
21,MF_w,MAE,0.010254689475003171
21,MF_w,L0,0.0
22,MF_w,MAE,0.04384163612769582
22,MF_w,L0,0.0
23,MF_w,MAE,0.024593175656399516
23,MF_w,L0,0.0
24,MF_w,MAE,0.003970977597084703
24,MF_w,L0,0.0
25,MF_w,MAE,0.011477980034643957
25,MF_w,L0,0.0
26,MF_w,MAE,0.00946693753094667
26,MF_w,L0,0.0
27,MF_w,MAE,0.007731930924081236
27,MF_w,L0,0.0
28,MF_w,MAE,0.004076576821198556
28,MF_w,L0,0.0
29,MF_w,MAE,0.0017737672910105307
29,MF_w,L0,0.0
30,MF_w,MAE,0.03439456677146046
30,MF_w,L0,0.14285714285714285
31,MF_w,MAE,0.010269196208852853
31,MF_w,L0,0.0
32,MF_w,MAE,0.0063954758821212305
32,MF_w,L0,0.0
33,MF_w,MAE,0.010640025730086357
33,MF_w,L0,0.0
34,MF_w,MAE,0.011137332948055087
34,MF_w,L0,0.0
35,MF_w,MAE,0.00592696723901785
35,MF_w,L0,0.0
36,MF_w,MAE,0.026541564033221825
36,MF_w,L0,0.0
37,MF_w,MAE,0.004200835883265425
37,MF_w,L0,0.0
38,MF_w,MAE,0.02669154229256586
38,MF_w,L0,0.0
39,MF_w,MAE,0.022930964413870932
39,MF_w,L0,0.0
40,MF_w,MAE,0.008669779164336557
40,MF_w,L0,0.0
41,MF_w,MAE,0.006337859374599536
41,MF_w,L0,0.0
42,MF_w,MAE,0.014252520153082763
42,MF_w,L0,0.0
43,MF_w,MAE,0.01052978482656103
43,MF_w,L0,0.0
44,MF_w,MAE,0.019060738327835662
44,MF_w,L0,0.0
45,MF_w,MAE,0.022391729265288304
45,MF_w,L0,0.0
46,MF_w,MAE,0.011411228486501071
46,MF_w,L0,0.0
47,MF_w,MAE,0.07107784600804373
47,MF_w,L0,0.0
48,MF_w,MAE,0.030997908482457398
48,MF_w,L0,0.0
49,MF_w,MAE,0.015182858855169552
49,MF_w,L0,0.0
50,MF_w,MAE,0.021235179161998127
50,MF_w,L0,0.0
51,MF_w,MAE,0.00985751751078006
51,MF_w,L0,0.0
52,MF_w,MAE,0.013500274451282516
52,MF_w,L0,0.0
53,MF_w,MAE,0.012480220922767444
53,MF_w,L0,0.0
54,MF_w,MAE,0.008066193475295358
54,MF_w,L0,0.0
55,MF_w,MAE,0.0069188489910301364
55,MF_w,L0,0.0
56,MF_w,MAE,0.014240056926837188
56,MF_w,L0,0.0
57,MF_w,MAE,0.0018680246906148956
57,MF_w,L0,0.0
58,MF_w,MAE,0.0061742484091572855
58,MF_w,L0,0.0
59,MF_w,MAE,0.010400128036049358
59,MF_w,L0,0.0
60,MF_w,MAE,0.008775591393553328
60,MF_w,L0,0.0
61,MF_w,MAE,0.009580426324403039
61,MF_w,L0,0.0
62,MF_w,MAE,0.005479319144045474
62,MF_w,L0,0.0
63,MF_w,MAE,0.008394154609928485
63,MF_w,L0,0.0
64,MF_w,MAE,0.017946439764440984
64,MF_w,L0,0.0
65,MF_w,MAE,0.01599299695222692
65,MF_w,L0,0.0
66,MF_w,MAE,0.012834000854928071
66,MF_w,L0,0.0
67,MF_w,MAE,0.004183882740256684
67,MF_w,L0,0.0
68,MF_w,MAE,0.023584638652684613
68,MF_w,L0,0.0
69,MF_w,MAE,0.0058641850180947966
69,MF_w,L0,0.0
70,MF_w,MAE,0.021897796683113487
70,MF_w,L0,0.0
71,MF_w,MAE,0.03535251319255279
71,MF_w,L0,0.0
72,MF_w,MAE,0.02707781025722475
72,MF_w,L0,0.0
73,MF_w,MAE,0.010371582527532893
73,MF_w,L0,0.0
74,MF_w,MAE,0.013986893914668909
74,MF_w,L0,0.0
75,MF_w,MAE,0.009772190875259514
75,MF_w,L0,0.0
76,MF_w,MAE,0.008909551177451706
76,MF_w,L0,0.0
77,MF_w,MAE,0.010488662268324081
77,MF_w,L0,0.0
78,MF_w,MAE,0.04057090380012731
78,MF_w,L0,0.0
79,MF_w,MAE,0.02343639727911518
79,MF_w,L0,0.0
80,MF_w,MAE,0.012781395290367844
80,MF_w,L0,0.0
81,MF_w,MAE,0.013393328773253886
81,MF_w,L0,0.0
82,MF_w,MAE,0.01465266259890852
82,MF_w,L0,0.0
83,MF_w,MAE,0.009810758971625602
83,MF_w,L0,0.0
84,MF_w,MAE,0.012734554506007134
84,MF_w,L0,0.0
85,MF_w,MAE,0.0174877595847125
85,MF_w,L0,0.0
86,MF_w,MAE,0.012243857840753505
86,MF_w,L0,0.0
87,MF_w,MAE,0.026552700848022068
87,MF_w,L0,0.0
88,MF_w,MAE,0.015910943426721984
88,MF_w,L0,0.0
89,MF_w,MAE,0.06104400814875013
89,MF_w,L0,0.0
90,MF_w,MAE,0.032371598914078245
90,MF_w,L0,0.0
91,MF_w,MAE,0.011381173781955245
91,MF_w,L0,0.0
92,MF_w,MAE,0.039910029367294646
92,MF_w,L0,0.0
93,MF_w,MAE,0.0026625383439051
93,MF_w,L0,0.0
94,MF_w,MAE,0.009909299943431942
94,MF_w,L0,0.0
95,MF_w,MAE,0.007887431938857034
95,MF_w,L0,0.0
96,MF_w,MAE,0.027643099370356784
96,MF_w,L0,0.0
97,MF_w,MAE,0.008669397991283703
97,MF_w,L0,0.0
98,MF_w,MAE,0.00243664908318519
98,MF_w,L0,0.0
99,MF_w,MAE,0.01254795839309748
99,MF_w,L0,0.0
