run,model,metric,value
0,PMF,MAE,0.01933491780641708
0,PMF,L0,0.0
1,PMF,MAE,0.13183103969183113
1,PMF,L0,0.14285714285714285
2,PMF,MAE,0.15811944119573926
2,PMF,L0,0.14285714285714285
3,PMF,MAE,0.07420396607774425
3,PMF,L0,0.0
4,PMF,MAE,0.15940968254629648
4,PMF,L0,0.14285714285714285
5,PMF,MAE,0.10912115501816497
5,PMF,L0,0.0
6,PMF,MAE,0.019737497791439493
6,PMF,L0,0.0
7,PMF,MAE,0.17789417023349582
7,PMF,L0,0.14285714285714285
8,PMF,MAE,0.042110741412058894
8,PMF,L0,0.0
9,PMF,MAE,0.05093779013810512
9,PMF,L0,0.0
10,PMF,MAE,0.25434331412077593
10,PMF,L0,0.14285714285714285
11,PMF,MAE,0.12733692372629796
11,PMF,L0,0.14285714285714285
12,PMF,MAE,0.10506698309089918
12,PMF,L0,0.0
13,PMF,MAE,0.041281439038545316
13,PMF,L0,0.0
14,PMF,MAE,0.169290871407031
14,PMF,L0,0.14285714285714285
15,PMF,MAE,0.06583825077748126
15,PMF,L0,0.0
16,PMF,MAE,0.040772873762408395
16,PMF,L0,0.0
17,PMF,MAE,0.1277897629957511
17,PMF,L0,0.14285714285714285
18,PMF,MAE,0.034459450046431264
18,PMF,L0,0.0
19,PMF,MAE,0.12841410879978785
19,PMF,L0,0.14285714285714285
20,PMF,MAE,0.055419049027245613
20,PMF,L0,0.0
21,PMF,MAE,0.12958327379213735
21,PMF,L0,0.14285714285714285
22,PMF,MAE,0.11127325478315603
22,PMF,L0,0.14285714285714285
23,PMF,MAE,0.06847875028301544
23,PMF,L0,0.0
24,PMF,MAE,0.039116305813720706
24,PMF,L0,0.0
25,PMF,MAE,0.11220601644106322
25,PMF,L0,0.14285714285714285
26,PMF,MAE,0.1595856595035
26,PMF,L0,0.14285714285714285
27,PMF,MAE,0.14212602514087896
27,PMF,L0,0.14285714285714285
28,PMF,MAE,0.18143445844924114
28,PMF,L0,0.14285714285714285
29,PMF,MAE,0.09343972425535849
29,PMF,L0,0.0
30,PMF,MAE,0.15121684027336332
30,PMF,L0,0.14285714285714285
31,PMF,MAE,0.12015604710829735
31,PMF,L0,0.14285714285714285
32,PMF,MAE,0.07148766841738154
32,PMF,L0,0.0
33,PMF,MAE,0.08246930563922093
33,PMF,L0,0.0
34,PMF,MAE,0.050429998162161344
34,PMF,L0,0.0
35,PMF,MAE,0.16428183621217812
35,PMF,L0,0.14285714285714285
36,PMF,MAE,0.07147868332000543
36,PMF,L0,0.0
37,PMF,MAE,0.06718927621686198
37,PMF,L0,0.0
38,PMF,MAE,0.13575296170150128
38,PMF,L0,0.14285714285714285
39,PMF,MAE,0.16781849481962804
39,PMF,L0,0.14285714285714285
40,PMF,MAE,0.09075973367688536
40,PMF,L0,0.0
41,PMF,MAE,0.05431426466719117
41,PMF,L0,0.0
42,PMF,MAE,0.19398048163868215
42,PMF,L0,0.14285714285714285
43,PMF,MAE,0.13247445173460892
43,PMF,L0,0.14285714285714285
44,PMF,MAE,0.04402965529523705
44,PMF,L0,0.0
45,PMF,MAE,0.14698888305649468
45,PMF,L0,0.14285714285714285
46,PMF,MAE,0.012040427004173068
46,PMF,L0,0.0
47,PMF,MAE,0.14215679057027156
47,PMF,L0,0.14285714285714285
48,PMF,MAE,0.08684261283070477
48,PMF,L0,0.0
49,PMF,MAE,0.1461004625873143
49,PMF,L0,0.14285714285714285
50,PMF,MAE,0.04930199195211541
50,PMF,L0,0.0
51,PMF,MAE,0.040838534625503305
51,PMF,L0,0.0
52,PMF,MAE,0.04736896365775965
52,PMF,L0,0.0
53,PMF,MAE,0.13564603143837323
53,PMF,L0,0.14285714285714285
54,PMF,MAE,0.16083802526609858
54,PMF,L0,0.14285714285714285
55,PMF,MAE,0.04893495180112376
55,PMF,L0,0.0
56,PMF,MAE,0.027582474940572182
56,PMF,L0,0.0
57,PMF,MAE,0.16562416982844835
57,PMF,L0,0.14285714285714285
58,PMF,MAE,0.08880557145770229
58,PMF,L0,0.0
59,PMF,MAE,0.09242503166738875
59,PMF,L0,0.0
60,PMF,MAE,0.026910804170695586
60,PMF,L0,0.0
61,PMF,MAE,0.02681035251992716
61,PMF,L0,0.0
62,PMF,MAE,0.03256164779108638
62,PMF,L0,0.0
63,PMF,MAE,0.15256828588663562
63,PMF,L0,0.14285714285714285
64,PMF,MAE,0.04380415313286328
64,PMF,L0,0.0
65,PMF,MAE,0.06572082703754036
65,PMF,L0,0.0
66,PMF,MAE,0.07352322195086608
66,PMF,L0,0.0
67,PMF,MAE,0.05694208420937613
67,PMF,L0,0.0
68,PMF,MAE,0.036281382172432014
68,PMF,L0,0.0
69,PMF,MAE,0.03462132557118449
69,PMF,L0,0.0
70,PMF,MAE,0.06581067516820907
70,PMF,L0,0.0
71,PMF,MAE,0.15725249442450467
71,PMF,L0,0.14285714285714285
72,PMF,MAE,0.11148717747602667
72,PMF,L0,0.0
73,PMF,MAE,0.061705294181870624
73,PMF,L0,0.0
74,PMF,MAE,0.1972096646408377
74,PMF,L0,0.14285714285714285
75,PMF,MAE,0.16637136287724427
75,PMF,L0,0.14285714285714285
76,PMF,MAE,0.17075126728040924
76,PMF,L0,0.14285714285714285
77,PMF,MAE,0.0317787724282471
77,PMF,L0,0.0
78,PMF,MAE,0.16791162229721307
78,PMF,L0,0.14285714285714285
79,PMF,MAE,0.046434604515283695
79,PMF,L0,0.0
80,PMF,MAE,0.03910391335443743
80,PMF,L0,0.0
81,PMF,MAE,0.14963228272357576
81,PMF,L0,0.14285714285714285
82,PMF,MAE,0.1186244091682117
82,PMF,L0,0.14285714285714285
83,PMF,MAE,0.15186116683718023
83,PMF,L0,0.14285714285714285
84,PMF,MAE,0.046962222013750006
84,PMF,L0,0.0
85,PMF,MAE,0.16510164088103885
85,PMF,L0,0.14285714285714285
86,PMF,MAE,0.15438158537197208
86,PMF,L0,0.14285714285714285
87,PMF,MAE,0.14155725408745623
87,PMF,L0,0.14285714285714285
88,PMF,MAE,0.17664953533768357
88,PMF,L0,0.14285714285714285
89,PMF,MAE,0.06885429328563362
89,PMF,L0,0.0
90,PMF,MAE,0.04789524295676585
90,PMF,L0,0.0
91,PMF,MAE,0.1628015556078181
91,PMF,L0,0.14285714285714285
92,PMF,MAE,0.17185566467272537
92,PMF,L0,0.14285714285714285
93,PMF,MAE,0.025623394999774927
93,PMF,L0,0.0
94,PMF,MAE,0.18574699785384863
94,PMF,L0,0.14285714285714285
95,PMF,MAE,0.14781116766868585
95,PMF,L0,0.14285714285714285
96,PMF,MAE,0.10980420764364081
96,PMF,L0,0.0
97,PMF,MAE,0.036005560312258315
97,PMF,L0,0.0
98,PMF,MAE,0.06359882576543185
98,PMF,L0,0.0
99,PMF,MAE,0.03326473700352849
99,PMF,L0,0.0
