run,model,metric,value
0,VHF,MAE,1.8162695176619892
0,VHF,L0,0.8571428571428571
1,VHF,MAE,2.078035048228417
1,VHF,L0,1.4285714285714286
2,VHF,MAE,2.160582525655575
2,VHF,L0,1.7142857142857142
3,VHF,MAE,2.351018302244923
3,VHF,L0,2.0
4,VHF,MAE,2.166784691957638
4,VHF,L0,1.8571428571428572
5,VHF,MAE,2.325760732358301
5,VHF,L0,1.8571428571428572
6,VHF,MAE,1.9292677149425297
6,VHF,L0,1.2857142857142858
7,VHF,MAE,2.3614992658466516
7,VHF,L0,2.0
8,VHF,MAE,2.099824832328544
8,VHF,L0,1.4285714285714286
9,VHF,MAE,1.8976878406048603
9,VHF,L0,1.5714285714285714
10,VHF,MAE,1.9595750546198103
10,VHF,L0,1.5714285714285714
11,VHF,MAE,2.128648172684634
11,VHF,L0,1.5714285714285714
12,VHF,MAE,2.13542930318431
12,VHF,L0,1.5714285714285714
13,VHF,MAE,2.0677846013898264
13,VHF,L0,1.8571428571428572
14,VHF,MAE,1.8038595345024955
14,VHF,L0,0.7142857142857143
15,VHF,MAE,2.316826834859666
15,VHF,L0,2.142857142857143
16,VHF,MAE,1.8473939763497969
16,VHF,L0,1.7142857142857142
17,VHF,MAE,2.0027819434108745
17,VHF,L0,1.7142857142857142
18,VHF,MAE,1.9932822699854194
18,VHF,L0,2.0
19,VHF,MAE,1.9140736306845367
19,VHF,L0,1.5714285714285714
20,VHF,MAE,2.110239883148249
20,VHF,L0,1.4285714285714286
21,VHF,MAE,2.18912125061921
21,VHF,L0,1.5714285714285714
22,VHF,MAE,2.243655943847495
22,VHF,L0,1.7142857142857142
23,VHF,MAE,1.9786538802468128
23,VHF,L0,1.8571428571428572
24,VHF,MAE,1.8195017758757663
24,VHF,L0,1.2857142857142858
25,VHF,MAE,2.075857278241583
25,VHF,L0,1.5714285714285714
26,VHF,MAE,2.0724883643112455
26,VHF,L0,1.4285714285714286
27,VHF,MAE,2.0494694215094102
27,VHF,L0,1.2857142857142858
28,VHF,MAE,4.036022603038189
28,VHF,L0,2.142857142857143
29,VHF,MAE,2.1056607621027723
29,VHF,L0,1.7142857142857142
30,VHF,MAE,2.128297153207739
30,VHF,L0,1.4285714285714286
31,VHF,MAE,2.2382734902703643
31,VHF,L0,1.8571428571428572
32,VHF,MAE,2.123444882582243
32,VHF,L0,1.2857142857142858
33,VHF,MAE,1.551123560324076
33,VHF,L0,1.0
34,VHF,MAE,1.9837522244232437
34,VHF,L0,1.5714285714285714
35,VHF,MAE,2.112044119762561
35,VHF,L0,1.2857142857142858
36,VHF,MAE,1.989538579936782
36,VHF,L0,1.8571428571428572
37,VHF,MAE,2.0696320996510247
37,VHF,L0,1.4285714285714286
38,VHF,MAE,2.300095430900877
38,VHF,L0,2.0
39,VHF,MAE,1.8674969094774811
39,VHF,L0,0.7142857142857143
40,VHF,MAE,2.188243067598615
40,VHF,L0,1.8571428571428572
41,VHF,MAE,2.2937563147026947
41,VHF,L0,1.8571428571428572
42,VHF,MAE,2.3117965527856366
42,VHF,L0,2.0
43,VHF,MAE,2.0996180508284747
43,VHF,L0,1.4285714285714286
44,VHF,MAE,2.1178744654594173
44,VHF,L0,2.5714285714285716
45,VHF,MAE,2.0671942375378043
45,VHF,L0,1.0
46,VHF,MAE,2.056650589876701
46,VHF,L0,1.8571428571428572
47,VHF,MAE,2.134691966792014
47,VHF,L0,1.5714285714285714
48,VHF,MAE,1.9371344996876867
48,VHF,L0,1.5714285714285714
49,VHF,MAE,1.4454379939121138
49,VHF,L0,0.8571428571428571
50,VHF,MAE,2.4606147778167013
50,VHF,L0,2.5714285714285716
51,VHF,MAE,2.0498384301308796
51,VHF,L0,1.8571428571428572
52,VHF,MAE,1.966140793349162
52,VHF,L0,1.1428571428571428
53,VHF,MAE,1.6517027429712732
53,VHF,L0,0.8571428571428571
54,VHF,MAE,1.8326831142970907
54,VHF,L0,1.0
55,VHF,MAE,2.1740202752472557
55,VHF,L0,1.8571428571428572
56,VHF,MAE,2.2188084685838407
56,VHF,L0,1.7142857142857142
57,VHF,MAE,1.9271547692063427
57,VHF,L0,1.1428571428571428
58,VHF,MAE,2.14890598298088
58,VHF,L0,1.7142857142857142
59,VHF,MAE,2.151851742916986
59,VHF,L0,1.8571428571428572
60,VHF,MAE,2.082984893372113
60,VHF,L0,1.7142857142857142
61,VHF,MAE,2.2170248664372902
61,VHF,L0,1.8571428571428572
62,VHF,MAE,1.9804704387206284
62,VHF,L0,1.0
63,VHF,MAE,2.1204940888976855
63,VHF,L0,1.5714285714285714
64,VHF,MAE,2.2610105833740115
64,VHF,L0,1.5714285714285714
65,VHF,MAE,2.290713035605302
65,VHF,L0,1.8571428571428572
66,VHF,MAE,2.2829384772356796
66,VHF,L0,1.5714285714285714
67,VHF,MAE,2.2799374025340318
67,VHF,L0,1.7142857142857142
68,VHF,MAE,2.1443919619995073
68,VHF,L0,2.0
69,VHF,MAE,1.9560253655233935
69,VHF,L0,1.4285714285714286
70,VHF,MAE,2.1132191747778406
70,VHF,L0,1.7142857142857142
71,VHF,MAE,2.087609411418772
71,VHF,L0,1.5714285714285714
72,VHF,MAE,2.1836423190051235
72,VHF,L0,1.5714285714285714
73,VHF,MAE,2.296247900549311
73,VHF,L0,1.5714285714285714
74,VHF,MAE,2.1206588873327727
74,VHF,L0,1.7142857142857142
75,VHF,MAE,2.1146379999448883
75,VHF,L0,1.8571428571428572
76,VHF,MAE,2.233769995729167
76,VHF,L0,2.0
77,VHF,MAE,2.133979643891347
77,VHF,L0,1.5714285714285714
78,VHF,MAE,2.117041833274919
78,VHF,L0,1.8571428571428572
79,VHF,MAE,2.134922153114589
79,VHF,L0,2.142857142857143
80,VHF,MAE,2.0070186203897613
80,VHF,L0,1.4285714285714286
81,VHF,MAE,2.2382199817466724
81,VHF,L0,1.7142857142857142
82,VHF,MAE,2.2844973983378085
82,VHF,L0,1.5714285714285714
83,VHF,MAE,2.2557450227917117
83,VHF,L0,2.0
84,VHF,MAE,2.3283005462587374
84,VHF,L0,1.8571428571428572
85,VHF,MAE,1.9473288905203632
85,VHF,L0,1.2857142857142858
86,VHF,MAE,2.1086120264382946
86,VHF,L0,1.4285714285714286
87,VHF,MAE,1.9800145789887822
87,VHF,L0,1.2857142857142858
88,VHF,MAE,1.9110798591813876
88,VHF,L0,1.7142857142857142
89,VHF,MAE,2.1570652434506736
89,VHF,L0,1.7142857142857142
90,VHF,MAE,2.0404471384228637
90,VHF,L0,1.8571428571428572
91,VHF,MAE,2.165416873067997
91,VHF,L0,2.0
92,VHF,MAE,2.1881361588212753
92,VHF,L0,1.7142857142857142
93,VHF,MAE,2.180582759334246
93,VHF,L0,1.5714285714285714
94,VHF,MAE,2.0430343516625964
94,VHF,L0,1.8571428571428572
95,VHF,MAE,2.0973277363417346
95,VHF,L0,1.1428571428571428
96,VHF,MAE,2.179970095405385
