run,model,metric,value
0,VLF,MAE,0.09062466740367627
0,VLF,L0,0.2857142857142857
1,VLF,MAE,0.06881682002265213
1,VLF,L0,0.0
2,VLF,MAE,0.1626728386630559
2,VLF,L0,0.42857142857142855
3,VLF,MAE,0.06423992638841473
3,VLF,L0,0.0
4,VLF,MAE,0.2075136721855319
4,VLF,L0,0.2857142857142857
5,VLF,MAE,0.12060569530238224
5,VLF,L0,0.2857142857142857
6,VLF,MAE,0.022777049466873617
6,VLF,L0,0.0
7,VLF,MAE,0.1277392333688571
7,VLF,L0,0.0
8,VLF,MAE,0.05129105905117338
8,VLF,L0,0.0
9,VLF,MAE,0.10182324477496996
9,VLF,L0,0.2857142857142857
10,VLF,MAE,0.9536683746592166
10,VLF,L0,0.8571428571428571
11,VLF,MAE,0.08462713703011449
11,VLF,L0,0.0
12,VLF,MAE,0.07963385802310533
12,VLF,L0,0.0
13,VLF,MAE,0.04015979562797644
13,VLF,L0,0.0
14,VLF,MAE,0.11781723357480293
14,VLF,L0,0.0
15,VLF,MAE,0.04136744876722324
15,VLF,L0,0.0
16,VLF,MAE,0.03825164547833277
16,VLF,L0,0.0
17,VLF,MAE,0.0957100974307065
17,VLF,L0,0.0
18,VLF,MAE,0.06567132817248031
18,VLF,L0,0.0
19,VLF,MAE,0.0695307864249057
19,VLF,L0,0.0
20,VLF,MAE,0.05254646218488314
20,VLF,L0,0.0
21,VLF,MAE,0.04160232273683563
21,VLF,L0,0.0
22,VLF,MAE,0.06538718241912374
22,VLF,L0,0.0
23,VLF,MAE,0.06555483128694413
23,VLF,L0,0.0
24,VLF,MAE,0.05151582366291064
24,VLF,L0,0.0
25,VLF,MAE,0.040603080863682264
25,VLF,L0,0.0
26,VLF,MAE,0.17731599888116614
26,VLF,L0,0.14285714285714285
27,VLF,MAE,0.2200905329734329
27,VLF,L0,0.42857142857142855
28,VLF,MAE,0.1839542368301784
28,VLF,L0,0.14285714285714285
29,VLF,MAE,0.108391433167537
29,VLF,L0,0.0
30,VLF,MAE,0.18889075217722584
30,VLF,L0,0.42857142857142855
31,VLF,MAE,0.1504400588966486
31,VLF,L0,0.42857142857142855
32,VLF,MAE,0.08395834399161116
32,VLF,L0,0.0
33,VLF,MAE,0.09128090090749398
33,VLF,L0,0.0
34,VLF,MAE,0.04883097512542721
34,VLF,L0,0.0
35,VLF,MAE,0.15639485157599187
35,VLF,L0,0.14285714285714285
36,VLF,MAE,0.09354219069184502
36,VLF,L0,0.14285714285714285
37,VLF,MAE,0.04982012873148773
37,VLF,L0,0.0
38,VLF,MAE,0.10404815738063171
38,VLF,L0,0.2857142857142857
39,VLF,MAE,0.11376822675745084
39,VLF,L0,0.0
40,VLF,MAE,0.09530961204666284
40,VLF,L0,0.0
41,VLF,MAE,0.06560935405002241
41,VLF,L0,0.0
42,VLF,MAE,0.21464675394830354
42,VLF,L0,0.42857142857142855
43,VLF,MAE,0.07329972919872486
43,VLF,L0,0.0
44,VLF,MAE,0.04861500650143603
44,VLF,L0,0.0
45,VLF,MAE,0.14024469922390304
45,VLF,L0,0.14285714285714285
46,VLF,MAE,0.013202520405140456
46,VLF,L0,0.0
47,VLF,MAE,0.1575569470946564
47,VLF,L0,0.42857142857142855
48,VLF,MAE,0.10073918935599392
48,VLF,L0,0.2857142857142857
49,VLF,MAE,0.12716035601037387
49,VLF,L0,0.0
50,VLF,MAE,0.1164468098565371
50,VLF,L0,0.14285714285714285
51,VLF,MAE,0.06716486313712901
51,VLF,L0,0.2857142857142857
52,VLF,MAE,0.04120655574314283
52,VLF,L0,0.0
53,VLF,MAE,0.14133436207109298
53,VLF,L0,0.0
54,VLF,MAE,0.1439775659869998
54,VLF,L0,0.0
55,VLF,MAE,0.061681224147672596
55,VLF,L0,0.0
56,VLF,MAE,0.0450193965948845
56,VLF,L0,0.0
57,VLF,MAE,0.09071031110784666
57,VLF,L0,0.0
58,VLF,MAE,0.1019413769772766
58,VLF,L0,0.0
59,VLF,MAE,0.051734945785158845
59,VLF,L0,0.0
60,VLF,MAE,0.032758781383853325
60,VLF,L0,0.0
61,VLF,MAE,0.02218886137091989
61,VLF,L0,0.0
62,VLF,MAE,0.03982338643055747
62,VLF,L0,0.0
63,VLF,MAE,0.15467783934697701
63,VLF,L0,0.14285714285714285
64,VLF,MAE,0.06166810717813079
64,VLF,L0,0.0
65,VLF,MAE,0.09234635787410689
65,VLF,L0,0.0
66,VLF,MAE,0.08594059732132348
66,VLF,L0,0.0
67,VLF,MAE,0.06983643483642774
67,VLF,L0,0.0
68,VLF,MAE,0.04224562877424541
68,VLF,L0,0.0
69,VLF,MAE,0.04510391850670587
69,VLF,L0,0.0
70,VLF,MAE,0.06776572082192951
70,VLF,L0,0.0
71,VLF,MAE,0.1210335804011185
71,VLF,L0,0.0
72,VLF,MAE,0.0668891084580499
72,VLF,L0,0.0
73,VLF,MAE,0.04545124526140358
73,VLF,L0,0.0
74,VLF,MAE,0.24942887136576847
74,VLF,L0,0.0
75,VLF,MAE,0.15749779155430166
75,VLF,L0,0.14285714285714285
76,VLF,MAE,0.16780162690856018
76,VLF,L0,0.14285714285714285
77,VLF,MAE,0.03416936679143195
77,VLF,L0,0.2857142857142857
78,VLF,MAE,0.15528590119360836
78,VLF,L0,0.14285714285714285
79,VLF,MAE,0.05792942742254898
79,VLF,L0,0.0
80,VLF,MAE,0.05236149916201894
80,VLF,L0,0.0
81,VLF,MAE,0.13730349310709306
81,VLF,L0,0.14285714285714285
82,VLF,MAE,0.13435660828928625
82,VLF,L0,0.42857142857142855
83,VLF,MAE,0.19811426427969958
83,VLF,L0,0.2857142857142857
84,VLF,MAE,0.04789100342851021
84,VLF,L0,0.0
85,VLF,MAE,0.2107171714019704
85,VLF,L0,0.42857142857142855
86,VLF,MAE,0.15191453133845442
86,VLF,L0,0.14285714285714285
87,VLF,MAE,0.15098474043095245
87,VLF,L0,0.42857142857142855
88,VLF,MAE,0.16886940578028523
88,VLF,L0,0.14285714285714285
89,VLF,MAE,0.4822420725195183
89,VLF,L0,1.0
90,VLF,MAE,0.09127212388112457
90,VLF,L0,0.14285714285714285
91,VLF,MAE,0.18070598421801923
91,VLF,L0,0.42857142857142855
92,VLF,MAE,0.18477620310947873
92,VLF,L0,0.42857142857142855
93,VLF,MAE,0.035583621590339454
93,VLF,L0,0.14285714285714285
94,VLF,MAE,0.13413790308079962
94,VLF,L0,0.0
95,VLF,MAE,0.1479090889817838
95,VLF,L0,0.14285714285714285
96,VLF,MAE,0.10423164501778998
96,VLF,L0,0.2857142857142857
97,VLF,MAE,0.06028277442551788
97,VLF,L0,0.0
98,VLF,MAE,0.06614552756299777
98,VLF,L0,0.0
99,VLF,MAE,0.06025967856936996
99,VLF,L0,0.2857142857142857
