run,model,metric,value
0,VMF,MAE,0.0062697190687618035
0,VMF,L0,0.0
1,VMF,MAE,0.02027381952702601
1,VMF,L0,0.0
2,VMF,MAE,0.006774896434568395
2,VMF,L0,0.0
3,VMF,MAE,0.02980372940083746
3,VMF,L0,0.0
4,VMF,MAE,0.018824275336415904
4,VMF,L0,0.0
5,VMF,MAE,0.015488060209259143
5,VMF,L0,0.0
6,VMF,MAE,0.0036968784635215833
6,VMF,L0,0.0
7,VMF,MAE,0.1515384117445269
7,VMF,L0,0.14285714285714285
8,VMF,MAE,0.15098379255802521
8,VMF,L0,0.14285714285714285
9,VMF,MAE,0.003587158900928192
9,VMF,L0,0.0
10,VMF,MAE,0.12799006777227018
10,VMF,L0,0.14285714285714285
11,VMF,MAE,0.019160388529162374
11,VMF,L0,0.0
12,VMF,MAE,0.1315285486886183
12,VMF,L0,0.14285714285714285
13,VMF,MAE,0.1366243357885894
13,VMF,L0,0.14285714285714285
14,VMF,MAE,0.13168388975311787
14,VMF,L0,0.14285714285714285
15,VMF,MAE,0.06977754016229815
15,VMF,L0,0.0
16,VMF,MAE,0.12623433243648255
16,VMF,L0,0.14285714285714285
17,VMF,MAE,0.0053592153302135515
17,VMF,L0,0.0
18,VMF,MAE,0.012925616053687887
18,VMF,L0,0.0
19,VMF,MAE,0.005594851234794101
19,VMF,L0,0.0
20,VMF,MAE,0.013350088611313338
20,VMF,L0,0.0
21,VMF,MAE,0.03289806249035208
21,VMF,L0,0.0
22,VMF,MAE,0.011279669587534326
22,VMF,L0,0.0
23,VMF,MAE,0.007458495182593076
23,VMF,L0,0.0
24,VMF,MAE,0.0029043179009326575
24,VMF,L0,0.0
25,VMF,MAE,0.019349365828109914
25,VMF,L0,0.0
26,VMF,MAE,0.007619976432913365
26,VMF,L0,0.0
27,VMF,MAE,0.006185718544893503
27,VMF,L0,0.0
28,VMF,MAE,0.13644052894192113
28,VMF,L0,0.14285714285714285
29,VMF,MAE,0.0024851782071081694
29,VMF,L0,0.0
30,VMF,MAE,0.004369739521938643
30,VMF,L0,0.0
31,VMF,MAE,0.015916138533117748
31,VMF,L0,0.0
32,VMF,MAE,0.138677385517267
32,VMF,L0,0.14285714285714285
33,VMF,MAE,0.011330802993018864
33,VMF,L0,0.0
34,VMF,MAE,0.12255319792776607
34,VMF,L0,0.14285714285714285
35,VMF,MAE,0.09788484936998564
35,VMF,L0,0.14285714285714285
36,VMF,MAE,0.007445641510111244
36,VMF,L0,0.0
37,VMF,MAE,0.01828820735039188
37,VMF,L0,0.0
38,VMF,MAE,0.009671670439318089
38,VMF,L0,0.0
39,VMF,MAE,0.015978986743565106
39,VMF,L0,0.0
40,VMF,MAE,0.117551864158731
40,VMF,L0,0.14285714285714285
41,VMF,MAE,0.017266277599013627
41,VMF,L0,0.0
42,VMF,MAE,0.011571260465470226
42,VMF,L0,0.0
43,VMF,MAE,0.1390618110762267
43,VMF,L0,0.14285714285714285
44,VMF,MAE,0.05133111093550007
44,VMF,L0,0.0
45,VMF,MAE,0.016869655785096187
45,VMF,L0,0.0
46,VMF,MAE,0.11678691077045228
46,VMF,L0,0.14285714285714285
47,VMF,MAE,0.03257570138817591
47,VMF,L0,0.0
48,VMF,MAE,0.12961566289228443
48,VMF,L0,0.14285714285714285
49,VMF,MAE,0.12908752942090926
49,VMF,L0,0.14285714285714285
50,VMF,MAE,0.03201446259971864
50,VMF,L0,0.0
51,VMF,MAE,0.00815524187482617
51,VMF,L0,0.0
52,VMF,MAE,0.13231442913336744
52,VMF,L0,0.14285714285714285
53,VMF,MAE,0.006375031646026724
53,VMF,L0,0.0
54,VMF,MAE,0.10429338428622785
54,VMF,L0,0.14285714285714285
55,VMF,MAE,0.008033316232601962
55,VMF,L0,0.0
56,VMF,MAE,0.01982422733465308
56,VMF,L0,0.0
57,VMF,MAE,0.014625357105451755
57,VMF,L0,0.0
58,VMF,MAE,0.030196382161143825
58,VMF,L0,0.0
59,VMF,MAE,0.015458965406659211
59,VMF,L0,0.0
60,VMF,MAE,0.01642860243250525
60,VMF,L0,0.0
61,VMF,MAE,0.07942185935090908
61,VMF,L0,0.0
62,VMF,MAE,0.013609987176947835
62,VMF,L0,0.0
63,VMF,MAE,0.1326439640028498
63,VMF,L0,0.14285714285714285
64,VMF,MAE,0.013676464154380594
64,VMF,L0,0.0
65,VMF,MAE,0.008335254345739316
65,VMF,L0,0.0
66,VMF,MAE,0.009746890047402701
66,VMF,L0,0.0
67,VMF,MAE,0.02810474195995382
67,VMF,L0,0.0
68,VMF,MAE,0.03364960960863422
68,VMF,L0,0.0
69,VMF,MAE,0.0799358296893869
69,VMF,L0,0.0
70,VMF,MAE,0.01373337561867485
70,VMF,L0,0.0
71,VMF,MAE,0.0028707906428157466
71,VMF,L0,0.0
72,VMF,MAE,0.008829861226411342
72,VMF,L0,0.0
73,VMF,MAE,0.013607982406141743
73,VMF,L0,0.0
74,VMF,MAE,0.005964487892814999
74,VMF,L0,0.0
75,VMF,MAE,0.029642906978139656
75,VMF,L0,0.0
76,VMF,MAE,0.048174050046740885
76,VMF,L0,0.0
77,VMF,MAE,0.008786999788027898
77,VMF,L0,0.0
78,VMF,MAE,0.024281889807001404
78,VMF,L0,0.0
79,VMF,MAE,0.006792006924584506
79,VMF,L0,0.0
80,VMF,MAE,0.14064216619923262
80,VMF,L0,0.14285714285714285
81,VMF,MAE,0.002994056520045807
81,VMF,L0,0.0
82,VMF,MAE,0.02367531641147393
82,VMF,L0,0.0
83,VMF,MAE,0.014926234340013134
83,VMF,L0,0.0
84,VMF,MAE,0.03868510816282962
84,VMF,L0,0.0
85,VMF,MAE,0.005832260025370541
85,VMF,L0,0.0
86,VMF,MAE,0.018809118988624838
86,VMF,L0,0.0
87,VMF,MAE,0.005633243382959826
87,VMF,L0,0.0
88,VMF,MAE,0.010945595341013125
88,VMF,L0,0.0
89,VMF,MAE,0.04374469163238103
89,VMF,L0,0.0
90,VMF,MAE,0.013374935660174213
90,VMF,L0,0.0
91,VMF,MAE,0.044513423684379744
91,VMF,L0,0.0
92,VMF,MAE,0.13083598836053814
92,VMF,L0,0.14285714285714285
93,VMF,MAE,0.00987392523640256
93,VMF,L0,0.0
94,VMF,MAE,0.008304326256431524
94,VMF,L0,0.0
95,VMF,MAE,0.044614549111964115
95,VMF,L0,0.0
96,VMF,MAE,0.005379546411359038
96,VMF,L0,0.0
97,VMF,MAE,0.12568408461321603
97,VMF,L0,0.14285714285714285
98,VMF,MAE,0.01905737497741479
98,VMF,L0,0.0
99,VMF,MAE,0.13527892023519897
99,VMF,L0,0.14285714285714285
