run,model,metric,value
0,HF,MAE,0.002110421453716524
0,HF,L0,0.0
1,HF,MAE,0.0016660265572890354
1,HF,L0,0.0
2,HF,MAE,0.0010236183449527647
2,HF,L0,0.0
3,HF,MAE,0.0005197039915085244
3,HF,L0,0.0
4,HF,MAE,0.002031464083091022
4,HF,L0,0.3333333333333333
5,HF,MAE,0.00026481173307008055
5,HF,L0,0.0
6,HF,MAE,0.004677099747304708
6,HF,L0,0.0
7,HF,MAE,0.002205345170775229
7,HF,L0,0.3333333333333333
8,HF,MAE,0.0014866667028759495
8,HF,L0,0.0
9,HF,MAE,0.0015981511378436453
9,HF,L0,0.0
10,HF,MAE,0.002420682437825685
10,HF,L0,0.3333333333333333
11,HF,MAE,0.0001896002141915376
11,HF,L0,0.0
12,HF,MAE,0.0006281837032282023
12,HF,L0,0.0
13,HF,MAE,0.0011855543031982219
13,HF,L0,0.0
14,HF,MAE,0.0003826919290059183
14,HF,L0,0.0
15,HF,MAE,0.0009285833162752388
15,HF,L0,0.0
16,HF,MAE,0.24875206613866768
16,HF,L0,0.0
17,HF,MAE,0.0010885221896174135
17,HF,L0,0.0
18,HF,MAE,0.012981673627310406
18,HF,L0,0.3333333333333333
19,HF,MAE,0.004808666789392764
19,HF,L0,0.3333333333333333
20,HF,MAE,0.0010145694580999676
20,HF,L0,0.0
21,HF,MAE,0.001418499938383222
21,HF,L0,0.0
22,HF,MAE,0.003384637367695163
22,HF,L0,0.3333333333333333
23,HF,MAE,0.0030737760293349514
23,HF,L0,0.0
24,HF,MAE,0.0006495368110322752
24,HF,L0,0.0
25,HF,MAE,0.0008548949894029712
25,HF,L0,0.0
26,HF,MAE,0.0039055322525101133
26,HF,L0,0.0
27,HF,MAE,2.5777419727276714
27,HF,L0,0.6666666666666666
28,HF,MAE,0.0004462802963438872
28,HF,L0,0.0
29,HF,MAE,0.0015613291416500946
29,HF,L0,0.0
30,HF,MAE,0.0008055237447933267
30,HF,L0,0.0
31,HF,MAE,0.005265477187010842
31,HF,L0,0.0
32,HF,MAE,0.0005907359719149186
32,HF,L0,0.0
33,HF,MAE,2.456506720118378
33,HF,L0,0.3333333333333333
34,HF,MAE,0.0006343472138968798
34,HF,L0,0.0
35,HF,MAE,0.0007381793733767239
35,HF,L0,0.0
36,HF,MAE,0.003112565381839544
36,HF,L0,0.0
37,HF,MAE,0.0020082607769840305
37,HF,L0,0.0
38,HF,MAE,0.002726629007239495
38,HF,L0,0.0
39,HF,MAE,2.8275
39,HF,L0,1.0
40,HF,MAE,0.0018780950649015249
40,HF,L0,0.0
41,HF,MAE,0.00013999489548560673
41,HF,L0,0.0
42,HF,MAE,0.000727784864187897
42,HF,L0,0.0
43,HF,MAE,0.001457836974189255
43,HF,L0,0.3333333333333333
44,HF,MAE,0.0009161138699822213
44,HF,L0,0.0
45,HF,MAE,2.577783326327767
45,HF,L0,0.6666666666666666
46,HF,MAE,0.0004118420614585838
46,HF,L0,0.0
47,HF,MAE,0.0008378263436814026
47,HF,L0,0.0
48,HF,MAE,0.005042820948326698
48,HF,L0,0.0
49,HF,MAE,0.0010718612697499796
49,HF,L0,0.0
50,HF,MAE,0.0005153564236574093
50,HF,L0,0.0
51,HF,MAE,0.0012876342882944258
51,HF,L0,0.0
52,HF,MAE,2.577875846023953
52,HF,L0,0.6666666666666666
53,HF,MAE,0.0025128353797514574
53,HF,L0,0.0
54,HF,MAE,0.002182084425605948
54,HF,L0,0.3333333333333333
55,HF,MAE,0.0014596717730882406
55,HF,L0,0.3333333333333333
56,HF,MAE,0.0014887442294395092
