run,model,metric,value
0,LF,MAE,0.07493524777153059
0,LF,L0,0.3333333333333333
1,LF,MAE,0.06597078548371377
1,LF,L0,0.0
2,LF,MAE,0.027765334324910157
2,LF,L0,0.0
3,LF,MAE,0.04955505196645579
3,LF,L0,0.0
4,LF,MAE,0.12079125398112801
4,LF,L0,0.3333333333333333
5,LF,MAE,0.022438677036030696
5,LF,L0,0.0
6,LF,MAE,0.03340354447258506
6,LF,L0,0.0
7,LF,MAE,0.03657689970578171
7,LF,L0,0.0
8,LF,MAE,0.07759481861021762
8,LF,L0,0.3333333333333333
9,LF,MAE,0.01442872161139308
9,LF,L0,0.0
10,LF,MAE,0.05242822629982288
10,LF,L0,0.3333333333333333
11,LF,MAE,0.17339030691235544
11,LF,L0,0.3333333333333333
12,LF,MAE,0.01521413022760279
12,LF,L0,0.0
13,LF,MAE,0.02412282929622203
13,LF,L0,0.0
14,LF,MAE,0.005336620742618675
14,LF,L0,0.0
15,LF,MAE,0.006234449687877536
15,LF,L0,0.0
16,LF,MAE,0.01943566960164872
16,LF,L0,0.0
17,LF,MAE,0.02368649439547421
17,LF,L0,0.0
18,LF,MAE,0.03747106693532351
18,LF,L0,0.0
19,LF,MAE,0.019447697122414787
19,LF,L0,0.0
20,LF,MAE,0.017904592718631207
20,LF,L0,0.0
21,LF,MAE,0.3165989512018046
21,LF,L0,0.3333333333333333
22,LF,MAE,0.05803441374564286
22,LF,L0,0.0
23,LF,MAE,0.06887107343785978
23,LF,L0,0.3333333333333333
24,LF,MAE,0.014978888378096827
24,LF,L0,0.0
25,LF,MAE,0.039633808641321155
25,LF,L0,0.0
26,LF,MAE,0.09434168918748352
26,LF,L0,0.3333333333333333
27,LF,MAE,0.0645475190755489
27,LF,L0,0.0
28,LF,MAE,0.04935132397894277
28,LF,L0,0.3333333333333333
29,LF,MAE,0.035028450534482
29,LF,L0,0.0
30,LF,MAE,0.09578266079690868
30,LF,L0,0.3333333333333333
31,LF,MAE,0.024210737540851318
31,LF,L0,0.0
32,LF,MAE,0.023043442439260153
32,LF,L0,0.0
33,LF,MAE,0.021193214032332208
33,LF,L0,0.0
34,LF,MAE,0.0581663318421651
34,LF,L0,0.0
35,LF,MAE,0.034638981670194094
35,LF,L0,0.0
36,LF,MAE,0.0069501299061551225
36,LF,L0,0.0
37,LF,MAE,0.03056887684370882
37,LF,L0,0.0
38,LF,MAE,0.06209612672161591
38,LF,L0,0.0
39,LF,MAE,0.0372585883589821
39,LF,L0,0.0
40,LF,MAE,0.04264308954173429
40,LF,L0,0.0
41,LF,MAE,0.07248717481035404
41,LF,L0,0.0
42,LF,MAE,0.0570754667230135
42,LF,L0,0.0
43,LF,MAE,0.05583175323448718
43,LF,L0,0.3333333333333333
44,LF,MAE,0.02399350210637738
44,LF,L0,0.0
45,LF,MAE,0.01709240592720615
45,LF,L0,0.0
46,LF,MAE,0.02051490870337816
46,LF,L0,0.0
47,LF,MAE,0.03454790774029043
47,LF,L0,0.0
48,LF,MAE,0.06672379387719772
48,LF,L0,0.3333333333333333
49,LF,MAE,0.013983848359129109
49,LF,L0,0.0
50,LF,MAE,0.021273839808486406
50,LF,L0,0.0
51,LF,MAE,0.022484841800548133
51,LF,L0,0.0
52,LF,MAE,0.053259866325770955
52,LF,L0,0.0
53,LF,MAE,0.3719688602705309
53,LF,L0,0.3333333333333333
54,LF,MAE,0.029752826809168853
54,LF,L0,0.0
55,LF,MAE,0.05809908679203128
55,LF,L0,0.3333333333333333
56,LF,MAE,0.020498707859600993
56,LF,L0,0.3333333333333333
57,LF,MAE,0.018907644173743687
57,LF,L0,0.0
58,LF,MAE,0.0673753282410269
58,LF,L0,0.3333333333333333
59,LF,MAE,0.019499368635165215
59,LF,L0,0.0
60,LF,MAE,0.03200035590765957
60,LF,L0,0.0
61,LF,MAE,0.051033035182711184
61,LF,L0,0.0
62,LF,MAE,0.05802203470051964
62,LF,L0,0.0
63,LF,MAE,0.030107395204169746
63,LF,L0,0.0
64,LF,MAE,0.05510730616944698
64,LF,L0,0.0
65,LF,MAE,0.016012334541146422
65,LF,L0,0.0
66,LF,MAE,0.06935113958968084
66,LF,L0,0.0
67,LF,MAE,0.014783499011363277
67,LF,L0,0.0
68,LF,MAE,0.013537050052470204
68,LF,L0,0.0
69,LF,MAE,0.014631171876706067
69,LF,L0,0.0
70,LF,MAE,0.3051902702942892
70,LF,L0,0.3333333333333333
71,LF,MAE,0.07166842192447218
71,LF,L0,0.0
72,LF,MAE,0.028542365499868244
72,LF,L0,0.0
73,LF,MAE,0.08905999151801818
73,LF,L0,0.3333333333333333
74,LF,MAE,0.023729406732800162
74,LF,L0,0.0
75,LF,MAE,0.02331857105299262
75,LF,L0,0.0
76,LF,MAE,0.05494110851156313
76,LF,L0,0.0
77,LF,MAE,0.03785747374128928
77,LF,L0,0.0
78,LF,MAE,0.042117036122285914
78,LF,L0,0.3333333333333333
79,LF,MAE,0.04454509032151077
79,LF,L0,0.0
80,LF,MAE,0.021896145161751313
80,LF,L0,0.0
81,LF,MAE,0.014499901405375049
81,LF,L0,0.0
82,LF,MAE,0.021950150497629023
82,LF,L0,0.0
83,LF,MAE,0.08105751094656594
83,LF,L0,0.0
84,LF,MAE,0.028664699505243224
84,LF,L0,0.0
85,LF,MAE,0.0453017504553057
85,LF,L0,0.0
86,LF,MAE,0.04656162077272233
86,LF,L0,0.0
87,LF,MAE,0.028548391341594856
87,LF,L0,0.0
88,LF,MAE,0.08493940107642825
88,LF,L0,0.3333333333333333
89,LF,MAE,0.03885761361016371
89,LF,L0,0.0
90,LF,MAE,0.034099024991420895
90,LF,L0,0.0
91,LF,MAE,0.08508872074821644
91,LF,L0,0.3333333333333333
92,LF,MAE,0.04532139845731241
92,LF,L0,0.0
93,LF,MAE,0.037646807773738244
93,LF,L0,0.0
94,LF,MAE,0.024473045553673647
94,LF,L0,0.0
95,LF,MAE,0.0779369352901029
95,LF,L0,0.3333333333333333
96,LF,MAE,0.010087629665508649
96,LF,L0,0.0
97,LF,MAE,0.03589600281598054
97,LF,L0,0.0
98,LF,MAE,0.04235238587202156
98,LF,L0,0.0
99,LF,MAE,0.01889994051359553
99,LF,L0,0.0
