run,model,metric,value
0,MF,MAE,0.06600294060199781
0,MF,L0,0.3333333333333333
1,MF,MAE,0.05528595183542351
1,MF,L0,0.0
2,MF,MAE,0.025589125602267115
2,MF,L0,0.0
3,MF,MAE,0.04959550967637777
3,MF,L0,0.0
4,MF,MAE,0.09075682484529349
4,MF,L0,0.3333333333333333
5,MF,MAE,0.02228604619983164
5,MF,L0,0.0
6,MF,MAE,0.031191870717427572
6,MF,L0,0.0
7,MF,MAE,0.03301142631171611
7,MF,L0,0.0
8,MF,MAE,0.07453095241817048
8,MF,L0,0.3333333333333333
9,MF,MAE,0.009792694817577358
9,MF,L0,0.0
10,MF,MAE,0.016452474896602398
10,MF,L0,0.0
11,MF,MAE,0.14405754046212194
11,MF,L0,0.3333333333333333
12,MF,MAE,0.01598379212613013
12,MF,L0,0.0
13,MF,MAE,0.01666889268745131
13,MF,L0,0.0
14,MF,MAE,0.0038867602986847466
14,MF,L0,0.0
15,MF,MAE,0.004855999704502567
15,MF,L0,0.0
16,MF,MAE,0.01824973412485567
16,MF,L0,0.0
17,MF,MAE,0.01915173717553864
17,MF,L0,0.0
18,MF,MAE,0.02348002421229428
18,MF,L0,0.0
19,MF,MAE,0.019596246962724162
19,MF,L0,0.0
20,MF,MAE,0.020665261222953826
20,MF,L0,0.0
21,MF,MAE,0.006093424660213426
21,MF,L0,0.0
22,MF,MAE,0.05500661752110131
22,MF,L0,0.0
23,MF,MAE,0.04516455940565238
23,MF,L0,0.3333333333333333
24,MF,MAE,0.01473721397502703
24,MF,L0,0.0
25,MF,MAE,0.028182702563052997
25,MF,L0,0.0
26,MF,MAE,0.09685127455597202
26,MF,L0,0.3333333333333333
27,MF,MAE,0.0563480723659156
27,MF,L0,0.0
28,MF,MAE,0.007305790203008422
28,MF,L0,0.0
29,MF,MAE,0.03127991355425627
29,MF,L0,0.0
30,MF,MAE,0.07977459143481802
30,MF,L0,0.3333333333333333
31,MF,MAE,0.03276390654550937
31,MF,L0,0.0
32,MF,MAE,0.017096832646520232
32,MF,L0,0.0
33,MF,MAE,0.021804606548113503
33,MF,L0,0.0
34,MF,MAE,0.05344935523759978
34,MF,L0,0.0
35,MF,MAE,0.02301954850428964
35,MF,L0,0.0
36,MF,MAE,0.005351786606915099
36,MF,L0,0.0
37,MF,MAE,0.02532378411677272
37,MF,L0,0.0
38,MF,MAE,0.06922871455360093
38,MF,L0,0.0
39,MF,MAE,0.0366427794173535
39,MF,L0,0.0
40,MF,MAE,0.03329147836149027
40,MF,L0,0.0
41,MF,MAE,0.0619018144309853
41,MF,L0,0.0
42,MF,MAE,0.04467978785358104
42,MF,L0,0.0
43,MF,MAE,0.030342879522858135
43,MF,L0,0.0
44,MF,MAE,0.023311333381358545
44,MF,L0,0.0
45,MF,MAE,0.010426256026938863
45,MF,L0,0.0
46,MF,MAE,0.026955015362890578
46,MF,L0,0.0
47,MF,MAE,0.02151086138208186
47,MF,L0,0.0
48,MF,MAE,0.05105898122844611
48,MF,L0,0.0
49,MF,MAE,0.021328159399463503
49,MF,L0,0.0
50,MF,MAE,0.017214153029736737
50,MF,L0,0.0
51,MF,MAE,0.017739482915579585
51,MF,L0,0.0
52,MF,MAE,0.047417439163639385
52,MF,L0,0.0
53,MF,MAE,0.33978996726899396
53,MF,L0,0.3333333333333333
54,MF,MAE,0.02297783841808193
54,MF,L0,0.0
55,MF,MAE,0.04905229649804968
55,MF,L0,0.3333333333333333
56,MF,MAE,0.005545679652452645
56,MF,L0,0.0
57,MF,MAE,0.016954367457691688
57,MF,L0,0.0
58,MF,MAE,0.057484905833911
58,MF,L0,0.3333333333333333
59,MF,MAE,0.015716640608059884
59,MF,L0,0.0
60,MF,MAE,0.018043126947678692
60,MF,L0,0.0
61,MF,MAE,0.05673014294220252
61,MF,L0,0.0
62,MF,MAE,0.060027402526073276
62,MF,L0,0.0
63,MF,MAE,0.021905301389133408
63,MF,L0,0.0
64,MF,MAE,0.062120469555297986
64,MF,L0,0.0
65,MF,MAE,0.016175295886671257
65,MF,L0,0.0
66,MF,MAE,0.056246577244653956
66,MF,L0,0.0
67,MF,MAE,0.01502115632309231
67,MF,L0,0.0
68,MF,MAE,0.00522286719131386
68,MF,L0,0.0
69,MF,MAE,0.009397692153227041
69,MF,L0,0.0
70,MF,MAE,0.024112120468461146
70,MF,L0,0.0
71,MF,MAE,0.047039451252437525
71,MF,L0,0.0
72,MF,MAE,0.02780829759193576
72,MF,L0,0.0
73,MF,MAE,0.08692293386654938
73,MF,L0,0.3333333333333333
74,MF,MAE,0.044254280648721445
74,MF,L0,0.0
75,MF,MAE,0.025086087456120718
75,MF,L0,0.0
76,MF,MAE,0.044661786968128864
76,MF,L0,0.0
77,MF,MAE,0.03540624932138267
77,MF,L0,0.0
