run,model,metric,value
0,MF_w,MAE,0.003200342884550428
0,MF_w,L0,0.0
1,MF_w,MAE,0.007216291573259051
1,MF_w,L0,0.0
2,MF_w,MAE,0.008984679978258955
2,MF_w,L0,0.0
3,MF_w,MAE,0.04173348752810707
3,MF_w,L0,0.3333333333333333
4,MF_w,MAE,0.0017975161471927015
4,MF_w,L0,0.0
5,MF_w,MAE,0.030491165178765822
5,MF_w,L0,0.0
6,MF_w,MAE,0.006979310259640853
6,MF_w,L0,0.0
7,MF_w,MAE,0.005044431972723196
7,MF_w,L0,0.0
8,MF_w,MAE,0.0032326002175114554
8,MF_w,L0,0.0
9,MF_w,MAE,0.003270568407799046
9,MF_w,L0,0.0
10,MF_w,MAE,0.008186038679059204
10,MF_w,L0,0.0
11,MF_w,MAE,0.0028751238007997393
11,MF_w,L0,0.0
12,MF_w,MAE,0.00953326945034541
12,MF_w,L0,0.0
13,MF_w,MAE,0.011650921290991045
13,MF_w,L0,0.0
14,MF_w,MAE,0.002454353395653558
14,MF_w,L0,0.0
15,MF_w,MAE,0.010852530909978689
15,MF_w,L0,0.0
16,MF_w,MAE,0.006064356814150754
16,MF_w,L0,0.0
17,MF_w,MAE,0.0032038962719028174
17,MF_w,L0,0.0
18,MF_w,MAE,0.0036681359979486156
18,MF_w,L0,0.0
19,MF_w,MAE,0.0022358929551838658
19,MF_w,L0,0.0
20,MF_w,MAE,0.009257700750850514
20,MF_w,L0,0.0
21,MF_w,MAE,0.005521783568604249
21,MF_w,L0,0.0
22,MF_w,MAE,0.0038997201402630605
22,MF_w,L0,0.0
23,MF_w,MAE,0.0026676959256544674
23,MF_w,L0,0.0
24,MF_w,MAE,0.012016491734918117
24,MF_w,L0,0.0
25,MF_w,MAE,0.003421574562656071
25,MF_w,L0,0.0
26,MF_w,MAE,0.011392859787025117
26,MF_w,L0,0.0
27,MF_w,MAE,0.0030974765155547396
27,MF_w,L0,0.0
28,MF_w,MAE,0.005021298464015278
28,MF_w,L0,0.0
29,MF_w,MAE,0.008337108742871524
29,MF_w,L0,0.0
30,MF_w,MAE,0.006131818255092569
30,MF_w,L0,0.0
31,MF_w,MAE,0.014563592690142485
31,MF_w,L0,0.0
32,MF_w,MAE,0.007680596707450846
32,MF_w,L0,0.0
33,MF_w,MAE,0.004817448830093982
33,MF_w,L0,0.0
34,MF_w,MAE,0.0022224818994968226
34,MF_w,L0,0.0
35,MF_w,MAE,0.006628746771114746
35,MF_w,L0,0.0
36,MF_w,MAE,0.003607150208180643
36,MF_w,L0,0.0
37,MF_w,MAE,0.004652336400570278
37,MF_w,L0,0.0
38,MF_w,MAE,0.008297946296870307
38,MF_w,L0,0.0
39,MF_w,MAE,0.007077894042277086
39,MF_w,L0,0.0
40,MF_w,MAE,0.04606478585739271
40,MF_w,L0,0.0
41,MF_w,MAE,0.0030180835913660164
41,MF_w,L0,0.0
42,MF_w,MAE,0.0026438301850291723
42,MF_w,L0,0.0
43,MF_w,MAE,0.003591556756584263
43,MF_w,L0,0.0
44,MF_w,MAE,0.009117865909572476
44,MF_w,L0,0.0
45,MF_w,MAE,0.012393696357731826
45,MF_w,L0,0.0
46,MF_w,MAE,0.0026904550446519293
46,MF_w,L0,0.0
47,MF_w,MAE,0.009417425011258612
47,MF_w,L0,0.0
48,MF_w,MAE,0.002804590672486562
48,MF_w,L0,0.0
49,MF_w,MAE,0.018468194705898888
49,MF_w,L0,0.0
50,MF_w,MAE,0.0045139519985076815
50,MF_w,L0,0.0
51,MF_w,MAE,0.002985568409159395
51,MF_w,L0,0.0
52,MF_w,MAE,0.0020589834752804403
52,MF_w,L0,0.0
53,MF_w,MAE,0.009719778684568428
53,MF_w,L0,0.0
54,MF_w,MAE,0.007498047715146713
54,MF_w,L0,0.0
55,MF_w,MAE,0.0015172927863464913
55,MF_w,L0,0.0
56,MF_w,MAE,0.01994755250152161
56,MF_w,L0,0.0
57,MF_w,MAE,0.003933657662898021
57,MF_w,L0,0.0
58,MF_w,MAE,0.003491903470969393
58,MF_w,L0,0.0
59,MF_w,MAE,0.0019057281222946976
59,MF_w,L0,0.0
60,MF_w,MAE,0.004658211577714788
60,MF_w,L0,0.0
61,MF_w,MAE,0.007690861040003633
61,MF_w,L0,0.0
