run,model,metric,value
0,PMF,MAE,0.054452597125018654
0,PMF,L0,0.0
1,PMF,MAE,0.021176380006960954
1,PMF,L0,0.0
2,PMF,MAE,0.03193642243200187
2,PMF,L0,0.0
3,PMF,MAE,0.030042316658079465
3,PMF,L0,0.0
4,PMF,MAE,0.013735177437268847
4,PMF,L0,0.0
5,PMF,MAE,0.08066750948548582
5,PMF,L0,0.0
6,PMF,MAE,0.043762165096357
6,PMF,L0,0.0
7,PMF,MAE,0.02495917762970004
7,PMF,L0,0.0
8,PMF,MAE,0.032289685309123975
8,PMF,L0,0.0
9,PMF,MAE,0.02920633133428005
9,PMF,L0,0.0
10,PMF,MAE,0.017643571302925903
10,PMF,L0,0.0
11,PMF,MAE,0.0534709309980239
11,PMF,L0,0.0
12,PMF,MAE,0.05015786095235508
12,PMF,L0,0.0
13,PMF,MAE,0.02170124611019647
13,PMF,L0,0.0
14,PMF,MAE,0.02415534525605445
14,PMF,L0,0.0
15,PMF,MAE,0.026004221560566074
15,PMF,L0,0.0
16,PMF,MAE,0.030122835883993282
16,PMF,L0,0.0
17,PMF,MAE,0.01596572953013181
17,PMF,L0,0.0
18,PMF,MAE,0.029631555219981176
18,PMF,L0,0.0
19,PMF,MAE,0.048378069355247855
19,PMF,L0,0.0
20,PMF,MAE,0.028638722066209654
20,PMF,L0,0.0
21,PMF,MAE,0.05782234689608454
21,PMF,L0,0.0
22,PMF,MAE,0.03768606933484635
22,PMF,L0,0.0
23,PMF,MAE,0.032293144934318174
23,PMF,L0,0.0
24,PMF,MAE,0.036143421574651224
24,PMF,L0,0.0
25,PMF,MAE,0.03407829273286567
25,PMF,L0,0.0
26,PMF,MAE,0.04510172209848787
26,PMF,L0,0.0
27,PMF,MAE,0.013974706554119504
27,PMF,L0,0.0
28,PMF,MAE,0.016569409764722764
28,PMF,L0,0.0
29,PMF,MAE,0.022818681600607627
29,PMF,L0,0.0
30,PMF,MAE,0.01626994542869384
30,PMF,L0,0.0
31,PMF,MAE,0.031153061945859276
31,PMF,L0,0.0
32,PMF,MAE,0.005636861530303655
32,PMF,L0,0.0
33,PMF,MAE,0.019840986354940277
33,PMF,L0,0.0
34,PMF,MAE,0.039076013194335096
34,PMF,L0,0.0
35,PMF,MAE,0.058569526811171085
35,PMF,L0,0.0
36,PMF,MAE,0.004821466720003359
36,PMF,L0,0.0
37,PMF,MAE,0.03242547572019128
37,PMF,L0,0.0
38,PMF,MAE,0.05105327216927337
38,PMF,L0,0.0
39,PMF,MAE,0.033096200224991545
39,PMF,L0,0.0
40,PMF,MAE,0.07159649764933784
40,PMF,L0,0.0
41,PMF,MAE,0.02196800634548912
41,PMF,L0,0.0
42,PMF,MAE,0.03657568328902755
42,PMF,L0,0.0
43,PMF,MAE,0.03232315200219488
43,PMF,L0,0.0
44,PMF,MAE,0.008965650791606383
44,PMF,L0,0.0
45,PMF,MAE,0.023362303564608777
45,PMF,L0,0.0
46,PMF,MAE,0.02826708286735613
46,PMF,L0,0.0
47,PMF,MAE,0.018223971251888543
47,PMF,L0,0.0
48,PMF,MAE,0.025124120714947573
48,PMF,L0,0.0
49,PMF,MAE,0.1765995318211414
49,PMF,L0,0.3333333333333333
50,PMF,MAE,0.016457345219262412
50,PMF,L0,0.0
51,PMF,MAE,0.05747470243310879
51,PMF,L0,0.0
52,PMF,MAE,0.016158868524912495
52,PMF,L0,0.0
53,PMF,MAE,0.011478238151780035
53,PMF,L0,0.0
54,PMF,MAE,0.007460711229488437
54,PMF,L0,0.0
55,PMF,MAE,0.020593851486057774
55,PMF,L0,0.0
56,PMF,MAE,0.019421712217515097
56,PMF,L0,0.0
57,PMF,MAE,0.11502282704207142
57,PMF,L0,0.3333333333333333
58,PMF,MAE,0.07338082475059585
58,PMF,L0,0.0
59,PMF,MAE,0.014234585930312127
59,PMF,L0,0.0
60,PMF,MAE,0.011402785076539801
60,PMF,L0,0.0
61,PMF,MAE,0.09198121648135751
61,PMF,L0,0.3333333333333333
62,PMF,MAE,0.014610531180519082
62,PMF,L0,0.0
63,PMF,MAE,0.018078930012777578
63,PMF,L0,0.0
64,PMF,MAE,0.12318428795605173
64,PMF,L0,0.3333333333333333
65,PMF,MAE,0.02261212209995414
65,PMF,L0,0.0
66,PMF,MAE,0.10721461579859182
66,PMF,L0,0.0
67,PMF,MAE,0.0348137652916051
67,PMF,L0,0.0
68,PMF,MAE,0.06795347306991856
68,PMF,L0,0.0
69,PMF,MAE,0.049425288917207356
69,PMF,L0,0.3333333333333333
70,PMF,MAE,0.06949289449924287
70,PMF,L0,0.0
71,PMF,MAE,0.048928854274873895
71,PMF,L0,0.0
72,PMF,MAE,0.019717508339633705
72,PMF,L0,0.0
73,PMF,MAE,0.05297235372893852
73,PMF,L0,0.0
74,PMF,MAE,0.04626408686786271
74,PMF,L0,0.0
75,PMF,MAE,0.024148956646723854
75,PMF,L0,0.0
76,PMF,MAE,0.10506802508395799
76,PMF,L0,0.0
77,PMF,MAE,0.06734935875450783
77,PMF,L0,0.0
78,PMF,MAE,0.015192124429468046
78,PMF,L0,0.0
79,PMF,MAE,0.021422837094126457
79,PMF,L0,0.0
80,PMF,MAE,0.020122122271561987
80,PMF,L0,0.0
81,PMF,MAE,0.10661847080288189
81,PMF,L0,0.3333333333333333
82,PMF,MAE,0.023639270622793807
82,PMF,L0,0.0
83,PMF,MAE,0.032527770033099035
83,PMF,L0,0.0
84,PMF,MAE,0.012197104698427164
84,PMF,L0,0.0
85,PMF,MAE,0.01843782333674926
85,PMF,L0,0.0
86,PMF,MAE,0.09547362079027408
86,PMF,L0,0.0
87,PMF,MAE,0.033111952224650576
87,PMF,L0,0.0
88,PMF,MAE,0.07019424371017338
88,PMF,L0,0.0
89,PMF,MAE,0.03192536158706452
89,PMF,L0,0.0
90,PMF,MAE,0.037498530395455254
90,PMF,L0,0.0
91,PMF,MAE,0.12511457217182234
91,PMF,L0,0.3333333333333333
92,PMF,MAE,0.028328062732430992
92,PMF,L0,0.0
93,PMF,MAE,0.050835811317398116
93,PMF,L0,0.0
94,PMF,MAE,0.02718336081629394
94,PMF,L0,0.0
95,PMF,MAE,0.07653986906810373
95,PMF,L0,0.0
96,PMF,MAE,0.015957798529393857
96,PMF,L0,0.0
97,PMF,MAE,0.02419726286969434
97,PMF,L0,0.0
98,PMF,MAE,0.011473964385546181
98,PMF,L0,0.0
99,PMF,MAE,0.007842829957487057
99,PMF,L0,0.0
