run,model,metric,value
0,VHF,MAE,0.0030685156460284746
0,VHF,L0,0.0
1,VHF,MAE,0.0069266537319110505
1,VHF,L0,0.0
2,VHF,MAE,0.010878604389562951
2,VHF,L0,0.0
3,VHF,MAE,0.017227977686574414
3,VHF,L0,0.0
4,VHF,MAE,0.0032323894288096705
4,VHF,L0,0.0
5,VHF,MAE,0.018454962106590755
5,VHF,L0,0.0
6,VHF,MAE,0.004216463845940585
6,VHF,L0,0.0
7,VHF,MAE,0.005206772476810506
7,VHF,L0,0.0
8,VHF,MAE,0.004012629135897505
8,VHF,L0,0.0
9,VHF,MAE,0.0026227805305149843
9,VHF,L0,0.0
10,VHF,MAE,0.006443577266762784
10,VHF,L0,0.0
11,VHF,MAE,0.0022938789191541686
11,VHF,L0,0.0
12,VHF,MAE,0.01158524267367636
12,VHF,L0,0.0
13,VHF,MAE,0.010872440569977382
13,VHF,L0,0.0
14,VHF,MAE,0.0032975914107277043
14,VHF,L0,0.0
15,VHF,MAE,0.010707455205150151
15,VHF,L0,0.0
16,VHF,MAE,0.003900785149063099
16,VHF,L0,0.0
17,VHF,MAE,0.005150208872378437
17,VHF,L0,0.0
18,VHF,MAE,0.0037205595822444593
18,VHF,L0,0.0
19,VHF,MAE,0.004373039111335603
19,VHF,L0,0.0
20,VHF,MAE,0.009393096967654863
20,VHF,L0,0.0
21,VHF,MAE,0.005105549821319097
21,VHF,L0,0.0
22,VHF,MAE,0.0031495318790827342
22,VHF,L0,0.0
23,VHF,MAE,0.0015023240599482124
23,VHF,L0,0.0
24,VHF,MAE,0.012294266000082293
24,VHF,L0,0.0
25,VHF,MAE,0.0032881662911498633
25,VHF,L0,0.0
26,VHF,MAE,0.02042004440907294
26,VHF,L0,0.0
27,VHF,MAE,0.0025420296304021206
27,VHF,L0,0.0
28,VHF,MAE,0.005194299027610039
28,VHF,L0,0.0
29,VHF,MAE,0.01325805134871108
29,VHF,L0,0.0
30,VHF,MAE,0.006942982703020045
30,VHF,L0,0.0
31,VHF,MAE,0.010689582238221418
31,VHF,L0,0.0
32,VHF,MAE,0.007758738555780034
32,VHF,L0,0.0
33,VHF,MAE,0.0032679280060422394
33,VHF,L0,0.0
34,VHF,MAE,0.0024385133947842086
34,VHF,L0,0.0
35,VHF,MAE,0.0037845791493064107
35,VHF,L0,0.0
36,VHF,MAE,0.0035627704439243346
36,VHF,L0,0.0
37,VHF,MAE,0.004526451312216934
37,VHF,L0,0.0
38,VHF,MAE,0.005644432835169189
38,VHF,L0,0.0
39,VHF,MAE,0.0060142995804238625
39,VHF,L0,0.0
40,VHF,MAE,0.052448018992816536
40,VHF,L0,0.3333333333333333
41,VHF,MAE,0.0028675998605065534
41,VHF,L0,0.0
42,VHF,MAE,0.0033391365569318265
42,VHF,L0,0.0
43,VHF,MAE,0.004194001796362895
43,VHF,L0,0.0
44,VHF,MAE,0.008928363441097098
44,VHF,L0,0.0
45,VHF,MAE,0.012241468544347989
45,VHF,L0,0.0
46,VHF,MAE,0.0035419946616236098
46,VHF,L0,0.0
47,VHF,MAE,0.010553317447663968
47,VHF,L0,0.0
48,VHF,MAE,0.0024601808105413625
48,VHF,L0,0.0
49,VHF,MAE,0.060911346147777906
49,VHF,L0,0.0
50,VHF,MAE,0.004247347742473526
50,VHF,L0,0.0
51,VHF,MAE,0.0045066187585753315
51,VHF,L0,0.0
52,VHF,MAE,0.0020821256127795396
52,VHF,L0,0.0
53,VHF,MAE,0.008752796374944666
53,VHF,L0,0.0
54,VHF,MAE,0.009113292572673654
54,VHF,L0,0.0
55,VHF,MAE,0.0019615452515373
55,VHF,L0,0.0
56,VHF,MAE,0.022938760669919595
56,VHF,L0,0.0
57,VHF,MAE,0.002618934252905547
57,VHF,L0,0.0
58,VHF,MAE,0.003070405716885438
58,VHF,L0,0.0
59,VHF,MAE,0.0022021610453191454
59,VHF,L0,0.0
60,VHF,MAE,0.005105612388154629
60,VHF,L0,0.0
61,VHF,MAE,0.006963485640447797
61,VHF,L0,0.0
62,VHF,MAE,0.004779104597358197
62,VHF,L0,0.0
63,VHF,MAE,0.05048052370816322
63,VHF,L0,0.0
64,VHF,MAE,0.021769621728113392
64,VHF,L0,0.0
65,VHF,MAE,0.009607949675100619
65,VHF,L0,0.0
66,VHF,MAE,0.004130782694699395
66,VHF,L0,0.0
67,VHF,MAE,0.002981461416797976
67,VHF,L0,0.0
68,VHF,MAE,0.019211044731566235
68,VHF,L0,0.0
69,VHF,MAE,0.005128628696870641
69,VHF,L0,0.0
70,VHF,MAE,0.0024622675979415476
70,VHF,L0,0.0
71,VHF,MAE,0.004764185848948194
71,VHF,L0,0.0
72,VHF,MAE,0.007645114226352834
72,VHF,L0,0.0
