run,model,metric,value
0,VLF,MAE,0.07711348567552234
0,VLF,L0,0.0
1,VLF,MAE,0.01687828683477205
1,VLF,L0,0.0
2,VLF,MAE,0.036634652259902784
2,VLF,L0,0.0
3,VLF,MAE,0.030627970205906352
3,VLF,L0,0.0
4,VLF,MAE,0.02024237273337745
4,VLF,L0,0.0
5,VLF,MAE,0.07907909845421932
5,VLF,L0,0.0
6,VLF,MAE,0.050673032861779516
6,VLF,L0,0.0
7,VLF,MAE,0.02302357623637663
7,VLF,L0,0.0
8,VLF,MAE,0.035997930305348924
8,VLF,L0,0.0
9,VLF,MAE,0.03528709497960783
9,VLF,L0,0.0
10,VLF,MAE,0.014856954346417706
10,VLF,L0,0.0
11,VLF,MAE,0.07972267029997285
11,VLF,L0,0.0
12,VLF,MAE,0.05156588846985108
12,VLF,L0,0.0
13,VLF,MAE,0.027054117909119935
13,VLF,L0,0.0
14,VLF,MAE,0.021133183401466415
14,VLF,L0,0.0
15,VLF,MAE,0.0271265337386023
15,VLF,L0,0.0
16,VLF,MAE,0.032524770973477724
16,VLF,L0,0.0
17,VLF,MAE,0.018774453098665045
17,VLF,L0,0.0
18,VLF,MAE,0.030776038777639153
18,VLF,L0,0.0
19,VLF,MAE,0.053955267817137165
19,VLF,L0,0.0
20,VLF,MAE,0.03194418570538218
20,VLF,L0,0.0
21,VLF,MAE,0.06987848340889401
21,VLF,L0,0.0
22,VLF,MAE,0.053876033260731204
22,VLF,L0,0.0
23,VLF,MAE,0.09846511499895304
23,VLF,L0,0.3333333333333333
24,VLF,MAE,0.023765523299959485
24,VLF,L0,0.0
25,VLF,MAE,0.041333201748417675
25,VLF,L0,0.0
26,VLF,MAE,0.04702210205804075
26,VLF,L0,0.0
27,VLF,MAE,0.014938424809717576
27,VLF,L0,0.0
28,VLF,MAE,0.02221511044045575
28,VLF,L0,0.0
29,VLF,MAE,0.021551652477955957
29,VLF,L0,0.0
30,VLF,MAE,0.015951510235444805
30,VLF,L0,0.0
31,VLF,MAE,0.0312664495473418
31,VLF,L0,0.0
32,VLF,MAE,0.004249140941131713
32,VLF,L0,0.0
33,VLF,MAE,0.021538396813128136
33,VLF,L0,0.0
34,VLF,MAE,0.051846571914169665
34,VLF,L0,0.0
35,VLF,MAE,0.06312684338787355
35,VLF,L0,0.0
36,VLF,MAE,0.014854920216684775
36,VLF,L0,0.0
37,VLF,MAE,0.03428587903738911
37,VLF,L0,0.0
38,VLF,MAE,0.040199012095740894
38,VLF,L0,0.0
39,VLF,MAE,0.02750658917866186
39,VLF,L0,0.0
40,VLF,MAE,0.06867529620707274
40,VLF,L0,0.0
41,VLF,MAE,0.030167322355684423
41,VLF,L0,0.0
42,VLF,MAE,0.03834160406793735
42,VLF,L0,0.0
43,VLF,MAE,0.033199793455705534
43,VLF,L0,0.0
44,VLF,MAE,0.012253803900502847
44,VLF,L0,0.0
45,VLF,MAE,0.027319501454421177
45,VLF,L0,0.0
46,VLF,MAE,0.04022557891632736
46,VLF,L0,0.0
47,VLF,MAE,0.017832785759597403
47,VLF,L0,0.0
48,VLF,MAE,0.029346724046059536
48,VLF,L0,0.0
49,VLF,MAE,0.1277988567480502
49,VLF,L0,0.0
50,VLF,MAE,0.019275166515634656
50,VLF,L0,0.0
51,VLF,MAE,0.06276938691120332
51,VLF,L0,0.0
52,VLF,MAE,0.019573143950634475
52,VLF,L0,0.0
53,VLF,MAE,0.013385748747502368
53,VLF,L0,0.0
54,VLF,MAE,0.06540403263781658
54,VLF,L0,0.3333333333333333
55,VLF,MAE,0.026054343390273016
55,VLF,L0,0.0
56,VLF,MAE,0.019655136748458313
56,VLF,L0,0.0
57,VLF,MAE,0.1231514888507857
57,VLF,L0,0.3333333333333333
58,VLF,MAE,0.08070361057061326
58,VLF,L0,0.0
59,VLF,MAE,0.011539453863462529
59,VLF,L0,0.0
60,VLF,MAE,0.014874682882777879
60,VLF,L0,0.0
61,VLF,MAE,0.09388181639585529
61,VLF,L0,0.3333333333333333
62,VLF,MAE,0.010892400001727531
62,VLF,L0,0.0
63,VLF,MAE,0.017017859684460124
63,VLF,L0,0.0
64,VLF,MAE,0.11588305658430655
64,VLF,L0,0.3333333333333333
65,VLF,MAE,0.08170059595367771
65,VLF,L0,0.3333333333333333
66,VLF,MAE,0.12016868061719693
66,VLF,L0,0.0
67,VLF,MAE,0.05715129329247881
67,VLF,L0,0.0
68,VLF,MAE,0.1255948102500249
68,VLF,L0,0.3333333333333333
69,VLF,MAE,0.07250483692944683
69,VLF,L0,0.3333333333333333
70,VLF,MAE,0.06845423654025248
70,VLF,L0,0.0
71,VLF,MAE,0.12426762435460113
71,VLF,L0,0.3333333333333333
72,VLF,MAE,0.023106430792501464
72,VLF,L0,0.0
73,VLF,MAE,0.0658400599375774
73,VLF,L0,0.0
74,VLF,MAE,0.05614429083274253
74,VLF,L0,0.0
75,VLF,MAE,0.020854544228698896
75,VLF,L0,0.0
76,VLF,MAE,0.12541269843566574
76,VLF,L0,0.0
77,VLF,MAE,0.06784293934919042
77,VLF,L0,0.0
78,VLF,MAE,0.016696410860681576
78,VLF,L0,0.0
79,VLF,MAE,0.02881722267255174
79,VLF,L0,0.0
80,VLF,MAE,0.02855508021554154
80,VLF,L0,0.0
81,VLF,MAE,0.12671577495854278
81,VLF,L0,0.3333333333333333
82,VLF,MAE,0.027610482622920818
82,VLF,L0,0.0
83,VLF,MAE,0.04568280698796168
83,VLF,L0,0.0
84,VLF,MAE,0.02566363901041091
84,VLF,L0,0.0
85,VLF,MAE,0.028416944877176664
85,VLF,L0,0.0
86,VLF,MAE,0.11066257975329875
86,VLF,L0,0.0
87,VLF,MAE,0.04629340765516582
87,VLF,L0,0.0
88,VLF,MAE,0.06379435761025133
88,VLF,L0,0.0
89,VLF,MAE,0.03180369514692574
89,VLF,L0,0.0
90,VLF,MAE,0.03660565768663587
90,VLF,L0,0.0
91,VLF,MAE,0.17646624743300166
91,VLF,L0,0.3333333333333333
92,VLF,MAE,0.037097293294552525
92,VLF,L0,0.0
93,VLF,MAE,0.06577196245783662
93,VLF,L0,0.0
94,VLF,MAE,0.02847864266449701
94,VLF,L0,0.0
95,VLF,MAE,0.09467776645826995
95,VLF,L0,0.0
96,VLF,MAE,0.02152463343486756
96,VLF,L0,0.0
97,VLF,MAE,0.025910914974092827
97,VLF,L0,0.0
98,VLF,MAE,0.01580255975559798
98,VLF,L0,0.0
99,VLF,MAE,0.020143342006219922
99,VLF,L0,0.0
