run,model,metric,value
0,VMF,MAE,0.0016376515336016008
0,VMF,L0,0.0
1,VMF,MAE,0.002275902878636729
1,VMF,L0,0.0
2,VMF,MAE,0.002500180022552579
2,VMF,L0,0.0
3,VMF,MAE,0.002387118494400299
3,VMF,L0,0.0
4,VMF,MAE,0.0018463793867573922
4,VMF,L0,0.0
5,VMF,MAE,0.00149034848286074
5,VMF,L0,0.0
6,VMF,MAE,0.0013408756369743362
6,VMF,L0,0.0
7,VMF,MAE,0.0006165717067120671
7,VMF,L0,0.0
8,VMF,MAE,0.00105679166408304
8,VMF,L0,0.0
9,VMF,MAE,0.0002649378129367594
9,VMF,L0,0.0
10,VMF,MAE,0.011686230281205419
10,VMF,L0,0.0
11,VMF,MAE,0.001446959581341889
11,VMF,L0,0.0
12,VMF,MAE,0.0003733823619164259
12,VMF,L0,0.0
13,VMF,MAE,0.0015422787164412512
13,VMF,L0,0.0
14,VMF,MAE,0.0020044147675828267
14,VMF,L0,0.0
15,VMF,MAE,0.002607400375247211
15,VMF,L0,0.0
16,VMF,MAE,0.0025137209784932
16,VMF,L0,0.0
17,VMF,MAE,0.0006519528320638734
17,VMF,L0,0.0
18,VMF,MAE,0.0037829726315873886
18,VMF,L0,0.3333333333333333
19,VMF,MAE,0.0038677186730168636
19,VMF,L0,0.0
20,VMF,MAE,0.003309685138881656
20,VMF,L0,0.0
21,VMF,MAE,0.003145566102429817
21,VMF,L0,0.0
22,VMF,MAE,0.0020171400322369915
22,VMF,L0,0.0
23,VMF,MAE,0.004189045698350751
23,VMF,L0,0.0
24,VMF,MAE,0.003915522758427565
24,VMF,L0,0.0
25,VMF,MAE,0.002819241789005701
25,VMF,L0,0.0
26,VMF,MAE,0.0005514499748435556
26,VMF,L0,0.0
27,VMF,MAE,0.005744141449287067
27,VMF,L0,0.0
28,VMF,MAE,0.0021837868114351067
28,VMF,L0,0.0
29,VMF,MAE,0.004439185355112684
29,VMF,L0,0.0
30,VMF,MAE,0.0025722257542067223
30,VMF,L0,0.0
31,VMF,MAE,0.0012887691815993627
31,VMF,L0,0.0
32,VMF,MAE,0.0012651668320716632
32,VMF,L0,0.0
33,VMF,MAE,0.004441738072446888
33,VMF,L0,0.3333333333333333
34,VMF,MAE,0.00331225011156909
34,VMF,L0,0.0
35,VMF,MAE,0.0024956095003240072
35,VMF,L0,0.0
36,VMF,MAE,0.010213685310778934
36,VMF,L0,0.0
37,VMF,MAE,0.007960734185958936
37,VMF,L0,0.0
38,VMF,MAE,0.0026108400393823616
38,VMF,L0,0.0
39,VMF,MAE,0.0024978235430777665
39,VMF,L0,0.0
40,VMF,MAE,0.0039777077076439266
40,VMF,L0,0.0
41,VMF,MAE,0.0005434877740059865
41,VMF,L0,0.0
42,VMF,MAE,0.0013984857705722845
42,VMF,L0,0.0
43,VMF,MAE,0.00620548259088409
43,VMF,L0,0.3333333333333333
44,VMF,MAE,0.0009693270638888515
44,VMF,L0,0.0
45,VMF,MAE,0.004664510361906599
45,VMF,L0,0.0
46,VMF,MAE,0.0012557898185463663
46,VMF,L0,0.0
47,VMF,MAE,0.0008430693636539144
47,VMF,L0,0.0
48,VMF,MAE,0.006606003739721152
48,VMF,L0,0.0
49,VMF,MAE,0.0011458617706746749
49,VMF,L0,0.0
50,VMF,MAE,0.0016840403754126224
50,VMF,L0,0.0
51,VMF,MAE,0.0017157285973775083
51,VMF,L0,0.0
52,VMF,MAE,0.014730622953055644
52,VMF,L0,0.0
53,VMF,MAE,0.0018612485902721188
53,VMF,L0,0.0
54,VMF,MAE,0.005459292401653874
54,VMF,L0,0.0
55,VMF,MAE,0.0038925731236427
55,VMF,L0,0.0
56,VMF,MAE,0.0010258159329543867
56,VMF,L0,0.0
57,VMF,MAE,0.002911376464482758
57,VMF,L0,0.0
58,VMF,MAE,0.0006852324946495722
58,VMF,L0,0.0
59,VMF,MAE,0.005534618177784514
59,VMF,L0,0.0
60,VMF,MAE,0.0032282285799321436
60,VMF,L0,0.0
61,VMF,MAE,0.00388783212353825
61,VMF,L0,0.0
62,VMF,MAE,0.0017624337439998625
62,VMF,L0,0.0
63,VMF,MAE,0.0008680698985753486
63,VMF,L0,0.0
64,VMF,MAE,0.001046085203839444
64,VMF,L0,0.0
65,VMF,MAE,0.0010227276991235275
65,VMF,L0,0.0
66,VMF,MAE,0.00206601893190227
66,VMF,L0,0.0
67,VMF,MAE,0.0004819182107539677
67,VMF,L0,0.0
68,VMF,MAE,0.002143049033283509
68,VMF,L0,0.0
69,VMF,MAE,0.0036116117852500393
69,VMF,L0,0.0
70,VMF,MAE,0.007078884420382664
70,VMF,L0,0.3333333333333333
71,VMF,MAE,0.003150407523961951
71,VMF,L0,0.0
72,VMF,MAE,0.0006399168995832732
72,VMF,L0,0.0
73,VMF,MAE,0.0007506798764682493
73,VMF,L0,0.0
74,VMF,MAE,0.0028114216103863297
74,VMF,L0,0.0
75,VMF,MAE,0.0017217379178842834
75,VMF,L0,0.0
76,VMF,MAE,0.0019844265864733396
76,VMF,L0,0.0
77,VMF,MAE,0.0013017713237217649
77,VMF,L0,0.0
78,VMF,MAE,0.001057843403690379
78,VMF,L0,0.0
79,VMF,MAE,0.0005092462216030463
79,VMF,L0,0.0
80,VMF,MAE,0.000533622189337675
80,VMF,L0,0.0
81,VMF,MAE,0.0024379805896299414
81,VMF,L0,0.0
82,VMF,MAE,0.0016066413997770576
82,VMF,L0,0.0
83,VMF,MAE,0.00029695419037310475
83,VMF,L0,0.0
84,VMF,MAE,0.00470811414436037
84,VMF,L0,0.0
85,VMF,MAE,0.0006657544437876153
85,VMF,L0,0.0
86,VMF,MAE,0.0030698153267219586
86,VMF,L0,0.0
87,VMF,MAE,0.0033367313757163355
87,VMF,L0,0.0
88,VMF,MAE,0.00344642326565988
88,VMF,L0,0.0
89,VMF,MAE,0.0023455297060069775
89,VMF,L0,0.0
90,VMF,MAE,0.0038830037993391187
90,VMF,L0,0.0
91,VMF,MAE,0.0007527260312011966
91,VMF,L0,0.0
92,VMF,MAE,0.0005083976031149441
92,VMF,L0,0.0
93,VMF,MAE,0.0010582271257321627
93,VMF,L0,0.0
94,VMF,MAE,0.001113250158134453
94,VMF,L0,0.0
95,VMF,MAE,0.00029020507287314673
95,VMF,L0,0.0
96,VMF,MAE,0.0026507750967324425
96,VMF,L0,0.0
97,VMF,MAE,0.0016075607004791236
97,VMF,L0,0.0
98,VMF,MAE,0.0008310779252497756
98,VMF,L0,0.0
99,VMF,MAE,0.006936856285052993
99,VMF,L0,0.0
